,month,gadm0,pre
0,1990-01-01,ABW,44.99
1,1990-02-01,ABW,30.89
2,1990-03-01,ABW,15.74
3,1990-04-01,ABW,44.72
4,1990-05-01,ABW,47.06
5,1990-06-01,ABW,21.02
6,1990-07-01,ABW,35.62
7,1990-08-01,ABW,36.04
8,1990-09-01,ABW,75.83
9,1990-10-01,ABW,301.51
10,1990-11-01,ABW,100.92
11,1990-12-01,ABW,72.04
12,1991-01-01,ABW,48.99
13,1991-02-01,ABW,16.23
14,1991-03-01,ABW,24.75
15,1991-04-01,ABW,29.9
16,1991-05-01,ABW,9.94
17,1991-06-01,ABW,15.95
18,1991-07-01,ABW,27.08
19,1991-08-01,ABW,30.96
20,1991-09-01,ABW,54.42
21,1991-10-01,ABW,44.91
22,1991-11-01,ABW,133.72
23,1991-12-01,ABW,65.68
24,1992-01-01,ABW,18.07
25,1992-02-01,ABW,16.88
26,1992-03-01,ABW,11.05
27,1992-04-01,ABW,19.09
28,1992-05-01,ABW,49.2
29,1992-06-01,ABW,18.75
30,1992-07-01,ABW,32.23
31,1992-08-01,ABW,32.69
32,1992-09-01,ABW,80.83
33,1992-10-01,ABW,38.93
34,1992-11-01,ABW,122.9
35,1992-12-01,ABW,53.43
36,1993-01-01,ABW,32.93
37,1993-02-01,ABW,12.6
38,1993-03-01,ABW,16.62
39,1993-04-01,ABW,62.67
40,1993-05-01,ABW,120.63
41,1993-06-01,ABW,27.85
42,1993-07-01,ABW,27.84
43,1993-08-01,ABW,19.74
44,1993-09-01,ABW,104.58
45,1993-10-01,ABW,21.3
46,1993-11-01,ABW,119.01
47,1993-12-01,ABW,29.11
48,1994-01-01,ABW,26.84
49,1994-02-01,ABW,24.33
50,1994-03-01,ABW,13.79
51,1994-04-01,ABW,17.77
52,1994-05-01,ABW,7.84
53,1994-06-01,ABW,21.38
54,1994-07-01,ABW,40.28
55,1994-08-01,ABW,25.81
56,1994-09-01,ABW,19.43
57,1994-10-01,ABW,122.84
58,1994-11-01,ABW,98.86
59,1994-12-01,ABW,31.11
60,1995-01-01,ABW,19.68
61,1995-02-01,ABW,13.87
62,1995-03-01,ABW,52.58
63,1995-04-01,ABW,22.86
64,1995-05-01,ABW,10.1
65,1995-06-01,ABW,15.96
66,1995-07-01,ABW,46.9
67,1995-08-01,ABW,113.99
68,1995-09-01,ABW,109.19
69,1995-10-01,ABW,130.47
70,1995-11-01,ABW,57.99
71,1995-12-01,ABW,23.96
72,1996-01-01,ABW,35.39
73,1996-02-01,ABW,27.5
74,1996-03-01,ABW,10.26
75,1996-04-01,ABW,8.9
76,1996-05-01,ABW,22.99
77,1996-06-01,ABW,23.23
78,1996-07-01,ABW,40.8
79,1996-08-01,ABW,17.57
80,1996-09-01,ABW,36.51
81,1996-10-01,ABW,138.17
82,1996-11-01,ABW,115.11
83,1996-12-01,ABW,72.85
84,1997-01-01,ABW,53.33
85,1997-02-01,ABW,42.7
86,1997-03-01,ABW,15.32
87,1997-04-01,ABW,10.07
88,1997-05-01,ABW,7.82
89,1997-06-01,ABW,30.8
90,1997-07-01,ABW,17.3
91,1997-08-01,ABW,10.19
92,1997-09-01,ABW,44.39
93,1997-10-01,ABW,73.85
94,1997-11-01,ABW,74.72
95,1997-12-01,ABW,5.47
96,1998-01-01,ABW,11.69
97,1998-02-01,ABW,4.52
98,1998-03-01,ABW,3.06
99,1998-04-01,ABW,35.42
100,1998-05-01,ABW,33.31
101,1998-06-01,ABW,20.9
102,1998-07-01,ABW,32.23
103,1998-08-01,ABW,28.67
104,1998-09-01,ABW,97.77
105,1998-10-01,ABW,74.06
106,1998-11-01,ABW,70.71
107,1998-12-01,ABW,114.42
108,1999-01-01,ABW,44.57
109,1999-02-01,ABW,20.74
110,1999-03-01,ABW,18.32
111,1999-04-01,ABW,56.68
112,1999-05-01,ABW,32.66
113,1999-06-01,ABW,24.57
114,1999-07-01,ABW,24.79
115,1999-08-01,ABW,49.01
116,1999-09-01,ABW,155.43
117,1999-10-01,ABW,175.6
118,1999-11-01,ABW,179.09
119,1999-12-01,ABW,208.58
120,2000-01-01,ABW,100.87
121,2000-02-01,ABW,42.63
122,2000-03-01,ABW,22.52
123,2000-04-01,ABW,18.4
124,2000-05-01,ABW,13.16
125,2000-06-01,ABW,67.9
126,2000-07-01,ABW,36.97
127,2000-08-01,ABW,41.58
128,2000-09-01,ABW,77.87
129,2000-10-01,ABW,55.56
130,2000-11-01,ABW,171.24
131,2000-12-01,ABW,29.54
132,2001-01-01,ABW,19.12
133,2001-02-01,ABW,28.25
134,2001-03-01,ABW,4.36
135,2001-04-01,ABW,12.8
136,2001-05-01,ABW,31.67
137,2001-06-01,ABW,24.8
138,2001-07-01,ABW,22.0
139,2001-08-01,ABW,18.82
140,2001-09-01,ABW,24.7
141,2001-10-01,ABW,87.07
142,2001-11-01,ABW,56.63
143,2001-12-01,ABW,98.65
144,2002-01-01,ABW,45.06
145,2002-02-01,ABW,17.79
146,2002-03-01,ABW,18.4
147,2002-04-01,ABW,62.72
148,2002-05-01,ABW,35.14
149,2002-06-01,ABW,52.0
150,2002-07-01,ABW,17.79
151,2002-08-01,ABW,13.78
152,2002-09-01,ABW,84.19
153,2002-10-01,ABW,131.61
154,2002-11-01,ABW,50.88
155,2002-12-01,ABW,17.02
156,2003-01-01,ABW,14.91
157,2003-02-01,ABW,11.31
158,2003-03-01,ABW,5.57
159,2003-04-01,ABW,38.84
160,2003-05-01,ABW,12.67
161,2003-06-01,ABW,30.18
162,2003-07-01,ABW,46.39
163,2003-08-01,ABW,25.34
164,2003-09-01,ABW,52.06
165,2003-10-01,ABW,120.92
166,2003-11-01,ABW,191.9
167,2003-12-01,ABW,104.17
168,2004-01-01,ABW,44.49
169,2004-02-01,ABW,25.42
170,2004-03-01,ABW,35.53
171,2004-04-01,ABW,71.3
172,2004-05-01,ABW,118.84
173,2004-06-01,ABW,32.26
174,2004-07-01,ABW,21.84
175,2004-08-01,ABW,12.94
176,2004-09-01,ABW,194.49
177,2004-10-01,ABW,163.86
178,2004-11-01,ABW,334.88
179,2004-12-01,ABW,59.09
180,2005-01-01,ABW,135.4
181,2005-02-01,ABW,30.71
182,2005-03-01,ABW,11.94
183,2005-04-01,ABW,18.81
184,2005-05-01,ABW,108.24
185,2005-06-01,ABW,70.14
186,2005-07-01,ABW,29.67
187,2005-08-01,ABW,39.76
188,2005-09-01,ABW,61.25
189,2005-10-01,ABW,163.51
190,2005-11-01,ABW,171.25
191,2005-12-01,ABW,51.16
192,2006-01-01,ABW,111.2
193,2006-02-01,ABW,22.44
194,2006-03-01,ABW,25.4
195,2006-04-01,ABW,24.27
196,2006-05-01,ABW,27.15
197,2006-06-01,ABW,14.81
198,2006-07-01,ABW,44.71
199,2006-08-01,ABW,39.91
200,2006-09-01,ABW,19.82
201,2006-10-01,ABW,108.98
202,2006-11-01,ABW,77.85
203,2006-12-01,ABW,64.6
204,2007-01-01,ABW,33.62
205,2007-02-01,ABW,10.95
206,2007-03-01,ABW,11.96
207,2007-04-01,ABW,27.9
208,2007-05-01,ABW,32.08
209,2007-06-01,ABW,19.83
210,2007-07-01,ABW,23.15
211,2007-08-01,ABW,74.41
212,2007-09-01,ABW,39.6
213,2007-10-01,ABW,206.31
214,2007-11-01,ABW,92.05
215,2007-12-01,ABW,119.57
216,2008-01-01,ABW,35.92
217,2008-02-01,ABW,21.73
218,2008-03-01,ABW,19.28
219,2008-04-01,ABW,16.87
220,2008-05-01,ABW,13.68
221,2008-06-01,ABW,38.17
222,2008-07-01,ABW,52.05
223,2008-08-01,ABW,81.39
224,2008-09-01,ABW,102.88
225,2008-10-01,ABW,363.03
226,2008-11-01,ABW,260.23
227,2008-12-01,ABW,99.26
228,2009-01-01,ABW,51.8
229,2009-02-01,ABW,61.44
230,2009-03-01,ABW,33.78
231,2009-04-01,ABW,15.99
232,2009-05-01,ABW,30.6
233,2009-06-01,ABW,3.21
234,2009-07-01,ABW,30.08
235,2009-08-01,ABW,30.85
236,2009-09-01,ABW,29.25
237,2009-10-01,ABW,41.28
238,2009-11-01,ABW,118.67
239,2009-12-01,ABW,35.69
240,2010-01-01,ABW,15.98
241,2010-02-01,ABW,4.3
242,2010-03-01,ABW,16.53
243,2010-04-01,ABW,52.58
244,2010-05-01,ABW,54.41
245,2010-06-01,ABW,83.16
246,2010-07-01,ABW,82.95
247,2010-08-01,ABW,55.5
248,2010-09-01,ABW,242.3
249,2010-10-01,ABW,200.02
250,2010-11-01,ABW,390.95
251,2010-12-01,ABW,196.5
252,2011-01-01,ABW,59.51
253,2011-02-01,ABW,51.05
254,2011-03-01,ABW,27.4
255,2011-04-01,ABW,37.16
256,2011-05-01,ABW,93.09
257,2011-06-01,ABW,63.38
258,2011-07-01,ABW,19.63
259,2011-08-01,ABW,40.28
260,2011-09-01,ABW,89.03
261,2011-10-01,ABW,186.43
262,2011-11-01,ABW,280.93
263,2011-12-01,ABW,212.39
264,2012-01-01,ABW,41.68
265,2012-02-01,ABW,20.76
266,2012-03-01,ABW,39.83
267,2012-04-01,ABW,44.7
268,2012-05-01,ABW,24.28
269,2012-06-01,ABW,8.25
270,2012-07-01,ABW,27.78
271,2012-08-01,ABW,23.21
272,2012-09-01,ABW,25.06
273,2012-10-01,ABW,182.44
274,2012-11-01,ABW,84.14
275,2012-12-01,ABW,99.85
276,2013-01-01,ABW,29.06
277,2013-02-01,ABW,31.36
278,2013-03-01,ABW,25.27
279,2013-04-01,ABW,24.88
280,2013-05-01,ABW,27.02
281,2013-06-01,ABW,17.59
282,2013-07-01,ABW,15.05
283,2013-08-01,ABW,37.28
284,2013-09-01,ABW,59.23
285,2013-10-01,ABW,57.77
286,2013-11-01,ABW,96.24
287,2013-12-01,ABW,70.86
288,2014-01-01,ABW,27.27
289,2014-02-01,ABW,15.78
290,2014-03-01,ABW,13.61
291,2014-04-01,ABW,10.71
292,2014-05-01,ABW,21.88
293,2014-06-01,ABW,16.13
294,2014-07-01,ABW,17.95
295,2014-08-01,ABW,18.4
296,2014-09-01,ABW,45.22
297,2014-10-01,ABW,50.26
298,2014-11-01,ABW,105.49
299,2014-12-01,ABW,61.56
300,2015-01-01,ABW,31.69
301,2015-02-01,ABW,17.47
302,2015-03-01,ABW,28.12
303,2015-04-01,ABW,10.38
304,2015-05-01,ABW,12.02
305,2015-06-01,ABW,7.43
306,2015-07-01,ABW,16.74
307,2015-08-01,ABW,5.67
308,2015-09-01,ABW,14.15
309,2015-10-01,ABW,57.03
310,2015-11-01,ABW,81.43
311,2015-12-01,ABW,21.95
312,2016-01-01,ABW,17.41
313,2016-02-01,ABW,7.83
314,2016-03-01,ABW,13.77
315,2016-04-01,ABW,11.75
316,2016-05-01,ABW,24.11
317,2016-06-01,ABW,19.38
318,2016-07-01,ABW,34.61
