,ZAF
1940-01-01,139.93
1940-02-01,78.64
1940-03-01,95.92
1940-04-01,50.839999999999996
1940-05-01,11.91
1940-06-01,15.93
1940-07-01,4.28
1940-08-01,7.56
1940-09-01,24.62
1940-10-01,43.27
1940-11-01,77.46
1940-12-01,96.16
1941-01-01,61.6
1941-02-01,94.61
1941-03-01,40.27
1941-04-01,11.84
1941-05-01,13.31
1941-06-01,5.5
1941-07-01,5.29
1941-08-01,5.68
1941-09-01,16.36
1941-10-01,54.49
1941-11-01,67.97
1941-12-01,100.15
1942-01-01,115.56
1942-02-01,104.73
1942-03-01,99.54
1942-04-01,20.43
1942-05-01,19.11
1942-06-01,10.06
1942-07-01,7.5200000000000005
1942-08-01,18.36
1942-09-01,52.21
1942-10-01,96.23
1942-11-01,134.51
1942-12-01,151.66
1943-01-01,101.38
1943-02-01,83.64
1943-03-01,59.86
1943-04-01,58.51
1943-05-01,12.22
1943-06-01,4.86
1943-07-01,9.27
1943-08-01,33.39
1943-09-01,27.82
1943-10-01,114.67
1943-11-01,171.81
1943-12-01,167.5
1944-01-01,196.51
1944-02-01,149.84
1944-03-01,91.71
1944-04-01,74.68
1944-05-01,20.61
1944-06-01,30.94
1944-07-01,8.959999999999999
1944-08-01,19.77
1944-09-01,42.050000000000004
1944-10-01,89.86
1944-11-01,111.32
1944-12-01,113.99
1945-01-01,168.41
1945-02-01,67.84
1945-03-01,77.8
1945-04-01,42.77
1945-05-01,23.46
1945-06-01,21.78
1945-07-01,18.86
1945-08-01,22.34
1945-09-01,19.58
1945-10-01,51.34
1945-11-01,79.16
1945-12-01,94.37
1946-01-01,183.24
1946-02-01,118.33
1946-03-01,137.98
1946-04-01,60.29
1946-05-01,15.709999999999999
1946-06-01,3.73
1946-07-01,7.21
1946-08-01,6.48
1946-09-01,17.5
1946-10-01,54.14
1946-11-01,113.17
1946-12-01,69.65
1947-01-01,106.69
1947-02-01,180.09
1947-03-01,79.49
1947-04-01,49.46
1947-05-01,35.69
1947-06-01,9.290000000000001
1947-07-01,9.96
1947-08-01,17.03
1947-09-01,45.86
1947-10-01,24.05
1947-11-01,73.27
1947-12-01,153.89000000000001
1948-01-01,115.53
1948-02-01,108.42
1948-03-01,110.37
1948-04-01,94.48
1948-05-01,54.83
1948-06-01,7.11
1948-07-01,11.31
1948-08-01,8.88
1948-09-01,18.93
1948-10-01,91.59
1948-11-01,79.82000000000001
1948-12-01,88.39
1949-01-01,29.580000000000002
1949-02-01,24.28
1949-03-01,60.87
1949-04-01,66.21
1949-05-01,34.94
1949-06-01,4.81
1949-07-01,3.18
1949-08-01,27.96
1949-09-01,14.54
1949-10-01,59.62
1949-11-01,124.14
1949-12-01,90.75
1950-01-01,127.16
1950-02-01,135.43
1950-03-01,149.73
1950-04-01,117.2
1950-05-01,54.79
1950-06-01,27.990000000000002
1950-07-01,10.23
1950-08-01,10.39
1950-09-01,10.13
1950-10-01,15.39
1950-11-01,101.97
1950-12-01,65.09
1951-01-01,106.15
1951-02-01,115.18
1951-03-01,136.18
1951-04-01,40.57
1951-05-01,50.5
1951-06-01,7.71
1951-07-01,9.24
1951-08-01,9.53
1951-09-01,29.94
1951-10-01,100.75
1951-11-01,32.94
1951-12-01,42.24
1952-01-01,121.01
1952-02-01,135.38
1952-03-01,91.53
1952-04-01,32.82
1952-05-01,23.14
1952-06-01,5.59
1952-07-01,18.84
1952-08-01,14.85
1952-09-01,11.19
1952-10-01,22.81
1952-11-01,77.35
1952-12-01,148.77
1953-01-01,73.75
