,ZAF
1940-01-01,20.212903225806453
1940-02-01,21.156206896551723
1940-03-01,19.120322580645162
1940-04-01,16.483333333333334
1940-05-01,12.908709677419356
1940-06-01,11.430333333333333
1940-07-01,10.576129032258065
1940-08-01,13.883225806451613
1940-09-01,16.705333333333332
1940-10-01,19.432258064516127
1940-11-01,21.182000000000002
1940-12-01,21.966129032258067
1941-01-01,22.532258064516128
1941-02-01,20.580357142857142
1941-03-01,19.44709677419355
1941-04-01,18.800333333333334
1941-05-01,15.38225806451613
1941-06-01,11.745000000000001
1941-07-01,10.945483870967742
1941-08-01,15.27258064516129
1941-09-01,16.127333333333333
1941-10-01,19.80806451612903
1941-11-01,19.81
1941-12-01,20.985806451612902
1942-01-01,21.427096774193547
1942-02-01,20.334285714285716
1942-03-01,18.700645161290325
1942-04-01,16.625999999999998
1942-05-01,13.429032258064517
1942-06-01,11.934
1942-07-01,9.711935483870967
1942-08-01,12.947096774193549
1942-09-01,15.644333333333332
1942-10-01,17.649354838709677
1942-11-01,18.428333333333335
1942-12-01,18.906451612903226
1943-01-01,20.17064516129032
1943-02-01,19.552857142857142
1943-03-01,18.77741935483871
1943-04-01,17.118333333333332
1943-05-01,14.995806451612903
1943-06-01,11.208333333333334
1943-07-01,10.243548387096775
1943-08-01,11.185161290322581
1943-09-01,15.780666666666667
1943-10-01,17.396774193548385
1943-11-01,17.67366666666667
1943-12-01,18.601612903225806
1944-01-01,20.15096774193548
1944-02-01,18.37
1944-03-01,17.89483870967742
1944-04-01,16.063666666666666
1944-05-01,11.644838709677419
1944-06-01,10.328333333333335
1944-07-01,10.186129032258064
1944-08-01,14.234838709677419
1944-09-01,16.564666666666668
1944-10-01,19.940967741935484
1944-11-01,18.583333333333332
1944-12-01,19.619032258064518
1945-01-01,19.103225806451615
1945-02-01,20.368571428571432
1945-03-01,18.72741935483871
1945-04-01,17.256666666666668
1945-05-01,13.272258064516128
1945-06-01,9.363
1945-07-01,10.56258064516129
1945-08-01,12.93741935483871
1945-09-01,18.023666666666667
1945-10-01,19.09225806451613
1945-11-01,19.569000000000003
1945-12-01,20.371290322580645
1946-01-01,20.168387096774193
