,ZAF
1940-01-01,117.56
1940-02-01,77.52
1940-03-01,91.22
1940-04-01,55.620000000000005
1940-05-01,13.95
1940-06-01,25.68
1940-07-01,10.33
1940-08-01,12.11
1940-09-01,34.61
1940-10-01,47.87
1940-11-01,76.41
1940-12-01,109.34
1941-01-01,68.54
1941-02-01,74.28999999999999
1941-03-01,51.38
1941-04-01,18.62
1941-05-01,23.01
1941-06-01,12.27
1941-07-01,9.16
1941-08-01,12.620000000000001
1941-09-01,29.21
1941-10-01,62.53
1941-11-01,67.69
1941-12-01,108.51
1942-01-01,116.2
1942-02-01,117.08
1942-03-01,106.34
1942-04-01,30.62
1942-05-01,26.19
1942-06-01,18.49
1942-07-01,18.73
1942-08-01,25.73
1942-09-01,55.73
1942-10-01,107.3
1942-11-01,133.9
1942-12-01,173.0
1943-01-01,104.48
1943-02-01,83.45
1943-03-01,60.120000000000005
1943-04-01,55.23
1943-05-01,19.64
1943-06-01,9.83
1943-07-01,15.47
1943-08-01,41.49
1943-09-01,25.41
1943-10-01,112.2
1943-11-01,159.74
1943-12-01,159.92
1944-01-01,185.3
1944-02-01,200.82
1944-03-01,94.3
1944-04-01,91.64
1944-05-01,21.53
1944-06-01,39.4
1944-07-01,12.25
1944-08-01,26.82
1944-09-01,46.58
1944-10-01,78.48
1944-11-01,103.74
1944-12-01,121.65
1945-01-01,144.26
1945-02-01,82.26
1945-03-01,80.29
1945-04-01,49.3
1945-05-01,27.96
1945-06-01,22.02
1945-07-01,21.18
1945-08-01,20.259999999999998
1945-09-01,23.2
1945-10-01,56.0
1945-11-01,81.48
1945-12-01,108.68
1946-01-01,177.89000000000001
1946-02-01,122.81
1946-03-01,140.27
1946-04-01,59.7
1946-05-01,16.1
1946-06-01,6.58
1946-07-01,11.11
1946-08-01,12.93
1946-09-01,24.82
1946-10-01,57.96
1946-11-01,112.64
1946-12-01,73.37
1947-01-01,105.54
1947-02-01,173.29
1947-03-01,78.28
1947-04-01,50.18
1947-05-01,33.04
1947-06-01,13.69
1947-07-01,14.209999999999999
1947-08-01,20.740000000000002
1947-09-01,47.48
1947-10-01,29.84
1947-11-01,80.51
1947-12-01,149.04
1948-01-01,110.76
1948-02-01,108.34
1948-03-01,114.19
1948-04-01,93.29
1948-05-01,54.88
1948-06-01,11.91
1948-07-01,14.15
1948-08-01,13.51
1948-09-01,21.99
1948-10-01,83.78
1948-11-01,70.84
1948-12-01,102.46
1949-01-01,37.35
1949-02-01,30.6
1949-03-01,77.24
1949-04-01,79.86
