model,dep,mp_shock,climate_shock,component,h,irf,se,lo68,hi68,lo90,hi90,nobs
corporate_mortgage_rate__country_risk__pop_precip_shock,corporate_mortgage_rate,country_risk,pop_precip_shock,MP shock (purged),0,-0.014663485014090646,0.005734623069124398,-0.020366326132417914,-0.008960643895763377,-0.024096100568539492,-0.005230869459641799,184
corporate_mortgage_rate__country_risk__pop_precip_shock,corporate_mortgage_rate,country_risk,pop_precip_shock,Interaction (climate x MP),0,-0.012561420324078967,0.002490040511261291,-0.015037660740014402,-0.010085179908143532,-0.016657172490283197,-0.008465668157874737,184
corporate_mortgage_rate__country_risk__pop_precip_shock,corporate_mortgage_rate,country_risk,pop_precip_shock,MP shock (purged),1,-0.04004161362754482,0.01474347689358155,-0.05470338045028783,-0.025379846804801803,-0.06429247506982765,-0.01579075218526199,184
corporate_mortgage_rate__country_risk__pop_precip_shock,corporate_mortgage_rate,country_risk,pop_precip_shock,Interaction (climate x MP),1,-0.02274686650968645,0.014260985642033352,-0.036928816103747625,-0.00856491691562528,-0.046204100466887874,7.103674475149695e-4,184
corporate_mortgage_rate__country_risk__pop_precip_shock,corporate_mortgage_rate,country_risk,pop_precip_shock,MP shock (purged),2,-0.05277668158432027,0.026971706283252524,-0.07959890752131878,-0.025954455647321767,-0.09714119048939798,-0.008412172679242567,184
corporate_mortgage_rate__country_risk__pop_precip_shock,corporate_mortgage_rate,country_risk,pop_precip_shock,Interaction (climate x MP),2,-0.04151224020919493,0.019721906551102206,-0.061124845650864595,-0.021899634767525267,-0.07395188973017339,-0.009072590688216482,184
corporate_mortgage_rate__country_risk__pop_precip_shock,corporate_mortgage_rate,country_risk,pop_precip_shock,MP shock (purged),3,-0.04763305811708042,0.03896254382466682,-0.08637966697342583,-0.008886449260735008,-0.1117207396423393,0.016454623408178465,184
corporate_mortgage_rate__country_risk__pop_precip_shock,corporate_mortgage_rate,country_risk,pop_precip_shock,Interaction (climate x MP),3,-0.03533612721870346,0.023891156172666708,-0.05909487581360723,-0.011577378623799695,-0.07463358210137833,0.003961327663971413,184
corporate_mortgage_rate__country_risk__pop_precip_shock,corporate_mortgage_rate,country_risk,pop_precip_shock,MP shock (purged),4,-0.028062624571087328,0.04447018529393525,-0.07228635090443968,0.016161101762265016,-0.1012095701430207,0.045084321000846056,184
corporate_mortgage_rate__country_risk__pop_precip_shock,corporate_mortgage_rate,country_risk,pop_precip_shock,Interaction (climate x MP),4,-0.03937936619606451,0.02036940638261268,-0.059635882949556754,-0.019122849442572268,-0.07288405816335343,-0.005874674228775592,184
