h,series,component,irf,se,nobs,tidy,dep,mp_shock,climate_shock,model,lo68,hi68,lo90,hi90
0,base,MP shock only,0.005457723536572834,0.002982333928926715,184,,corporate_mortgage_rate,forward_guidance,land_precip_shock,corporate_mortgage_rate__forward_guidance__land_precip_shock,0.0024919180505877467,0.008423529022557922,5.522207567972949e-4,0.010363226316348374
0,climate,MP shock + 1 SD climate shock,0.005102064017706504,0.004168851899442123,184,,corporate_mortgage_rate,forward_guidance,land_precip_shock,corporate_mortgage_rate__forward_guidance__land_precip_shock,9.563163823723313e-4,0.009247811653040675,-0.0017550871493144026,0.01195921518472741
0,interaction,Interaction,-3.556595188663302e-4,0.001800126928996011,184,,corporate_mortgage_rate,forward_guidance,land_precip_shock,corporate_mortgage_rate__forward_guidance__land_precip_shock,-0.002145809934184577,0.0014344908964519167,-0.0033166048269984327,0.0026052857892657727
1,base,MP shock only,0.00350549198991704,0.009766129466433451,184,,corporate_mortgage_rate,forward_guidance,land_precip_shock,corporate_mortgage_rate__forward_guidance__land_precip_shock,-0.006206512446424766,0.013217496426258846,-0.012558361484223662,0.019569345464057742
1,climate,MP shock + 1 SD climate shock,6.524614973408521e-4,0.007930423798939261,184,,corporate_mortgage_rate,forward_guidance,land_precip_shock,corporate_mortgage_rate__forward_guidance__land_precip_shock,-0.007234010966708535,0.00853893396139024,-0.012391924851606659,0.013696847846288364
1,interaction,Interaction,-0.002853030492576188,0.0034415333588770024,184,,corporate_mortgage_rate,forward_guidance,land_precip_shock,corporate_mortgage_rate__forward_guidance__land_precip_shock,-0.0062754904716407645,5.69429486488388e-4,-0.008513849120199505,0.0028077881350471296
2,base,MP shock only,-0.006457151524832804,0.013460458202589667,184,,corporate_mortgage_rate,forward_guidance,land_precip_shock,corporate_mortgage_rate__forward_guidance__land_precip_shock,-0.019843010296013486,0.006928707246347876,-0.028597635019791103,0.015683331970125496
2,climate,MP shock + 1 SD climate shock,-0.014193754622408251,0.01281987244871569,184,,corporate_mortgage_rate,forward_guidance,land_precip_shock,corporate_mortgage_rate__forward_guidance__land_precip_shock,-0.026942577840777093,-0.0014449314040394096,-0.0352805683167335,0.006893059071916995
2,interaction,Interaction,-0.007736603097575447,0.004985732197388224,184,,corporate_mortgage_rate,forward_guidance,land_precip_shock,corporate_mortgage_rate__forward_guidance__land_precip_shock,-0.012694703784840852,-0.0027785024103100416,-0.0159374027854582,4.6419659030730396e-4
3,base,MP shock only,-0.025285485885845952,0.02199367368913486,184,,corporate_mortgage_rate,forward_guidance,land_precip_shock,corporate_mortgage_rate__forward_guidance__land_precip_shock,-0.04715726806674905,-0.0034137037049428547,-0.06146185982340657,0.010890888051714672
