model,dep,mp_shock,climate_shock,component,h,irf,se,lo68,hi68,lo90,hi90,nobs
corporate_mortgage_rate__forward_guidance__pop_precip_shock,corporate_mortgage_rate,forward_guidance,pop_precip_shock,MP shock (purged),0,0.0028675049509120677,0.0026851264020967196,1.972598329323433e-4,0.005537750068891793,-0.0015491349503998766,0.007284144852224012,184
corporate_mortgage_rate__forward_guidance__pop_precip_shock,corporate_mortgage_rate,forward_guidance,pop_precip_shock,Interaction (climate x MP),0,-9.433832526441362e-4,0.0028727613210344175,-0.003800223394926878,0.0019134568896386052,-0.005668655130913499,0.003781888625625226,184
corporate_mortgage_rate__forward_guidance__pop_precip_shock,corporate_mortgage_rate,forward_guidance,pop_precip_shock,MP shock (purged),1,0.003203724963791091,0.008798228047173208,-0.005545742275997458,0.01195319220357964,-0.011268072350347921,0.017675522277930105,184
corporate_mortgage_rate__forward_guidance__pop_precip_shock,corporate_mortgage_rate,forward_guidance,pop_precip_shock,Interaction (climate x MP),1,-0.005859773105389685,0.003619078849888597,-0.009458794597619087,-0.0022607516131602826,-0.011812628077852303,9.308186707293348e-5,184
corporate_mortgage_rate__forward_guidance__pop_precip_shock,corporate_mortgage_rate,forward_guidance,pop_precip_shock,MP shock (purged),2,-0.01154900028558725,0.009454558573929048,-0.020951160591699353,-0.002146839979475146,-0.027100365247139577,0.004002364675965077,184
corporate_mortgage_rate__forward_guidance__pop_precip_shock,corporate_mortgage_rate,forward_guidance,pop_precip_shock,Interaction (climate x MP),2,-0.008843342570985997,0.004305848730462807,-0.013125327784903443,-0.00456135735706855,-0.015925833472392133,-0.0017608516695798602,184
corporate_mortgage_rate__forward_guidance__pop_precip_shock,corporate_mortgage_rate,forward_guidance,pop_precip_shock,MP shock (purged),3,-0.033578900172461575,0.011186150795589937,-0.04470305601390904,-0.02245474433101411,-0.05197848088021377,-0.015179319464709379,184
corporate_mortgage_rate__forward_guidance__pop_precip_shock,corporate_mortgage_rate,forward_guidance,pop_precip_shock,Interaction (climate x MP),3,-0.009855517682715684,0.005733282272734219,-0.015557025435502959,-0.004154009929928409,-0.01928592782335914,-4.2510754207222834e-4,184
corporate_mortgage_rate__forward_guidance__pop_precip_shock,corporate_mortgage_rate,forward_guidance,pop_precip_shock,MP shock (purged),4,-0.0504262493664773,0.010167454104768407,-0.06053735425313761,-0.04031514447981699,-0.06715022312756824,-0.033702275605386356,184
corporate_mortgage_rate__forward_guidance__pop_precip_shock,corporate_mortgage_rate,forward_guidance,pop_precip_shock,Interaction (climate x MP),4,-0.012585787607289812,0.0049881391474466096,-0.017546281905015268,-0.007625293309564353,-0.020790546375705987,-0.004381028838873634,184
corporate_mortgage_rate__forward_guidance__pop_precip_shock,corporate_mortgage_rate,forward_guidance,pop_precip_shock,MP shock (purged),5,-0.060905511421814516,0.011006330517801623,-0.07185084357045443,-0.04996017927317461,-0.07900931409344719,-0.04280170875018185,184
corporate_mortgage_rate__forward_guidance__pop_precip_shock,corporate_mortgage_rate,forward_guidance,pop_precip_shock,Interaction (climate x MP),5,-0.009268991975785228,0.006128695046113885,-0.015363721078181743,-0.003174262873388712,-0.01934979825086517,8.118142992947133e-4,184
corporate_mortgage_rate__forward_guidance__pop_precip_shock,corporate_mortgage_rate,forward_guidance,pop_precip_shock,MP shock (purged),6,-0.07441028920382821,0.01597017936034038,-0.0902919599649924,-0.05852861844266402,-0.10067889664774962,-0.0481416817599068,180
corporate_mortgage_rate__forward_guidance__pop_precip_shock,corporate_mortgage_rate,forward_guidance,pop_precip_shock,Interaction (climate x MP),6,0.012569461604548788,0.01276607154099194,-1.258588770103302e-4,0.025264782086107905,-0.008428857471573766,0.033567780680671344,180
corporate_mortgage_rate__forward_guidance__pop_precip_shock,corporate_mortgage_rate,forward_guidance,pop_precip_shock,MP shock (purged),7,-0.0686225054212817,0.01759534405804335,-0.08612033402759081,-0.051124676814972604,-0.09756427091261333,-0.039680739929950075,176
corporate_mortgage_rate__forward_guidance__pop_precip_shock,corporate_mortgage_rate,forward_guidance,pop_precip_shock,Interaction (climate x MP),7,0.022350146227201648,0.01664077147145764,0.005801599854718634,0.03889869259968466,-0.005021487082896025,0.049721779537299324,176
corporate_mortgage_rate__forward_guidance__pop_precip_shock,corporate_mortgage_rate,forward_guidance,pop_precip_shock,MP shock (purged),8,-0.057133444513575604,0.01762943868696708,-0.07466517879239301,-0.03960171023475819,-0.08613129067895199,-0.028135598348199214,172
corporate_mortgage_rate__forward_guidance__pop_precip_shock,corporate_mortgage_rate,forward_guidance,pop_precip_shock,Interaction (climate x MP),8,0.028039778538053648,0.017768629359185713,0.010369624997979148,0.04570993207812815,-0.0011870159093593756,0.05726657298546667,172
corporate_mortgage_rate__forward_guidance__pop_precip_shock,corporate_mortgage_rate,forward_guidance,pop_precip_shock,MP shock (purged),9,-0.05493944357734016,0.02709970038927257,-0.08188895426207468,-0.027989932892605634,-0.09951448405193336,-0.010364403102746965,168
corporate_mortgage_rate__forward_guidance__pop_precip_shock,corporate_mortgage_rate,forward_guidance,pop_precip_shock,Interaction (climate x MP),9,0.028465381040302346,0.016723513662132903,0.01183455104402827,0.04509621103657642,9.576489377705541e-4,0.05597311314283414,168
corporate_mortgage_rate__forward_guidance__pop_precip_shock,corporate_mortgage_rate,forward_guidance,pop_precip_shock,MP shock (purged),10,-0.04163813466516103,0.025953715583819946,-0.06744801172607459,-0.015828257604247463,-0.0843281978760742,0.0010519285457521385,164
corporate_mortgage_rate__forward_guidance__pop_precip_shock,corporate_mortgage_rate,forward_guidance,pop_precip_shock,Interaction (climate x MP),10,0.030772525384313187,0.014549376265371209,0.01630378346142991,0.045241267307196464,0.006840931064335698,0.05470411970429068,164
corporate_mortgage_rate__forward_guidance__pop_precip_shock,corporate_mortgage_rate,forward_guidance,pop_precip_shock,MP shock (purged),11,-0.03814361272439176,0.02499698753217446,-0.06300206403225857,-0.013285161416524957,-0.07925999832954964,0.0029727728807661113,160
corporate_mortgage_rate__forward_guidance__pop_precip_shock,corporate_mortgage_rate,forward_guidance,pop_precip_shock,Interaction (climate x MP),11,0.03553026042346888,0.015248346382883398,0.02036642215709756,0.0506940986898402,0.01044896257057077,0.06061155827636699,160
corporate_mortgage_rate__forward_guidance__pop_precip_shock,corporate_mortgage_rate,forward_guidance,pop_precip_shock,MP shock (purged),12,-0.03379708317042547,0.020903307493013862,-0.05458454209201061,-0.013009624248840331,-0.0681799643155912,5.857979747402528e-4,156
corporate_mortgage_rate__forward_guidance__pop_precip_shock,corporate_mortgage_rate,forward_guidance,pop_precip_shock,Interaction (climate x MP),12,0.037676265756747006,0.017902810004421916,0.019872675216243193,0.055479856297250815,0.008228763788350527,0.06712376772514349,156
