h,series,component,irf,se,nobs,tidy,dep,mp_shock,climate_shock,model,lo68,hi68,lo90,hi90
0,base,MP shock only,-0.36628522982163364,0.46597999525671574,196,,corporate_mortgage_rate,miyajima_surprise,land_temp_shock,corporate_mortgage_rate__miyajima_surprise__land_temp_shock,-0.829682709522718,0.09711224987945077,-1.132754115106472,0.4001836554632047
0,climate,MP shock + 1 SD climate shock,-0.4948280526438913,0.20414012145953392,196,,corporate_mortgage_rate,miyajima_surprise,land_temp_shock,corporate_mortgage_rate__miyajima_surprise__land_temp_shock,-0.6978368057087213,-0.2918192995790613,-0.8306086718329195,-0.159047433454863
0,interaction,Interaction,-0.12854282282225768,0.26759720966807765,196,,corporate_mortgage_rate,miyajima_surprise,land_temp_shock,corporate_mortgage_rate__miyajima_surprise__land_temp_shock,-0.39465697750161066,0.13757133185709533,-0.5687010637068886,0.31161541806237325
1,base,MP shock only,-0.5297864583637958,0.9094493061787093,196,,corporate_mortgage_rate,miyajima_surprise,land_temp_shock,corporate_mortgage_rate__miyajima_surprise__land_temp_shock,-1.4341954902728538,0.3746225735452623,-2.0256974481603454,0.9661245314327537
1,climate,MP shock + 1 SD climate shock,-0.9253640353670552,0.37482749413056676,196,,corporate_mortgage_rate,miyajima_surprise,land_temp_shock,corporate_mortgage_rate__miyajima_surprise__land_temp_shock,-1.298114191748955,-0.5526138789851556,-1.5419003985688495,-0.3088276721652611
1,interaction,Interaction,-0.39557757700325946,0.5468283304415936,196,,corporate_mortgage_rate,miyajima_surprise,land_temp_shock,corporate_mortgage_rate__miyajima_surprise__land_temp_shock,-0.9393753209733301,0.14822016696681117,-1.2950301396499326,0.5038749856434136
2,base,MP shock only,-0.13924251733365464,1.4280893751128516,196,,corporate_mortgage_rate,miyajima_surprise,land_temp_shock,corporate_mortgage_rate__miyajima_surprise__land_temp_shock,-1.5594172543427203,1.280932219675411,-2.4882405055988888,2.20975547093158
2,climate,MP shock + 1 SD climate shock,-0.971826581296923,0.5630629586503434,196,,corporate_mortgage_rate,miyajima_surprise,land_temp_shock,corporate_mortgage_rate__miyajima_surprise__land_temp_shock,-1.5317689792701643,-0.4118841833236817,-1.8979827310349666,-0.04567043155887929
2,interaction,Interaction,-0.8325840639632683,0.8886952012424265,196,,corporate_mortgage_rate,miyajima_surprise,land_temp_shock,corporate_mortgage_rate__miyajima_surprise__land_temp_shock,-1.7163540126094774,0.05118588468294083,-2.2943575889812413,0.6291894610547047
3,base,MP shock only,0.5578746826364207,1.8381442520394211,192,,corporate_mortgage_rate,miyajima_surprise,land_temp_shock,corporate_mortgage_rate__miyajima_surprise__land_temp_shock,-1.2700823592808772,2.385831724553719,-2.465603557190621,3.5813529224634624
3,climate,MP shock + 1 SD climate shock,-0.9315033862696049,0.7518311929692779,192,,corporate_mortgage_rate,miyajima_surprise,land_temp_shock,corporate_mortgage_rate__miyajima_surprise__land_temp_shock,-1.6791678429608967,-0.18383892957831327,-2.168155650880373,0.30514887834116355
3,interaction,Interaction,-1.4893780689060256,1.1286919550189192,192,,corporate_mortgage_rate,miyajima_surprise,land_temp_shock,corporate_mortgage_rate__miyajima_surprise__land_temp_shock,-2.611814681290018,-0.36694145652203325,-3.345911124829842,0.3671549870177908
4,base,MP shock only,1.496804453094699,1.9398487750851832,188,,corporate_mortgage_rate,miyajima_surprise,land_temp_shock,corporate_mortgage_rate__miyajima_surprise__land_temp_shock,-0.4322934535235452,3.4259023597129428,-1.6939628403415339,4.6875717465309314
4,climate,MP shock + 1 SD climate shock,-0.5517092220914377,0.7566296099231684,188,,corporate_mortgage_rate,miyajima_surprise,land_temp_shock,corporate_mortgage_rate__miyajima_surprise__land_temp_shock,-1.304145502349453,0.20072705816657765,-1.7962541802324383,0.692835736049563
4,interaction,Interaction,-2.0485136751861366,1.2388401142079306,188,,corporate_mortgage_rate,miyajima_surprise,land_temp_shock,corporate_mortgage_rate__miyajima_surprise__land_temp_shock,-3.280487992796684,-0.816539357575589,-4.086224330254026,-0.010803020118246742
