h,series,component,irf,se,nobs,tidy,dep,mp_shock,climate_shock,model,lo68,hi68,lo90,hi90
0,base,MP shock only,2.274214823930827e-4,0.0030026000139892614,184,,corporate_mortgage_rate,target,land_temp_shock,corporate_mortgage_rate__target__land_temp_shock,-0.002758537771644254,0.0032133807364304193,-0.004711416040901693,0.005166259005687858
0,climate,MP shock + 1 SD climate shock,6.351480480455029e-5,0.001860040301711487,184,,corporate_mortgage_rate,target,land_temp_shock,corporate_mortgage_rate__target__land_temp_shock,-0.001786216936320286,0.0019132465459293865,-0.0029959792317414986,0.0031230088413505995
0,interaction,Interaction,-1.6390667758853241e-4,0.0031152185781222427,184,,corporate_mortgage_rate,target,land_temp_shock,corporate_mortgage_rate__target__land_temp_shock,-0.0032618603505236753,0.0029340469953466107,-0.005287985254559509,0.004960171899382445
1,base,MP shock only,0.005249174888959273,0.004047480111106118,184,,corporate_mortgage_rate,target,land_temp_shock,corporate_mortgage_rate__target__land_temp_shock,0.0012241263853351057,0.00927422339258344,-0.0014083374518075705,0.011906687229726116
1,climate,MP shock + 1 SD climate shock,0.006350231297874681,0.002492374467942106,184,,corporate_mortgage_rate,target,land_temp_shock,corporate_mortgage_rate__target__land_temp_shock,0.0038716698603189392,0.008828792735430423,0.002250640114558864,0.010449822481190498
1,interaction,Interaction,0.0011010564089154085,0.00465204925357822,184,,corporate_mortgage_rate,target,land_temp_shock,corporate_mortgage_rate__target__land_temp_shock,-0.003525210644385501,0.0057273234622163185,-0.006550883678589612,0.00875299649642043
2,base,MP shock only,0.010575342768624141,0.00420680109273368,184,,corporate_mortgage_rate,target,land_temp_shock,corporate_mortgage_rate__target__land_temp_shock,0.006391856258859729,0.014758829278388553,0.0036557707333777344,0.017494914803870547
2,climate,MP shock + 1 SD climate shock,0.007955813246155952,0.003064525841420864,184,,corporate_mortgage_rate,target,land_temp_shock,corporate_mortgage_rate__target__land_temp_shock,0.004908271364854971,0.011003355127456933,0.002915116801008334,0.01299650969130357
2,interaction,Interaction,-0.0026195295224681883,0.004426499255329874,184,,corporate_mortgage_rate,target,land_temp_shock,corporate_mortgage_rate__target__land_temp_shock,-0.007021496601953084,0.0017824375570167075,-0.00990047287729552,0.004661413832359143
3,base,MP shock only,0.01795650130957021,0.005402551188008849,184,,corporate_mortgage_rate,target,land_temp_shock,corporate_mortgage_rate__target__land_temp_shock,0.012583891691210592,0.023329110927929827,0.009070095393182872,0.026842907225957547
3,climate,MP shock + 1 SD climate shock,0.015649290669803886,0.006289326026305938,184,,corporate_mortgage_rate,target,land_temp_shock,corporate_mortgage_rate__target__land_temp_shock,0.009394820822867675,0.021903760516740096,0.005304269944354277,0.025994311395253496
3,interaction,Interaction,-0.0023072106397663238,0.005255028552973281,184,,corporate_mortgage_rate,target,land_temp_shock,corporate_mortgage_rate__target__land_temp_shock,-0.007533115210762945,0.0029186939312302977,-0.010950963414857968,0.006336542135325321
4,base,MP shock only,0.01572399636759159,0.008051060688644062,184,,corporate_mortgage_rate,target,land_temp_shock,corporate_mortgage_rate__target__land_temp_shock,0.007717555597569358,0.023730437137613823,0.0024811799930689916,0.028966812742114188
4,climate,MP shock + 1 SD climate shock,0.0224490767325985,0.004837045272057226,184,,corporate_mortgage_rate,target,land_temp_shock,corporate_mortgage_rate__target__land_temp_shock,0.017638838930358728,0.027259314534838274,0.014492845273126706,0.030405308192070296
4,interaction,Interaction,0.00672508036500691,0.006403706324605225,184,,corporate_mortgage_rate,target,land_temp_shock,corporate_mortgage_rate__target__land_temp_shock,3.568641287430884e-4,0.013093296601270732,-0.0038080792089520716,0.017258239938965893
5,base,MP shock only,0.011709339703469244,0.009735278187857375,184,,corporate_mortgage_rate,target,land_temp_shock,corporate_mortgage_rate__target__land_temp_shock,0.0020280155643145163,0.02139066384262397,-0.00430376793320951,0.027722447340147997
5,climate,MP shock + 1 SD climate shock,0.025946677396476645,0.005699662348439603,184,,corporate_mortgage_rate,target,land_temp_shock,corporate_mortgage_rate__target__land_temp_shock,0.020278603242437066,0.031614751550516226,0.016571567110247022,0.03532178768270627
5,interaction,Interaction,0.0142373376930074,0.008843811949508241,184,,corporate_mortgage_rate,target,land_temp_shock,corporate_mortgage_rate__target__land_temp_shock,0.005442539182194313,0.02303213620382049,-3.094384682179943e-4,0.028784113854232796
6,base,MP shock only,0.00452527438304599,0.011681301094130268,180,,corporate_mortgage_rate,target,land_temp_shock,corporate_mortgage_rate__target__land_temp_shock,-0.0070912875761585704,0.01614183634225055,-0.014688756089146375,0.023739304855238355
6,climate,MP shock + 1 SD climate shock,0.029133632525571412,0.009340776258589888,180,,corporate_mortgage_rate,target,land_temp_shock,corporate_mortgage_rate__target__land_temp_shock,0.019844623939918194,0.038422641111224634,0.01376942281808764,0.04449784223305518
6,interaction,Interaction,0.024608358142525422,0.012406646919369917,180,,corporate_mortgage_rate,target,land_temp_shock,corporate_mortgage_rate__target__land_temp_shock,0.012270470309358008,0.036946245975692835,0.004201239958893512,0.045015476326157336
