h,series,component,irf,se,nobs,tidy,dep,mp_shock,climate_shock,model,lo68,hi68,lo90,hi90
0,base,MP shock alone,-0.634566087118501,0.15462672822632942,184,,corporate_mortgage_rate,target,pop_temp_shock,corporate_mortgage_rate__target__pop_temp_shock,-0.7883358559581064,-0.4807963182788957,-0.8889044218652185,-0.38022775237178363
0,climate,MP shock with climate shock,-0.036326735827778345,0.13777222964363606,184,,corporate_mortgage_rate,target,pop_temp_shock,corporate_mortgage_rate__target__pop_temp_shock,-0.17333541568427668,0.10068194402872,-0.26294188745030417,0.19028841579474748
0,interaction,Interaction (climate amplification),0.5982393512907227,0.2233271516434298,184,,corporate_mortgage_rate,target,pop_temp_shock,corporate_mortgage_rate__target__pop_temp_shock,0.3761499048041339,0.8203287977773115,0.2308988759132859,0.9655798266681594
1,base,MP shock alone,-0.645855003393863,0.3114611895320004,184,,corporate_mortgage_rate,target,pop_temp_shock,corporate_mortgage_rate__target__pop_temp_shock,-0.955590038637848,-0.33611996814987816,-1.1581630706501937,-0.13354693613753243
1,climate,MP shock with climate shock,0.7082927373704784,0.19589636714703623,184,,corporate_mortgage_rate,target,pop_temp_shock,corporate_mortgage_rate__target__pop_temp_shock,0.513482050768956,0.9031034239720007,0.3860718873620587,1.030513587378898
1,interaction,Interaction (climate amplification),1.3541477407643414,0.3957513475595274,184,,corporate_mortgage_rate,target,pop_temp_shock,corporate_mortgage_rate__target__pop_temp_shock,0.9605896933928865,1.7477057881357965,0.7031947013601204,2.0051007801685623
2,base,MP shock alone,0.27436759698862423,0.47726069051265685,184,,corporate_mortgage_rate,target,pop_temp_shock,corporate_mortgage_rate__target__pop_temp_shock,-0.20024805903781767,0.7489832530150662,-0.5106563808024831,1.0593915747797316
2,climate,MP shock with climate shock,0.756042887326154,0.36867909170263646,184,,corporate_mortgage_rate,target,pop_temp_shock,corporate_mortgage_rate__target__pop_temp_shock,0.38940705820785565,1.1226787164444523,0.1496197461578982,1.36246602849441
2,interaction,Interaction (climate amplification),0.4816752903375298,0.4704584769227804,184,,corporate_mortgage_rate,target,pop_temp_shock,corporate_mortgage_rate__target__pop_temp_shock,0.01382414923881703,0.9495264314362426,-0.29216004175897076,1.2555106224340304
3,base,MP shock alone,1.5169380188260184,0.605283507536716,184,,corporate_mortgage_rate,target,pop_temp_shock,corporate_mortgage_rate__target__pop_temp_shock,0.9150090631792811,2.1188669744727555,0.5213352461203428,2.512540791531694
3,climate,MP shock with climate shock,1.5069905499399872,0.679016008083146,184,,corporate_mortgage_rate,target,pop_temp_shock,corporate_mortgage_rate__target__pop_temp_shock,0.8317377278760851,2.182243372003889,0.39010860628631483,2.6238724935936597
3,interaction,Interaction (climate amplification),-0.009947468886031294,0.43910375107544775,184,,corporate_mortgage_rate,target,pop_temp_shock,corporate_mortgage_rate__target__pop_temp_shock,-0.4466176556899835,0.4267227179179209,-0.7322088664504776,0.712313928678415
4,base,MP shock alone,0.9762900337004261,1.000845820754013,184,,corporate_mortgage_rate,target,pop_temp_shock,corporate_mortgage_rate__target__pop_temp_shock,-0.019008982625937754,1.97158905002679,-0.6699548445860344,2.622534911986887
4,climate,MP shock with climate shock,2.4397645026288544,0.5714054592068907,184,,corporate_mortgage_rate,target,pop_temp_shock,corporate_mortgage_rate__target__pop_temp_shock,1.8715258392114729,3.008003166046236,1.499886160592529,3.3796428446651796
