model,dep,mp_shock,climate_shock,component,h,irf,se,lo68,hi68,lo90,hi90,nobs
corporate_mortgages__central_bank_information__land_precip_shock,corporate_mortgages,central_bank_information,land_precip_shock,MP shock (purged),0,1.8189369792972712e-4,7.208874496241202e-4,-5.34998509255953e-4,8.987859051154074e-4,-0.0010038606382083033,0.0013676480340677575,184
corporate_mortgages__central_bank_information__land_precip_shock,corporate_mortgages,central_bank_information,land_precip_shock,Interaction (climate x MP),0,-9.756120889360726e-5,4.3459703116749664e-4,-5.297496525576792e-4,3.346272347704646e-4,-8.124097118718059e-4,6.172872940845913e-4,184
corporate_mortgages__central_bank_information__land_precip_shock,corporate_mortgages,central_bank_information,land_precip_shock,MP shock (purged),1,0.0020508233394533138,0.0015859370183730587,4.736757692580544e-4,0.003627970909648573,-5.578109173342144e-4,0.004659457596240842,184
corporate_mortgages__central_bank_information__land_precip_shock,corporate_mortgages,central_bank_information,land_precip_shock,Interaction (climate x MP),1,0.0011612244883814399,0.0010256460618432986,1.412626767983336e-4,0.002181186299964546,-5.25813156410003e-4,0.0028482621331728827,184
corporate_mortgages__central_bank_information__land_precip_shock,corporate_mortgages,central_bank_information,land_precip_shock,MP shock (purged),2,9.318198082992642e-4,0.0015004427151683994,-5.603072781045971e-4,0.0024239468947031256,-0.0015361888337783913,0.00339982845037692,184
corporate_mortgages__central_bank_information__land_precip_shock,corporate_mortgages,central_bank_information,land_precip_shock,Interaction (climate x MP),2,0.0010728327797618431,0.0010877243466891969,-8.86327156240734e-6,0.0021545288310860933,-7.163145570133022e-4,0.0028619801165369885,184
corporate_mortgages__central_bank_information__land_precip_shock,corporate_mortgages,central_bank_information,land_precip_shock,MP shock (purged),3,3.5445553680966084e-4,0.0018501962918570085,-0.0014854867511129948,0.0021943978247323166,-0.0026888465444235028,0.0033977576180428248,184
corporate_mortgages__central_bank_information__land_precip_shock,corporate_mortgages,central_bank_information,land_precip_shock,Interaction (climate x MP),3,0.0013162439441925036,0.00118956094862862,1.3327568127030013e-4,0.002499212207114707,-6.404096966391151e-4,0.0032728975850241223,184
corporate_mortgages__central_bank_information__land_precip_shock,corporate_mortgages,central_bank_information,land_precip_shock,MP shock (purged),4,-7.654101562136623e-4,0.001861454489317538,-0.0026165482473516732,0.0010857279349243487,-0.003827230324372714,0.002296410011945389,184
corporate_mortgages__central_bank_information__land_precip_shock,corporate_mortgages,central_bank_information,land_precip_shock,Interaction (climate x MP),4,1.5035531487343404e-4,8.990994302486572e-4,-7.437612013267408e-4,0.001044471831073609,-0.0013285316439610715,0.0016292422737079395,184
corporate_mortgages__central_bank_information__land_precip_shock,corporate_mortgages,central_bank_information,land_precip_shock,MP shock (purged),5,0.189381177753773,0.15540069278245563,0.03484173376000299,0.343920621747543,-0.0662302154002205,0.4449925709077665,184
corporate_mortgages__central_bank_information__land_precip_shock,corporate_mortgages,central_bank_information,land_precip_shock,Interaction (climate x MP),5,0.26410293586370925,0.1966443801658949,0.06854838181883943,0.4596574899085791,-0.05934828607178694,0.5875541577992054,184
corporate_mortgages__central_bank_information__land_precip_shock,corporate_mortgages,central_bank_information,land_precip_shock,MP shock (purged),6,0.4995301558138555,0.4280733330582037,0.07382925516225053,0.9252310564654604,-0.20458781866813613,1.2036481302958473,180
corporate_mortgages__central_bank_information__land_precip_shock,corporate_mortgages,central_bank_information,land_precip_shock,Interaction (climate x MP),6,-0.4626396146650706,0.2989832194352296,-0.7599658341798662,-0.165313395150275,-0.9544232475507357,0.02914401822059448,180
