model,dep,mp_shock,climate_shock,component,h,irf,se,lo68,hi68,lo90,hi90,nobs
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,MP shock (purged),0,-0.00590724361747226,0.0031622351080754026,-0.00905195324926049,-0.0027625339856840302,-0.011108657504263365,-7.05829730681156e-4,184
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,Interaction (climate x MP),0,-0.002012846637701505,8.687804870598005e-4,-0.0028768122418369327,-0.0011488810335660773,-0.0034418633728664836,-5.838299025365261e-4,184
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,MP shock (purged),1,-0.011422304704988478,0.004235738791406887,-0.015634568537320412,-0.007210040872656547,-0.01838947501885314,-0.004455134391123818,184
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,Interaction (climate x MP),1,-0.007345827812907253,0.002350830825973881,-0.009683630059889474,-0.005008025565925032,-0.011212600423359715,-0.0034790552024547916,184
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,MP shock (purged),2,-0.011590120475123748,0.004391149574250373,-0.015956933785590183,-0.007223307164657313,-0.018812918778815885,-0.004367322171431612,184
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,Interaction (climate x MP),2,-0.007320862268769981,0.0032952524414895075,-0.010597852036375408,-0.004043872501164555,-0.01274107019887469,-0.0019006543386652728,184
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,MP shock (purged),3,-0.007999172280218824,0.0030416660139550144,-0.011023981025887575,-0.004974363534550073,-0.013002267655247755,-0.002996076905189894,184
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,Interaction (climate x MP),3,-0.007800721953365694,0.003522915318995044,-0.011304112864220717,-0.00429733104251067,-0.013595401993257593,-0.002006041913473795,184
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,MP shock (purged),4,-0.007747038486541825,0.002949855058121055,-0.010680545103416473,-0.004813531869667177,-0.012599118277873387,-0.002894958695210264,184
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,Interaction (climate x MP),4,-0.005245123038392713,0.004128015206229671,-0.009350260302237543,-0.0011399857745478812,-0.012035103822470413,0.0015448577456849888,184
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,MP shock (purged),5,-0.07953618639378236,0.10904097786927204,-0.1879728464287802,0.028900473641215466,-0.2588926343283896,0.09982026154082489,184
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,Interaction (climate x MP),5,-0.5716578272545041,0.41554221164617094,-0.9848970554324545,-0.15841859907655365,-1.2551639412321443,0.11184828672313618,184
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,MP shock (purged),6,0.5521440787817548,0.3819452069079786,0.1723156568179351,0.9319725007455744,-0.07609988009756408,1.1803880376610736,180
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,Interaction (climate x MP),6,-0.22244375132232236,0.17309704599528505,-0.3945814732726548,-0.050306029371989885,-0.5071630552422527,0.062275552597607975,180
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,MP shock (purged),7,-0.7961160545451467,0.5067731218357316,-1.3000805805535067,-0.2921515285367866,-1.6296836620381698,0.0374515529478765,176
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,Interaction (climate x MP),7,-0.23106577083898747,0.24503544652708875,-0.47474320230367284,0.012611660625697907,-0.6341132137907427,0.1719816721127678,176
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,MP shock (purged),8,-0.1700927650819935,0.18083961794131867,-0.34993014874037776,0.009744618576390779,-0.4675474665492899,0.1273619363853029,172
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,Interaction (climate x MP),8,-0.16379449920028336,0.11794497260620813,-0.2810858069934854,-0.046503191407081285,-0.3577967151722967,0.030207716771730037,172
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,MP shock (purged),9,0.6711311673196174,0.5623835178714696,0.11186444458510136,1.2303978900541335,-0.25390740178899696,1.596169736428232,168
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,Interaction (climate x MP),9,-0.4669166513240561,0.337458075457535,-0.8025044947155935,-0.13132880793251867,-1.0219857906844458,0.08815248803633374,168
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,MP shock (purged),10,-0.7171348981426077,0.6339993606769889,-1.3476205603177829,-0.08664923596743235,-1.7599710460370672,0.3257012497518518,164
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,Interaction (climate x MP),10,0.26674360713125966,0.3623146278138422,-0.09356303070042343,0.6270502449629427,-0.3292109225259112,0.8626981367884305,164
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,MP shock (purged),11,0.13913319317206665,0.1809941624559895,-0.040857878497238875,0.3191242648413722,-0.15857571140071156,0.43684209774484484,160
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,Interaction (climate x MP),11,-0.30462677653113407,0.2704660552878064,-0.573593877352738,-0.03565967570953005,-0.7495038485385397,0.1402502954762715,160
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,MP shock (purged),12,0.09097467881641329,0.19467340717005216,-0.1026198255951472,0.28456918322797375,-0.22923458103824762,0.4111839386710742,156
corporate_mortgages__country_risk__pop_precip_shock,corporate_mortgages,country_risk,pop_precip_shock,Interaction (climate x MP),12,-0.6216802393166456,0.6610654975133285,-1.2790820346367529,0.035721556003461497,-1.7090362205539231,0.4656757419206319,156
