model,dep,mp_shock,climate_shock,component,h,irf,se,lo68,hi68,lo90,hi90,nobs
corporate_mortgages__forward_guidance__land_precip_shock,corporate_mortgages,forward_guidance,land_precip_shock,MP shock (purged),0,8.256473607341352e-4,0.0011802324480017189,-3.4804410120111936e-4,0.00199933882266939,-0.0011156622620073062,0.0027669569834755763,184
corporate_mortgages__forward_guidance__land_precip_shock,corporate_mortgages,forward_guidance,land_precip_shock,Interaction (climate x MP),0,-0.001433603589539326,9.029558655687962e-4,-0.002331555168244702,-0.00053565201083395045,-0.002918833819997266,5.162664091861368e-5,184
corporate_mortgages__forward_guidance__land_precip_shock,corporate_mortgages,forward_guidance,land_precip_shock,MP shock (purged),1,0.0031509790680009793,0.0019418473040738458,0.0012198937084751365,0.005082064427526822,-4.3075513090822925e-5,0.006345033649092781,184
corporate_mortgages__forward_guidance__land_precip_shock,corporate_mortgages,forward_guidance,land_precip_shock,Interaction (climate x MP),1,0.0016391713214526178,8.054617830801809e-4,8.381735016443476e-4,0.0024401691412608882,3.1430458618238286e-4,0.0029640380567228525,184
corporate_mortgages__forward_guidance__land_precip_shock,corporate_mortgages,forward_guidance,land_precip_shock,MP shock (purged),2,0.00426257413300066,0.002621826238877622,0.0016552783613426312,0.006869869904658689,-4.994626525373167e-5,0.008575094531255052,184
corporate_mortgages__forward_guidance__land_precip_shock,corporate_mortgages,forward_guidance,land_precip_shock,Interaction (climate x MP),2,0.0010590515776849616,0.0012292612104376592,-1.63396923558732e-4,0.002281500078928655,-9.629031827741784e-4,0.0030810063381441015,184
corporate_mortgages__forward_guidance__land_precip_shock,corporate_mortgages,forward_guidance,land_precip_shock,MP shock (purged),3,0.004544372772403105,0.0014268827920532402,0.003125397931429417,0.005963347613376793,0.00219735943665969,0.006891386108146519,184
corporate_mortgages__forward_guidance__land_precip_shock,corporate_mortgages,forward_guidance,land_precip_shock,Interaction (climate x MP),3,3.5544458111193056e-4,0.0017004841500274505,-0.0013356152871561043,0.0020465044493799653,-0.0024416029406342113,0.0031524921028580725,184
corporate_mortgages__forward_guidance__land_precip_shock,corporate_mortgages,forward_guidance,land_precip_shock,MP shock (purged),4,0.003937792190352846,0.0019685006667774676,0.001980201184172338,0.005895383196533354,6.998967289475384e-4,0.007175687651758154,184
corporate_mortgages__forward_guidance__land_precip_shock,corporate_mortgages,forward_guidance,land_precip_shock,Interaction (climate x MP),4,-0.001016014970904475,0.0024413473075295565,-0.0034438320465301486,0.0014118021047211983,-0.005031673944342676,0.002999644002533726,184
corporate_mortgages__forward_guidance__land_precip_shock,corporate_mortgages,forward_guidance,land_precip_shock,MP shock (purged),5,-0.3183697446389814,0.18544573888022545,-0.502787721576079,-0.13395176770188374,-0.6234008408388158,-0.013338648439147005,184
corporate_mortgages__forward_guidance__land_precip_shock,corporate_mortgages,forward_guidance,land_precip_shock,Interaction (climate x MP),5,-0.3968026285177052,0.32647823573049317,-0.7214714837363063,-0.07213377329910414,-0.9338115386797244,0.14020628164431403,184
corporate_mortgages__forward_guidance__land_precip_shock,corporate_mortgages,forward_guidance,land_precip_shock,MP shock (purged),6,0.16463095475046297,0.14928663723617136,0.016171681493077655,0.31309022800784825,-0.0809237119628421,0.410185621463768,180
corporate_mortgages__forward_guidance__land_precip_shock,corporate_mortgages,forward_guidance,land_precip_shock,Interaction (climate x MP),6,-0.10372289582476313,0.061882820672529947,-0.165262754677816,-0.04218303697171024,-0.2055110778539615,-0.0019347137955647437,180
corporate_mortgages__forward_guidance__land_precip_shock,corporate_mortgages,forward_guidance,land_precip_shock,MP shock (purged),7,0.05583802413088887,0.07837597000099197,-0.022103577090808735,0.13377962535258647,-0.07307897439108252,0.18475502265286026,176
corporate_mortgages__forward_guidance__land_precip_shock,corporate_mortgages,forward_guidance,land_precip_shock,Interaction (climate x MP),7,0.015067134488508235,0.04162865471083033,-0.026330809356093818,0.05646507833311029,-0.053405909197711494,0.08354017817472796,176
corporate_mortgages__forward_guidance__land_precip_shock,corporate_mortgages,forward_guidance,land_precip_shock,MP shock (purged),8,-0.5593908482866523,0.4439735015687864,-1.0009037968579697,-0.11787789971533491,-1.2896622726124156,0.1708805760391109,172
corporate_mortgages__forward_guidance__land_precip_shock,corporate_mortgages,forward_guidance,land_precip_shock,Interaction (climate x MP),8,0.05911949414165573,0.17202383219438097,-0.11195096188399817,0.23018995016730964,-0.22383453016536314,0.3420735184486746,172
corporate_mortgages__forward_guidance__land_precip_shock,corporate_mortgages,forward_guidance,land_precip_shock,MP shock (purged),9,0.1174952109783478,0.20898554328450816,-0.09033211001780446,0.32532253197450006,-0.2262554178735992,0.4612458398302948,168
corporate_mortgages__forward_guidance__land_precip_shock,corporate_mortgages,forward_guidance,land_precip_shock,Interaction (climate x MP),9,-0.25486430615135475,0.14287180464858512,-0.3969442985725441,-0.1127843137301654,-0.4898675122166821,-0.0198611000860274,168
corporate_mortgages__forward_guidance__land_precip_shock,corporate_mortgages,forward_guidance,land_precip_shock,MP shock (purged),10,-0.029339414637138454,0.04937179686141969,-0.07843758723420782,0.019758757959930907,-0.1105487937737559,0.051869964499479,164
