h,series,component,irf,se,nobs,tidy,dep,mp_shock,climate_shock,model,lo68,hi68,lo90,hi90
0,base,MP shock alone,0.020051163998900647,0.037661884308378614,184,,corporate_mortgages,forward_guidance,pop_temp_shock,corporate_mortgages__forward_guidance__pop_temp_shock,-0.01740199374810017,0.05750432174590146,-0.04189712300356263,0.08199945100136392
0,climate,MP shock with climate shock,0.013016871356414245,0.0261271186969684,184,,corporate_mortgages,forward_guidance,pop_temp_shock,corporate_mortgages__forward_guidance__pop_temp_shock,-0.012965447797342919,0.03899919051017141,-0.029958414594085832,0.05599215730691432
0,interaction,Interaction (climate amplification),-0.007034292642486403,0.023282883506751832,184,,corporate_mortgages,forward_guidance,pop_temp_shock,corporate_mortgages__forward_guidance__pop_temp_shock,-0.030188139689630106,0.016119554404657302,-0.04533122802445575,0.03126264273948295
1,base,MP shock alone,0.1594141028109442,0.029977989413374127,184,,corporate_mortgages,forward_guidance,pop_temp_shock,corporate_mortgages__forward_guidance__pop_temp_shock,0.12960225491603578,0.18922595070585263,0.11010469819564295,0.20872350742624546
1,climate,MP shock with climate shock,-0.09256453559924305,0.03515785457816545,184,,corporate_mortgages,forward_guidance,pop_temp_shock,corporate_mortgages__forward_guidance__pop_temp_shock,-0.1275275412412418,-0.0576015299572443,-0.1503940602179709,-0.034735010980515214
1,interaction,Interaction (climate amplification),-0.25197863841018725,0.027898847458676157,184,,corporate_mortgages,forward_guidance,pop_temp_shock,corporate_mortgages__forward_guidance__pop_temp_shock,-0.27972286719793416,-0.22423440962244034,-0.29786815884035656,-0.20608911798001794
2,base,MP shock alone,0.11953423764493198,0.03617123366300589,184,,corporate_mortgages,forward_guidance,pop_temp_shock,corporate_mortgages__forward_guidance__pop_temp_shock,0.08356346918333378,0.15550500610653017,0.06003785276302758,0.17903062252683638
2,climate,MP shock with climate shock,-0.07017610936995428,0.04479324595006659,184,,corporate_mortgages,forward_guidance,pop_temp_shock,corporate_mortgages__forward_guidance__pop_temp_shock,-0.11472110591955134,-0.025631112820357203,-0.14385444243385062,0.0035022236939420692
2,interaction,Interaction (climate amplification),-0.18971034701488626,0.034210844737734905,184,,corporate_mortgages,forward_guidance,pop_temp_shock,corporate_mortgages__forward_guidance__pop_temp_shock,-0.22373159125559164,-0.15568910277418088,-0.2459821790628232,-0.13343851496694933
3,base,MP shock alone,0.08238689984191659,0.053488041024680015,184,,corporate_mortgages,forward_guidance,pop_temp_shock,corporate_mortgages__forward_guidance__pop_temp_shock,0.029195295787476865,0.1355785038963563,-0.005593098436057431,0.17036689811989061
3,climate,MP shock with climate shock,-0.05419701937009784,0.06779439168918616,184,,corporate_mortgages,forward_guidance,pop_temp_shock,corporate_mortgages__forward_guidance__pop_temp_shock,-0.1216156866228188,0.013221647882623117,-0.1657088704270244,0.057314831686828716
3,interaction,Interaction (climate amplification),-0.13658391921201443,0.026183416827803972,184,,corporate_mortgages,forward_guidance,pop_temp_shock,corporate_mortgages__forward_guidance__pop_temp_shock,-0.162622224485791,-0.11054561393823786,-0.17965180734720998,-0.09351603107681888
4,base,MP shock alone,0.10027172070817393,0.08288745477898338,184,,corporate_mortgages,forward_guidance,pop_temp_shock,corporate_mortgages__forward_guidance__pop_temp_shock,0.017843637884021976,0.1826998035323259,-0.036066009913812966,0.2366094513301608
4,climate,MP shock with climate shock,-0.022879224288424538,0.07539655725325702,184,,corporate_mortgages,forward_guidance,pop_temp_shock,corporate_mortgages__forward_guidance__pop_temp_shock,-0.09785792501580148,0.05209947643895241,-0.14689552494609862,0.10113707636924954
4,interaction,Interaction (climate amplification),-0.12315094499659847,0.0470032895623352,184,,corporate_mortgages,forward_guidance,pop_temp_shock,corporate_mortgages__forward_guidance__pop_temp_shock,-0.16989373683865341,-0.07640815315454352,-0.20046447631185577,-0.04583741368134117
5,base,MP shock alone,0.08406628352617919,0.0633941070915933,184,,corporate_mortgages,forward_guidance,pop_temp_shock,corporate_mortgages__forward_guidance__pop_temp_shock,0.021023513979900918,0.14710905307245747,-0.02020774345077804,0.18834031050313643
5,climate,MP shock with climate shock,-0.02091143402352691,0.0871801730011703,184,,corporate_mortgages,forward_guidance,pop_temp_shock,corporate_mortgages__forward_guidance__pop_temp_shock,-0.1076084443241308,0.06578557627707698,-0.16431005778275862,0.1224871897357048
5,interaction,Interaction (climate amplification),-0.1049777175497061,0.0564997886364958,184,,corporate_mortgages,forward_guidance,pop_temp_shock,corporate_mortgages__forward_guidance__pop_temp_shock,-0.1611643777589542,-0.04879105734045801,-0.19791159981043777,-0.012043835288974444
6,base,MP shock alone,0.05779557124473609,0.07634576100296882,180,,corporate_mortgages,forward_guidance,pop_temp_shock,corporate_mortgages__forward_guidance__pop_temp_shock,-0.018127072634314005,0.13371821512378618,-0.06778203064336738,0.18337317313283955
6,climate,MP shock with climate shock,-0.04154448784602723,0.09120524833400127,180,,corporate_mortgages,forward_guidance,pop_temp_shock,corporate_mortgages__forward_guidance__pop_temp_shock,-0.132244266041878,0.04915529034982354,-0.19156377136521888,0.1084747956731644
6,interaction,Interaction (climate amplification),-0.09934005909076332,0.08049071869789953,180,,corporate_mortgages,forward_guidance,pop_temp_shock,corporate_mortgages__forward_guidance__pop_temp_shock,-0.17938468882510822,-0.01929542935641844,-0.231735509676934,0.033055391495407344
