h,series,component,irf,se,nobs,tidy,dep,mp_shock,climate_shock,model,lo68,hi68,lo90,hi90
0,base,MP shock alone,-0.003920129168416109,0.0068707532584841875,196,,corporate_mortgages,miyajima_surprise,pop_precip_shock,corporate_mortgages__miyajima_surprise__pop_precip_shock,-0.01075280390990481,0.002912545573072591,-0.015221512585522465,0.0073812542486902475
0,climate,MP shock with climate shock,-0.002835193618379689,0.006896032980531397,196,,corporate_mortgages,miyajima_surprise,pop_precip_shock,corporate_mortgages__miyajima_surprise__pop_precip_shock,-0.009693007978743588,0.0040226207419842095,-0.014178158477983725,0.008507771241224347
0,interaction,Interaction (climate amplification),0.0010849355500364196,0.00273947267511975,196,,corporate_mortgages,miyajima_surprise,pop_precip_shock,corporate_mortgages__miyajima_surprise__pop_precip_shock,-0.0016393546475741271,0.0038092257476469663,-0.0034210960155687514,0.0055909671156415906
1,base,MP shock alone,-9.662640330841497e-4,0.013659928803501092,196,,corporate_mortgages,miyajima_surprise,pop_precip_shock,corporate_mortgages__miyajima_surprise__pop_precip_shock,-0.014550487915809783,0.012617959849641484,-0.023434847469421795,0.0215023194032535
1,climate,MP shock with climate shock,0.0039778080319112855,0.015137591616792952,196,,corporate_mortgages,miyajima_surprise,pop_precip_shock,corporate_mortgages__miyajima_surprise__pop_precip_shock,-0.01107588928421834,0.019031505348040913,-0.020921314442280792,0.028876930506103363
1,interaction,Interaction (climate amplification),0.004944072064995435,0.003691448674590164,196,,corporate_mortgages,miyajima_surprise,pop_precip_shock,corporate_mortgages__miyajima_surprise__pop_precip_shock,0.0012730818300850512,0.008615062299905819,-0.0011278206761093984,0.01101596480610027
2,base,MP shock alone,-0.0033108095578851097,0.011984026811538536,196,,corporate_mortgages,miyajima_surprise,pop_precip_shock,corporate_mortgages__miyajima_surprise__pop_precip_shock,-0.01522841949321665,0.008606800377446431,-0.02302277952432795,0.016401160408557727
2,climate,MP shock with climate shock,-5.608936129916815e-4,0.01509642514816056,196,,corporate_mortgages,miyajima_surprise,pop_precip_shock,corporate_mortgages__miyajima_surprise__pop_precip_shock,-0.015573652609865919,0.014451865383882555,-0.025392303271944985,0.024270516045961622
2,interaction,Interaction (climate amplification),0.002749915944893428,0.005646925234886161,196,,corporate_mortgages,miyajima_surprise,pop_precip_shock,corporate_mortgages__miyajima_surprise__pop_precip_shock,-0.002865713370835203,0.008365545260622059,-0.006538449508832865,0.01203828139861972
3,base,MP shock alone,-0.01231602765885524,0.012416285415720952,192,,corporate_mortgages,miyajima_surprise,pop_precip_shock,corporate_mortgages__miyajima_surprise__pop_precip_shock,-0.024663500570701227,3.1445252990749614e-5,-0.032738999758168505,0.008106944440458027
3,climate,MP shock with climate shock,-0.01106898870533695,0.015835847030711534,192,,corporate_mortgages,miyajima_surprise,pop_precip_shock,corporate_mortgages__miyajima_surprise__pop_precip_shock,-0.0268170716223318,0.004679094211657898,-0.037116639129651505,0.014978661718977607
3,interaction,Interaction (climate amplification),0.0012470389535182884,0.005377774661830166,192,,corporate_mortgages,miyajima_surprise,pop_precip_shock,corporate_mortgages__miyajima_surprise__pop_precip_shock,-0.004100931453064385,0.006595009360100962,-0.0075986132039207845,0.010092691110957362
4,base,MP shock alone,-0.017260762012505076,0.013943154206820558,188,,corporate_mortgages,miyajima_surprise,pop_precip_shock,corporate_mortgages__miyajima_surprise__pop_precip_shock,-0.031126641630287014,-0.003394882394723138,-0.04019520978073754,0.005673685755727388
4,climate,MP shock with climate shock,-0.019406991378231833,0.01871456333708316,188,,corporate_mortgages,miyajima_surprise,pop_precip_shock,corporate_mortgages__miyajima_surprise__pop_precip_shock,-0.038017836419622406,-7.961463368412573e-4,-0.0501897087600461,0.011375726003582436
