model,dep,mp_shock,climate_shock,component,h,irf,se,lo68,hi68,lo90,hi90,nobs
corporate_mortgages__target__land_precip_shock,corporate_mortgages,target,land_precip_shock,MP shock (purged),0,-7.709078748532747e-4,8.437854648346199e-4,-0.0016100169820958685,6.82012323893191e-5,-0.0021588114570554326,6.169957073488831e-4,184
corporate_mortgages__target__land_precip_shock,corporate_mortgages,target,land_precip_shock,Interaction (climate x MP),0,0.0011412094998161293,4.461310450124844e-4,6.975509651588589e-4,0.0015848680344733995,4.073892323316941e-4,0.0018750297673005645,184
corporate_mortgages__target__land_precip_shock,corporate_mortgages,target,land_precip_shock,MP shock (purged),1,-9.657378109782313e-4,0.0011019086536434362,-0.0020615395581709923,1.3006393621452944e-4,-0.0027782162564928504,8.467406345363875e-4,184
corporate_mortgages__target__land_precip_shock,corporate_mortgages,target,land_precip_shock,Interaction (climate x MP),1,6.511885756771376e-4,4.3615265774243054e-4,2.174531269022921e-4,0.001084924024451983,-6.621870531502312e-5,0.0013685958566692982,184
corporate_mortgages__target__land_precip_shock,corporate_mortgages,target,land_precip_shock,MP shock (purged),2,1.702451418174691e-4,8.064628869342848e-4,-6.317482336104264e-4,9.722385172453645e-4,-0.0011562682627581438,0.001496758546393082,184
corporate_mortgages__target__land_precip_shock,corporate_mortgages,target,land_precip_shock,Interaction (climate x MP),2,9.454697014108029e-4,6.514358767076525e-4,2.9764415841322103e-4,0.0015932952444083848,-1.260469631180908e-4,0.0020169863659396966,184
corporate_mortgages__target__land_precip_shock,corporate_mortgages,target,land_precip_shock,MP shock (purged),3,-9.420200717283549e-4,9.93314446858072e-4,-0.0019298294539125001,4.578931045579016e-5,-0.0025758769423461494,6.918367988894394e-4,184
corporate_mortgages__target__land_precip_shock,corporate_mortgages,target,land_precip_shock,Interaction (climate x MP),3,0.0010944252235421516,6.726586615272677e-4,4.254945148770391e-4,0.001763355932207264,-1.1999815571296863e-5,0.0022008502626556002,184
corporate_mortgages__target__land_precip_shock,corporate_mortgages,target,land_precip_shock,MP shock (purged),4,-3.214882747221154e-4,0.0010534139323440084,-0.0013690640640246004,7.260875145803695e-4,-0.00205420000201937,0.001411223452575139,184
corporate_mortgages__target__land_precip_shock,corporate_mortgages,target,land_precip_shock,Interaction (climate x MP),4,0.0019265258554654948,9.79517409484017e-4,9.52437045862918e-4,0.0029006146650680715,3.153630918135996e-4,0.00353768861911739,184
