h,series,component,irf,se,nobs,tidy,dep,mp_shock,climate_shock,model,lo68,hi68,lo90,hi90
0,base,MP shock alone,-7.197206161827332e-4,0.0010097983979867158,184,,corporate_mortgages,target,pop_precip_shock,corporate_mortgages__target__pop_precip_shock,-0.0017239225935132025,2.844813611477361e-4,-0.002380691173600968,9.412499412355018e-4
0,climate,MP shock during a 1 SD climate shock,-1.951577528422415e-4,8.833975130142311e-4,184,,corporate_mortgages,target,pop_precip_shock,corporate_mortgages__target__pop_precip_shock,-0.0010736593736671344,6.833438679826512e-4,-0.0016482173561636092,0.0012579018504791262
0,interaction,Interaction (climate amplification),5.245628633404917e-4,2.516149715594136e-4,184,,corporate_mortgages,target,pop_precip_shock,corporate_mortgages__target__pop_precip_shock,2.7434237133963494e-4,7.747833553413484e-4,1.1069306477569889e-4,9.384326619052844e-4
1,base,MP shock alone,-0.0010044909059091739,0.0013812208747320427,184,,corporate_mortgages,target,pop_precip_shock,corporate_mortgages__target__pop_precip_shock,-0.002378056893240325,3.690750814219772e-4,-0.0032763970713332586,0.001267415259514911
1,climate,MP shock during a 1 SD climate shock,-5.464042685134644e-4,0.001233909806937758,184,,corporate_mortgages,target,pop_precip_shock,corporate_mortgages__target__pop_precip_shock,-0.0017734756031925426,6.806670661656138e-4,-0.0025760052897860256,0.0014831967527590968
1,interaction,Interaction (climate amplification),4.5808663739570953e-4,3.0815935809615767e-4,184,,corporate_mortgages,target,pop_precip_shock,corporate_mortgages__target__pop_precip_shock,1.5163513445212826e-4,7.645381403392908e-4,-4.879040044779276e-5,9.649636752392119e-4
2,base,MP shock alone,5.3950479936365684e-5,0.0011314691823162254,184,,corporate_mortgages,target,pop_precip_shock,corporate_mortgages__target__pop_precip_shock,-0.0010712479680268982,0.0011791489278996296,-0.0018071507083802934,0.0019150516682530248
2,climate,MP shock during a 1 SD climate shock,6.518718800030253e-4,0.0010991804602748403,184,,corporate_mortgages,target,pop_precip_shock,corporate_mortgages__target__pop_precip_shock,-4.4121679378741473e-4,0.0017449605537934653,-0.0011561190867542337,0.002459862846760284
2,interaction,Interaction (climate amplification),5.979214000666596e-4,4.5665085183406185e-4,184,,corporate_mortgages,target,pop_precip_shock,corporate_mortgages__target__pop_precip_shock,1.4380136058582773e-4,0.0010520414395474914,-1.5320240982307615e-4,0.0013490452099563953
3,base,MP shock alone,-0.0012864758716725588,0.0013926916981188058,184,,corporate_mortgages,target,pop_precip_shock,corporate_mortgages__target__pop_precip_shock,-0.0026714491097475828,9.849736640246535e-5,-0.0035772498625484804,0.0010042981192033627
