h,series,component,irf,se,nobs,tidy,dep,mp_shock,climate_shock,model,lo68,hi68,lo90,hi90
0,base,MP shock only,3.050614024014405e-4,7.488256309588767e-4,184,,corporate_secured_credit,country_risk,land_precip_shock,corporate_secured_credit__country_risk__land_precip_shock,-4.396141494551319e-4,0.0010497369542580128,-9.26647152635492e-4,0.0015367699574383728
0,climate,MP shock + 1 SD climate shock,2.556028734209966e-4,8.696924346946569e-4,184,,corporate_secured_credit,country_risk,land_precip_shock,corporate_secured_credit__country_risk__land_precip_shock,-6.092696242289884e-4,0.0011204753710709818,-0.0011749138821187657,0.0016861196289607587
0,interaction,Interaction,-4.945852898044384e-5,2.9684459527741736e-4,184,,corporate_secured_credit,country_risk,land_precip_shock,corporate_secured_credit__country_risk__land_precip_shock,-3.446579768422802e-4,2.4574091888139257e-4,-5.377244381634455e-4,4.3880738020255774e-4
1,base,MP shock only,0.0014705587439641965,8.903767659714896e-4,184,,corporate_secured_credit,country_risk,land_precip_shock,corporate_secured_credit__country_risk__land_precip_shock,5.851165500170431e-4,0.0023560009379113497,6.019291102670301e-6,0.002935098196825723
1,climate,MP shock + 1 SD climate shock,7.2761798608717e-4,0.0015231160537428144,184,,corporate_secured_credit,country_risk,land_precip_shock,corporate_secured_credit__country_risk__land_precip_shock,-7.87056780600702e-4,0.002242292752775042,-0.0017776849791797107,0.003232920951354051
1,interaction,Interaction,-7.429407578770265e-4,0.0011492910587821614,184,,corporate_secured_credit,country_risk,land_precip_shock,corporate_secured_credit__country_risk__land_precip_shock,-0.0018858623113854308,3.999807956313778e-4,-0.0026333563243377614,0.0011474748085837086
2,base,MP shock only,0.0031553943269830107,0.0010380030876592165,184,,corporate_secured_credit,country_risk,land_precip_shock,corporate_secured_credit__country_risk__land_precip_shock,0.0021231439736642383,0.004187644680301783,0.0014480311834599222,0.004862757470506099
2,climate,MP shock + 1 SD climate shock,0.003012963444304768,0.0011754498472978478,184,,corporate_secured_credit,country_risk,land_precip_shock,corporate_secured_credit__country_risk__land_precip_shock,0.0018440280773417224,0.004181898811267813,0.0010795204996773495,0.004946406388932186
2,interaction,Interaction,-1.4243088267824284e-4,0.00097541419386341195,184,,corporate_secured_credit,country_risk,land_precip_shock,corporate_secured_credit__country_risk__land_precip_shock,-0.0011124392171603995,8.275774518039137e-4,-0.0017468444572344218,0.0014619826918779361
3,base,MP shock only,0.0040773395461920735,0.0014725742612887156,184,,corporate_secured_credit,country_risk,land_precip_shock,corporate_secured_credit__country_risk__land_precip_shock,0.002612926463441731,0.005541752628942416,0.0016551704315559456,0.006499508660828201
