h,series,component,irf,se,nobs,tidy,dep,mp_shock,climate_shock,model,lo68,hi68,lo90,hi90
0,base,MP shock only,0.0010279820475379673,5.25414396017171e-4,184,,corporate_secured_credit,forward_guidance,pop_temp_shock,corporate_secured_credit__forward_guidance__pop_temp_shock,5.054795594668004e-4,0.001550484535609134,1.6375227259660683e-4,0.0018922118224793277
0,climate,MP shock + 1 SD climate shock,5.698510190495904e-5,3.5732745169534514e-4,184,,corporate_secured_credit,forward_guidance,pop_temp_shock,corporate_secured_credit__forward_guidance__pop_temp_shock,-2.983619993207292e-4,4.123322031306473e-4,-5.307662530254562e-4,6.447364568353742e-4
0,interaction,Interaction,-9.709969456330082e-4,5.42895767290052e-4,184,,corporate_secured_credit,forward_guidance,pop_temp_shock,corporate_secured_credit__forward_guidance__pop_temp_shock,-0.0015108839211758081,-4.311099700902083e-4,-0.0018639810175166522,-7.801287374936423e-5
1,base,MP shock only,0.0014536757680449948,0.0013982628830672432,184,,corporate_secured_credit,forward_guidance,pop_temp_shock,corporate_secured_credit__forward_guidance__pop_temp_shock,6.316222117917747e-5,0.0028441893149108123,-8.462620065997817e-4,0.003753613542689771
1,climate,MP shock + 1 SD climate shock,-6.733516809847328e-4,8.354999806470085e-4,184,,corporate_secured_credit,forward_guidance,pop_temp_shock,corporate_secured_credit__forward_guidance__pop_temp_shock,-0.0015042212231607469,1.575178611912812e-4,-0.0020476268544698494,7.009234925003836e-4
1,interaction,Interaction,-0.0021270274490297275,0.0010389991454964227,184,,corporate_secured_credit,forward_guidance,pop_temp_shock,corporate_secured_credit__forward_guidance__pop_temp_shock,-0.0031602683399168424,-0.0010937865581426127,-0.003836028961898998,-4.180259361604569e-4
2,base,MP shock only,0.0015889266072400604,0.0019167967515573358,184,,corporate_secured_credit,forward_guidance,pop_temp_shock,corporate_secured_credit__forward_guidance__pop_temp_shock,-3.172470328569792e-4,0.0034951002473370997,-0.001563923481687822,0.004741776696167942
2,climate,MP shock + 1 SD climate shock,-0.0016021886050168188,0.0016326307249741124,184,,corporate_secured_credit,forward_guidance,pop_temp_shock,corporate_secured_credit__forward_guidance__pop_temp_shock,-0.003225771099837779,2.1393889804141803e-5,-0.004287627174462898,0.0010832499644292605
2,interaction,Interaction,-0.003191115212256879,0.0013925583042271297,184,,corporate_secured_credit,forward_guidance,pop_temp_shock,corporate_secured_credit__forward_guidance__pop_temp_shock,-0.004575955795724754,-0.0018062746287890042,-0.005481669789706264,-9.005606348074942e-4
3,base,MP shock only,0.0011409437652172385,0.0019983507531326833,184,,corporate_secured_credit,forward_guidance,pop_temp_shock,corporate_secured_credit__forward_guidance__pop_temp_shock,-8.46331894653706e-4,0.003128219425088183,-0.00214605071899426,0.004427938249428737
3,climate,MP shock + 1 SD climate shock,-0.0014623248049827101,0.001702245439695313,184,,corporate_secured_credit,forward_guidance,pop_temp_shock,corporate_secured_credit__forward_guidance__pop_temp_shock,-0.003155136201645567,2.3048659168014652e-4,-0.004262269390427148,0.001337619780461728
3,interaction,Interaction,-0.0026032685701999486,0.0017298868657242648,184,,corporate_secured_credit,forward_guidance,pop_temp_shock,corporate_secured_credit__forward_guidance__pop_temp_shock,-0.004323568200880455,-8.829689395194417e-4,-0.005448679255502219,2.4214211510232165e-4
4,base,MP shock only,1.121165933136263e-4,0.002055990392799101,184,,corporate_secured_credit,forward_guidance,pop_temp_shock,corporate_secured_credit__forward_guidance__pop_temp_shock,-0.0019324792606089571,0.0021567124472362097,-0.003269686661259356,0.0034939198478866084
4,climate,MP shock + 1 SD climate shock,-0.0011308989553585251,0.001744901376150733,184,,corporate_secured_credit,forward_guidance,pop_temp_shock,corporate_secured_credit__forward_guidance__pop_temp_shock,-0.0028661298842951686,6.043319735781183e-4,-0.004001006312592672,0.0017392084018756219
4,interaction,Interaction,-0.0012430155486721514,0.0016266804050299407,184,,corporate_secured_credit,forward_guidance,pop_temp_shock,corporate_secured_credit__forward_guidance__pop_temp_shock,-0.00286068070091701,3.7464960357270756e-4,-0.003918666712776538,0.0014326356154322351
5,base,MP shock only,-0.09418926404333394,0.09392176342843811,184,,corporate_secured_credit,forward_guidance,pop_temp_shock,corporate_secured_credit__forward_guidance__pop_temp_shock,-0.18759050208970574,-7.880259969621634e-4,-0.24867681726827845,0.060298289181610565
5,climate,MP shock + 1 SD climate shock,-0.04192127712999877,0.05571202352711268,184,,corporate_secured_credit,forward_guidance,pop_temp_shock,corporate_secured_credit__forward_guidance__pop_temp_shock,-0.09732453811610321,0.013481983856105675,-0.13355940109337577,0.049716846833378237
5,interaction,Interaction,0.052267986913335174,0.05936316990136408,184,,corporate_secured_credit,forward_guidance,pop_temp_shock,corporate_secured_credit__forward_guidance__pop_temp_shock,-0.006766185367396288,0.11130215919406664,-0.04537573840625997,0.14991171223293032
6,base,MP shock only,-0.05946773456954613,0.08576282180960768,180,,corporate_secured_credit,forward_guidance,pop_temp_shock,corporate_secured_credit__forward_guidance__pop_temp_shock,-0.14475524880442384,0.025819779665331583,-0.2005350230806721,0.08159955394157983
6,climate,MP shock + 1 SD climate shock,0.07377695686204125,0.13527483607631433,180,,corporate_secured_credit,forward_guidance,pop_temp_shock,corporate_secured_credit__forward_guidance__pop_temp_shock,-0.06074817027395665,0.20830208399803915,-0.14873034789335013,0.2962842616174326
6,interaction,Interaction,0.13324469143158738,0.12433424600612644,180,,corporate_secured_credit,forward_guidance,pop_temp_shock,corporate_secured_credit__forward_guidance__pop_temp_shock,0.009599520337854162,0.2568898625253206,-0.07126694406586623,0.337756326929041
7,base,MP shock only,-0.012672033264424384,0.046431656022597946,176,,corporate_secured_credit,forward_guidance,pop_temp_shock,corporate_secured_credit__forward_guidance__pop_temp_shock,-0.05884635962658053,0.03350229309773176,-0.08904531107855775,0.06370124454970898
7,climate,MP shock + 1 SD climate shock,0.05935198175976973,0.10288402538929847,176,,corporate_secured_credit,forward_guidance,pop_temp_shock,corporate_secured_credit__forward_guidance__pop_temp_shock,-0.042961848344970535,0.16166581186451,-0.10987718055718514,0.22858114407672459
7,interaction,Interaction,0.07202401502419412,0.08939394852503942,176,,corporate_secured_credit,forward_guidance,pop_temp_shock,corporate_secured_credit__forward_guidance__pop_temp_shock,-0.016874501797778232,0.16092253184616645,-0.07501594543473011,0.21906397548311835
8,base,MP shock only,0.052506903994609,0.1320875304008725,172,,corporate_secured_credit,forward_guidance,pop_temp_shock,corporate_secured_credit__forward_guidance__pop_temp_shock,-0.0788485818862466,0.1838623898754646,-0.1647577494603289,0.2697715574495469
8,climate,MP shock + 1 SD climate shock,-0.2146698667459594,0.2149953984704389,172,,corporate_secured_credit,forward_guidance,pop_temp_shock,corporate_secured_credit__forward_guidance__pop_temp_shock,-0.4284737356087095,-8.659978832093185e-4,-0.5683058276979376,0.13896609420601885
8,interaction,Interaction,-0.2671767707405684,0.3440552823598271,172,,corporate_secured_credit,forward_guidance,pop_temp_shock,corporate_secured_credit__forward_guidance__pop_temp_shock,-0.609325258543256,0.07497171706211919,-0.8330973498019425,0.29874380832080577
9,base,MP shock only,-0.06243898619196856,0.10725702029650687,168,,corporate_secured_credit,forward_guidance,pop_temp_shock,corporate_secured_credit__forward_guidance__pop_temp_shock,-0.16910157555541833,0.0442236031714812,-0.23886108504268547,0.11398311265874836
9,climate,MP shock + 1 SD climate shock,-0.17331910471478434,0.19750678497428906,168,,corporate_secured_credit,forward_guidance,pop_temp_shock,corporate_secured_credit__forward_guidance__pop_temp_shock,-0.36973128401987976,0.02309307459031104,-0.4981888563272681,0.15155064689769943
9,interaction,Interaction,-0.11088011852281579,0.27803680813078346,168,,corporate_secured_credit,forward_guidance,pop_temp_shock,corporate_secured_credit__forward_guidance__pop_temp_shock,-0.387376014190951,0.16561577714531947,-0.5682099708027454,0.34644973375711374
10,base,MP shock only,-0.1659814035848309,0.09842991014585434,164,,corporate_secured_credit,forward_guidance,pop_temp_shock,corporate_secured_credit__forward_guidance__pop_temp_shock,-0.26386580367300344,-0.06809700349665838,-0.3278841982887468,-0.004078608880914963
10,climate,MP shock + 1 SD climate shock,-0.012888202172232771,0.03312635621927875,164,,corporate_secured_credit,forward_guidance,pop_temp_shock,corporate_secured_credit__forward_guidance__pop_temp_shock,-0.04583096825650896,0.020054563912043417,-0.06737620934719986,0.041599805002734316
10,interaction,Interaction,0.15309320141259813,0.07970172895398486,164,,corporate_secured_credit,forward_guidance,pop_temp_shock,corporate_secured_credit__forward_guidance__pop_temp_shock,0.07383318874886084,0.2323532140763354,0.021995523468333028,0.28419087935686327
11,base,MP shock only,-0.12312161724290926,0.06419503497181689,160,,corporate_secured_credit,forward_guidance,pop_temp_shock,corporate_secured_credit__forward_guidance__pop_temp_shock,-0.18696087583355836,-0.059282358652260156,-0.22871305334857883,-0.017530181137239698
11,climate,MP shock + 1 SD climate shock,-0.04755313098055294,0.08578294288560236,160,,corporate_secured_credit,forward_guidance,pop_temp_shock,corporate_secured_credit__forward_guidance__pop_temp_shock,-0.13286065477807224,0.03775439281696634,-0.1886535157165069,0.09354725375540102
11,interaction,Interaction,0.07556848626235632,0.05700134899579147,160,,corporate_secured_credit,forward_guidance,pop_temp_shock,corporate_secured_credit__forward_guidance__pop_temp_shock,0.01888304539990114,0.1322539271248115,-0.018190389374497892,0.16932736189921055
12,base,MP shock only,-0.18968671712965743,0.11757052986851485,156,,corporate_secured_credit,forward_guidance,pop_temp_shock,corporate_secured_credit__forward_guidance__pop_temp_shock,-0.3066056573905498,-0.07276777686876508,-0.38307302960649037,0.0036995953471755383
12,climate,MP shock + 1 SD climate shock,0.14729860997471025,0.18403365793569548,156,,corporate_secured_credit,forward_guidance,pop_temp_shock,corporate_secured_credit__forward_guidance__pop_temp_shock,-0.035715111935369276,0.3303123318847898,-0.1554098197619649,0.45000703971138545
12,interaction,Interaction,0.3369853271043677,0.20391158645882718,156,,corporate_secured_credit,forward_guidance,pop_temp_shock,corporate_secured_credit__forward_guidance__pop_temp_shock,0.13420384247257983,0.5397668117361556,0.0015806145401372484,0.6723900396685981
