h,series,component,irf,se,nobs,tidy,dep,mp_shock,climate_shock,model,lo68,hi68,lo90,hi90
0,base,MP shock alone,0.008154827377936614,0.006237546224142358,196,,corporate_secured_credit,miyajima_surprise,pop_precip_shock,corporate_secured_credit__miyajima_surprise__pop_precip_shock,0.0019518503634530157,0.014357804392420213,-0.0021050231521214,0.018414677907994628
0,climate,MP shock with climate shock,0.017023147216169682,0.004535070734511286,196,,corporate_secured_credit,miyajima_surprise,pop_precip_shock,corporate_secured_credit__miyajima_surprise__pop_precip_shock,0.012513210373321086,0.021533084059018277,0.009563619670027317,0.024482674762312046
0,interaction,Interaction (climate amplification),0.008868319838233066,0.003302774863761023,196,,corporate_secured_credit,miyajima_surprise,pop_precip_shock,corporate_secured_credit__miyajima_surprise__pop_precip_shock,0.005583849338498897,0.012152790337967234,0.0034357386245715948,0.014300901051894537
1,base,MP shock alone,0.006998218396711335,0.01067967540743105,196,,corporate_secured_credit,miyajima_surprise,pop_precip_shock,corporate_secured_credit__miyajima_surprise__pop_precip_shock,-0.0036222690023298065,0.017618705795752476,-0.010568284431866064,0.024564721225288733
1,climate,MP shock with climate shock,0.025536652730004522,0.008107349443700259,196,,corporate_secured_credit,miyajima_surprise,pop_precip_shock,corporate_secured_credit__miyajima_surprise__pop_precip_shock,0.01747423516378059,0.03359907029622845,0.012201249592571156,0.03887205586743789
1,interaction,Interaction (climate amplification),0.018538434333293188,0.004782564914762339,196,,corporate_secured_credit,miyajima_surprise,pop_precip_shock,corporate_secured_credit__miyajima_surprise__pop_precip_shock,0.013782374951845398,0.023294493714740978,0.010671815087115498,0.02640505357947088
2,base,MP shock alone,2.074271917856425,3.5219444717023314,196,,corporate_secured_credit,miyajima_surprise,pop_precip_shock,corporate_secured_credit__miyajima_surprise__pop_precip_shock,-1.428153526254968,5.576697361967819,-3.718811220344839,7.867355056057689
2,climate,MP shock with climate shock,2.2293548251986253,4.142519389447034,196,,corporate_secured_credit,miyajima_surprise,pop_precip_shock,corporate_secured_credit__miyajima_surprise__pop_precip_shock,-1.8902062379862312,6.348915888383482,-4.584483217250124,9.043192867647374
2,interaction,Interaction (climate amplification),0.1550829073422,0.7026327106959274,196,,corporate_secured_credit,miyajima_surprise,pop_precip_shock,corporate_secured_credit__miyajima_surprise__pop_precip_shock,-0.5436557308104029,0.8538215454948028,-1.0006450552607402,1.3108108699451402
3,base,MP shock alone,-1.1948356973736296,1.892600308959349,192,,corporate_secured_credit,miyajima_surprise,pop_precip_shock,corporate_secured_credit__miyajima_surprise__pop_precip_shock,-3.076946994383469,0.6872755996362097,-4.307886179934891,1.9182147851876314
3,climate,MP shock with climate shock,-0.8628015311163888,2.1304120900021895,192,,corporate_secured_credit,miyajima_surprise,pop_precip_shock,corporate_secured_credit__miyajima_surprise__pop_precip_shock,-2.9814066285044323,1.2558035662716547,-4.367017584257755,2.641414522024977
3,interaction,Interaction (climate amplification),0.33203416625724086,0.7288998095119825,192,,corporate_secured_credit,miyajima_surprise,pop_precip_shock,corporate_secured_credit__miyajima_surprise__pop_precip_shock,-0.3928259953820376,1.0568943278965193,-0.8668993291027804,1.530967661617262
4,base,MP shock alone,-1.4783226920768093,1.8411783497867222,188,,corporate_secured_credit,miyajima_surprise,pop_precip_shock,corporate_secured_credit__miyajima_surprise__pop_precip_shock,-3.30929701641734,0.3526516322637212,-4.506791578588024,1.550146194434406
4,climate,MP shock with climate shock,-1.7017579364054944,2.0397594551312817,188,,corporate_secured_credit,miyajima_surprise,pop_precip_shock,corporate_secured_credit__miyajima_surprise__pop_precip_shock,-3.7302128064124283,0.3266969336014396,-5.05686367428674,1.6533478014757514
4,interaction,Interaction (climate amplification),-0.22343524432868503,0.8850376344811114,188,,corporate_secured_credit,miyajima_surprise,pop_precip_shock,corporate_secured_credit__miyajima_surprise__pop_precip_shock,-1.1035678968757385,0.6566974082183684,-1.679192607393492,1.2323221187361217
5,base,MP shock alone,-13.365495307154832,4.057651428631387,184,,corporate_secured_credit,miyajima_surprise,pop_precip_shock,corporate_secured_credit__miyajima_surprise__pop_precip_shock,-17.400658757674634,-9.33033185663503,-20.039737976443988,-6.691252637865675
5,climate,MP shock with climate shock,-22.268733248066088,6.138686051182592,184,,corporate_secured_credit,miyajima_surprise,pop_precip_shock,corporate_secured_credit__miyajima_surprise__pop_precip_shock,-28.373397984214368,-16.164068511917808,-32.36597326407018,-12.171493232061994
5,interaction,Interaction (climate amplification),-8.903237940911255,2.3093065692434744,184,,corporate_secured_credit,miyajima_surprise,pop_precip_shock,corporate_secured_credit__miyajima_surprise__pop_precip_shock,-11.199746063443499,-6.606729818379012,-12.701709227074243,-5.104766654748267
6,base,MP shock alone,2.5516312237483882,4.615395670952997,180,,corporate_secured_credit,miyajima_surprise,pop_precip_shock,corporate_secured_credit__miyajima_surprise__pop_precip_shock,-2.038185385362987,7.141447832859764,-5.040019085434769,10.143281532931546
6,climate,MP shock with climate shock,7.177356329172825,5.432210881447519,180,,corporate_secured_credit,miyajima_surprise,pop_precip_shock,corporate_secured_credit__miyajima_surprise__pop_precip_shock,1.775251394859537,12.579461263486113,-1.7578354415413768,16.112548099887025
6,interaction,Interaction (climate amplification),4.625725105424436,2.8407450686930247,180,,corporate_secured_credit,miyajima_surprise,pop_precip_shock,corporate_secured_credit__miyajima_surprise__pop_precip_shock,1.8007237776734257,7.450726433175447,-0.04688472405979205,9.298334934908665
7,base,MP shock alone,-9.936213199819857,5.312340138247636,176,,corporate_secured_credit,miyajima_surprise,pop_precip_shock,corporate_secured_credit__miyajima_surprise__pop_precip_shock,-15.219111728591809,-4.653314671047904,-18.67423514381636,-1.1981912558233514
7,climate,MP shock with climate shock,-15.898815857898963,8.412883349455683,176,,corporate_secured_credit,miyajima_surprise,pop_precip_shock,corporate_secured_credit__miyajima_surprise__pop_precip_shock,-24.26507402528924,-7.5325576905086855,-29.73677754837079,-2.0608541674271397
7,interaction,Interaction (climate amplification),-5.962602658079105,3.1623409804809337,176,,corporate_secured_credit,miyajima_surprise,pop_precip_shock,corporate_secured_credit__miyajima_surprise__pop_precip_shock,-9.10741757551563,-2.81778774064258,-11.164190689480442,-0.7610146266777686
8,base,MP shock alone,-2.1894893357253595,3.4564244729873854,172,,corporate_secured_credit,miyajima_surprise,pop_precip_shock,corporate_secured_credit__miyajima_surprise__pop_precip_shock,-5.626757900606782,1.2477792291560625,-7.874801666402489,3.4958229949517703
8,climate,MP shock with climate shock,-4.513714235541407,4.473676650769995,172,,corporate_secured_credit,miyajima_surprise,pop_precip_shock,corporate_secured_credit__miyajima_surprise__pop_precip_shock,-8.962597247831035,-0.0648312232517787,-11.872257500368546,2.844829029285732
8,interaction,Interaction (climate amplification),-2.324224899816048,1.8557729486323926,172,,corporate_secured_credit,miyajima_surprise,pop_precip_shock,corporate_secured_credit__miyajima_surprise__pop_precip_shock,-4.169712938030939,-0.4787368616011567,-5.376699765172466,0.7282499655403698
9,base,MP shock alone,5.736453264484051,2.7525430501276107,168,,corporate_secured_credit,miyajima_surprise,pop_precip_shock,corporate_secured_credit__miyajima_surprise__pop_precip_shock,2.999165129410429,8.473741399557673,1.2089228451415845,10.263983683826517
9,climate,MP shock with climate shock,11.29538778624569,5.039528188646429,168,,corporate_secured_credit,miyajima_surprise,pop_precip_shock,corporate_secured_credit__miyajima_surprise__pop_precip_shock,6.283789251388481,16.3069863211029,3.006101567026432,19.584674005464947
