h,series,component,irf,se,nobs,tidy,dep,mp_shock,climate_shock,model,lo68,hi68,lo90,hi90
0,base,MP shock alone,0.02307787582567763,0.010102349978296383,196,,corporate_secured_credit,romer_surprise,pop_temp_shock,corporate_secured_credit__romer_surprise__pop_temp_shock,0.013031514250816913,0.03312423740053835,0.006460988823143707,0.039694762828211556
0,climate,MP shock with climate shock,0.010242158477413244,0.005763168157952339,196,,corporate_secured_credit,romer_surprise,pop_temp_shock,corporate_secured_credit__romer_surprise__pop_temp_shock,0.004510930470474108,0.01597338648435238,7.625904300741088e-4,0.01972172652475238
0,interaction,Interaction (climate amplification),-0.012835717348264388,0.011052650048891452,196,,corporate_secured_credit,romer_surprise,pop_temp_shock,corporate_secured_credit__romer_surprise__pop_temp_shock,-0.023827112319743157,-0.001844322376785619,-0.031015708868608854,0.005344274172080077
1,base,MP shock alone,0.018094633079711743,0.022254822796888056,196,,corporate_secured_credit,romer_surprise,pop_temp_shock,corporate_secured_credit__romer_surprise__pop_temp_shock,-0.004036850890089715,0.040226117049513205,-0.018511292914911867,0.05470055907433535
1,climate,MP shock with climate shock,0.014931620102299958,0.011748042908302992,196,,corporate_secured_credit,romer_surprise,pop_temp_shock,corporate_secured_credit__romer_surprise__pop_temp_shock,0.0032486862198516115,0.026614553984748303,-0.0043921908850037324,0.03425543108960365
1,interaction,Interaction (climate amplification),-0.003163012977411785,0.014181311129328503,196,,corporate_secured_credit,romer_surprise,pop_temp_shock,corporate_secured_credit__romer_surprise__pop_temp_shock,-0.017265729624222723,0.010939703669399154,-0.02648919402341504,0.020163168068591475
2,base,MP shock alone,11.280820058585796,9.52859803456592,196,,corporate_secured_credit,romer_surprise,pop_temp_shock,corporate_secured_credit__romer_surprise__pop_temp_shock,1.8050306271747552,20.756609489996837,-4.392328978332621,26.953969095504213
2,climate,MP shock with climate shock,-0.5909086782202433,1.1689333193269764,196,,corporate_secured_credit,romer_surprise,pop_temp_shock,corporate_secured_credit__romer_surprise__pop_temp_shock,-1.7533636325714987,0.5715462761310122,-2.513632888179643,1.3318155317391565
2,interaction,Interaction (climate amplification),-11.87172873680604,9.35267323579849,196,,corporate_secured_credit,romer_surprise,pop_temp_shock,corporate_secured_credit__romer_surprise__pop_temp_shock,-21.172568365230717,-2.57088910838136,-27.25550723040114,3.512049756789061
3,base,MP shock alone,-7.301323683564807,6.498363088676142,192,,corporate_secured_credit,romer_surprise,pop_temp_shock,corporate_secured_credit__romer_surprise__pop_temp_shock,-13.763672085058078,-0.8389752820715373,-17.99017977922133,3.387532412091713
3,climate,MP shock with climate shock,2.9471938073946236,1.8537290901053658,192,,corporate_secured_credit,romer_surprise,pop_temp_shock,corporate_secured_credit__romer_surprise__pop_temp_shock,1.1037383004040995,4.790649314385147,-0.10191920985063874,5.996306824639886
3,interaction,Interaction (climate amplification),10.248517490959431,7.913585094810683,192,,corporate_secured_credit,romer_surprise,pop_temp_shock,corporate_secured_credit__romer_surprise__pop_temp_shock,2.378790408973744,18.118244572945116,-2.7681716544290254,23.265206636347887
4,base,MP shock alone,4.17918435758647,5.288044108052831,188,,corporate_secured_credit,romer_surprise,pop_temp_shock,corporate_secured_credit__romer_surprise__pop_temp_shock,-1.079552792427556,9.437921507600496,-4.518874173023589,12.877242888196529
4,climate,MP shock with climate shock,-0.19216023351915368,1.770375635341913,188,,corporate_secured_credit,romer_surprise,pop_temp_shock,corporate_secured_credit__romer_surprise__pop_temp_shock,-1.9527242403273943,1.568403773289087,-3.104169018377815,2.7198485513395076
4,interaction,Interaction (climate amplification),-4.371344591105624,6.2939346605207085,188,,corporate_secured_credit,romer_surprise,pop_temp_shock,corporate_secured_credit__romer_surprise__pop_temp_shock,-10.630397530667544,1.8877083484562966,-14.72394584525869,5.981256663047443
5,base,MP shock alone,-0.2358459622889126,1.5057760150485286,184,,corporate_secured_credit,romer_surprise,pop_temp_shock,corporate_secured_credit__romer_surprise__pop_temp_shock,-1.73327679080209,1.2615848662242648,-2.7126271020180184,2.2409351774401935
5,climate,MP shock with climate shock,3.1750929032530286,2.269793750849689,184,,corporate_secured_credit,romer_surprise,pop_temp_shock,corporate_secured_credit__romer_surprise__pop_temp_shock,0.9178786144603208,5.432307192045736,-0.5583855802638671,6.908571386769925
5,interaction,Interaction (climate amplification),3.410938865541941,1.8692837563677644,184,,corporate_secured_credit,romer_surprise,pop_temp_shock,corporate_secured_credit__romer_surprise__pop_temp_shock,1.552014898066078,5.269862833017804,0.33624069907895304,6.485637032004929
6,base,MP shock alone,-6.665845686580715,6.403688919419441,180,,corporate_secured_credit,romer_surprise,pop_temp_shock,corporate_secured_credit__romer_surprise__pop_temp_shock,-13.034044614120324,-0.2976467590411058,-17.198976631556732,3.8672852583953023
6,climate,MP shock with climate shock,3.2384097623633092,1.972710634774194,180,,corporate_secured_credit,romer_surprise,pop_temp_shock,corporate_secured_credit__romer_surprise__pop_temp_shock,1.2766321203203956,5.200187404406223,-0.0064104801707634,6.483230004897382
6,interaction,Interaction (climate amplification),9.904255448944024,8.10244627383828,180,,corporate_secured_credit,romer_surprise,pop_temp_shock,corporate_secured_credit__romer_surprise__pop_temp_shock,1.8467138786420545,17.961797019245992,-3.4230826917583066,23.231593589646355
7,base,MP shock alone,-0.39399791253131944,1.342036864639495,176,,corporate_secured_credit,romer_surprise,pop_temp_shock,corporate_secured_credit__romer_surprise__pop_temp_shock,-1.7285970521301657,0.9406012270675269,-2.6014521168361737,1.8134562917735346
7,climate,MP shock with climate shock,0.43775567040494656,0.5855185866785584,176,,corporate_secured_credit,romer_surprise,pop_temp_shock,corporate_secured_credit__romer_surprise__pop_temp_shock,-0.14451790388337904,1.0200292446932722,-0.5253367005407797,1.400848041350673
7,interaction,Interaction (climate amplification),0.831753582936266,1.7113123321315027,176,,corporate_secured_credit,romer_surprise,pop_temp_shock,corporate_secured_credit__romer_surprise__pop_temp_shock,-0.8700744563859745,2.5335816222585064,-1.9831047134170174,3.646611879289549
8,base,MP shock alone,0.21583666937287518,2.334038338456309,172,,corporate_secured_credit,romer_surprise,pop_temp_shock,corporate_secured_credit__romer_surprise__pop_temp_shock,-2.105266156018795,2.5369394947645456,-3.6233147570807707,4.054988095826521
8,climate,MP shock with climate shock,-0.20271141002656032,0.8521079495996022,172,,corporate_secured_credit,romer_surprise,pop_temp_shock,corporate_secured_credit__romer_surprise__pop_temp_shock,-1.0500968778515838,0.6446740577984632,-1.6043042614796479,1.1988814414265272
8,interaction,Interaction (climate amplification),-0.4185480793994355,2.6022587417766037,172,,corporate_secured_credit,romer_surprise,pop_temp_shock,corporate_secured_credit__romer_surprise__pop_temp_shock,-3.0063847993106725,2.1692886405118017,-4.6988828090768555,3.8617866502779843
9,base,MP shock alone,-4.539608656348631,4.777613462170224,168,,corporate_secured_credit,romer_surprise,pop_temp_shock,corporate_secured_credit__romer_surprise__pop_temp_shock,-9.290744026732852,0.21152671403559076,-12.398083487771501,3.3188661750742394
9,climate,MP shock with climate shock,3.482710856468075,2.427986417359385,168,,corporate_secured_credit,romer_surprise,pop_temp_shock,corporate_secured_credit__romer_surprise__pop_temp_shock,1.0681806233988285,5.897241089537322,-0.5109714083144188,7.4763931212505685
9,interaction,Interaction (climate amplification),8.022319512816706,7.00822769009613,168,,corporate_secured_credit,romer_surprise,pop_temp_shock,corporate_secured_credit__romer_surprise__pop_temp_shock,1.0529322390717297,14.991706786561682,-3.5051892217396468,19.549828247373057
10,base,MP shock alone,-1.8643701907028931,3.307254198253476,164,,corporate_secured_credit,romer_surprise,pop_temp_shock,corporate_secured_credit__romer_surprise__pop_temp_shock,-5.153295199934615,1.4245548185288284,-7.304319253950604,3.5755788725448183
10,climate,MP shock with climate shock,6.810493014320905,5.319023718340137,164,,corporate_secured_credit,romer_surprise,pop_temp_shock,corporate_secured_credit__romer_surprise__pop_temp_shock,1.520947946637901,12.100038082003909,-1.9385224406317718,15.559508469273581
