model,dep,mp_shock,climate_shock,component,h,irf,se,lo68,hi68,lo90,hi90,nobs
corporate_secured_credit__target__land_precip_shock,corporate_secured_credit,target,land_precip_shock,MP shock (purged),0,4.629520953994305e-4,3.46425856378471e-4,1.1844617157617029e-4,8.074580192226908e-4,-1.06867730934467e-4,0.0010327719217333282,184
corporate_secured_credit__target__land_precip_shock,corporate_secured_credit,target,land_precip_shock,Interaction (climate x MP),0,-2.713374533052428e-4,1.3315935441984698e-4,-4.037588230311811e-4,-1.389160835793045e-4,-4.903651003852446e-4,-5.230980622524106e-5,184
corporate_secured_credit__target__land_precip_shock,corporate_secured_credit,target,land_precip_shock,MP shock (purged),1,7.052487780910221e-4,5.070888249807845e-4,2.009702986013101e-4,0.001209527257580734,-1.288381148651812e-4,0.0015393356710472253,184
corporate_secured_credit__target__land_precip_shock,corporate_secured_credit,target,land_precip_shock,Interaction (climate x MP),1,-4.4582431035369825e-4,2.4411275197279723e-4,-6.885841609450737e-4,-2.0306445976232278e-4,-8.473540558212588e-4,-4.429456488613771e-5,184
corporate_secured_credit__target__land_precip_shock,corporate_secured_credit,target,land_precip_shock,MP shock (purged),2,7.665488560698226e-4,6.729924512773682e-4,9.728620755638801e-5,0.001435811504583257,-3.40425218324718e-4,0.0018735229304643632,184
corporate_secured_credit__target__land_precip_shock,corporate_secured_credit,target,land_precip_shock,Interaction (climate x MP),2,-4.3862874577484156e-4,2.806710669367552e-4,-7.177443008789901e-4,-1.59513190670693e-4,-9.002915682061026e-4,2.3034076656419504e-5,184
corporate_secured_credit__target__land_precip_shock,corporate_secured_credit,target,land_precip_shock,MP shock (purged),3,8.019769515007418e-4,6.411664904978537e-4,1.643638805752199e-4,0.0014395900224262637,-2.5264807587439895e-4,0.0018566019788758825,184
corporate_secured_credit__target__land_precip_shock,corporate_secured_credit,target,land_precip_shock,Interaction (climate x MP),3,-2.9554238206520346e-4,2.8670169464096036e-4,-5.80655142430502e-4,-1.042962169990494e-5,-7.671247043485204e-4,1.7603994021811345e-4,184
corporate_secured_credit__target__land_precip_shock,corporate_secured_credit,target,land_precip_shock,MP shock (purged),4,0.001341662908265669,6.020179863325779e-4,7.429813759231754e-4,0.0019403444406081627,3.514314399565067e-4,0.0023318943765748314,184
corporate_secured_credit__target__land_precip_shock,corporate_secured_credit,target,land_precip_shock,Interaction (climate x MP),4,-1.8530065547869417e-4,4.344277814922571e-4,-6.173207874689934e-4,2.467194765116051e-4,-8.998707675147146e-4,5.292694565573264e-4,184
