model,dep,mp_shock,climate_shock,component,h,irf,se,lo68,hi68,lo90,hi90,nobs
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,MP shock (purged),0,5.826588296273556e-4,5.011023147664093e-4,8.433368241324475e-5,0.0010809839768414664,-2.4158113028995075e-4,0.001406898789544662,184
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,Interaction (climate x MP),0,-4.691927203376421e-4,0.0016437587562912798,-0.002103841573626565,0.0011654561329512807,-0.0031729352724565937,0.0022345498317813094,184
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,MP shock (purged),1,9.337665126472835e-4,9.344116259928461e-4,4.533505015854146e-6,0.0018629995202787129,-6.032038394326712e-4,0.002470736864727238,184
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,Interaction (climate x MP),1,-0.0015509908073565195,0.0027211345891028785,-0.00425704455076461,0.0011550629360515708,-0.006026858905665492,0.0029248772909524524,184
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,MP shock (purged),2,0.001611481612172137,0.0011762074356766708,4.41792855473543e-4,0.002781170368870731,-3.2320745444792444e-4,0.0035461706787921986,184
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,Interaction (climate x MP),2,-0.005602020640394248,0.0029833514484572166,-0.008568838006697763,-0.002635203274090733,-0.010509197090860026,-6.948441899284697e-4,184
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,MP shock (purged),3,0.002302439502336401,0.00136761712498512,9.424018711822902e-4,0.003662477133490512,5.290951402368285e-5,0.00455196949064912,184
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,Interaction (climate x MP),3,-0.00916698960948083,0.003633616336870571,-0.012780468020241516,-0.005553511198720145,-0.015143756620132509,-0.0031902225988291524,184
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,MP shock (purged),4,0.0031284039486476874,0.0016071293620219566,0.0015301814852470912,0.004726626412048284,4.849113885456676e-4,0.005771896508749708,184
corporate_secured_credit__target__land_temp_shock,corporate_secured_credit,target,land_temp_shock,Interaction (climate x MP),4,-0.011092571748082779,0.005241958984598813,-0.01630547918377926,-0.005879664312386296,-0.01971482699623099,-0.002470316499934568,184
