h,series,component,irf,se,nobs,tidy,dep,mp_shock,climate_shock,model,lo68,hi68,lo90,hi90
0,base,MP shock only,0.00458741979934347,0.010432927073857883,184,,corporate_secured_credit_rate,country_risk,land_precip_shock,corporate_secured_credit_rate__country_risk__land_precip_shock,-0.005787686774206965,0.014962526372893904,-0.012573218137811874,0.02174805773649881
0,climate,MP shock + 1 SD climate shock,0.0035082916917110914,0.011643851535332882,184,,corporate_secured_credit_rate,country_risk,land_precip_shock,corporate_secured_credit_rate__country_risk__land_precip_shock,-0.008071028258524682,0.015087611641946864,-0.01564413973786566,0.02266072312128784
0,interaction,Interaction,-0.0010791281076323784,0.002514952572353568,184,,corporate_secured_credit_rate,country_risk,land_precip_shock,corporate_secured_credit_rate__country_risk__land_precip_shock,-0.0035801425191080314,0.0014218863038432748,-0.005215856967879078,0.0030576007526143213
1,base,MP shock only,0.00734616156821691,0.02715693482449073,184,,corporate_secured_credit_rate,country_risk,land_precip_shock,corporate_secured_credit_rate__country_risk__land_precip_shock,-0.019660266351811374,0.03435258948824519,-0.037323021174731394,0.05201534431116521
1,climate,MP shock + 1 SD climate shock,0.0039025406632470813,0.023388936221452786,184,,corporate_secured_credit_rate,country_risk,land_precip_shock,corporate_secured_credit_rate__country_risk__land_precip_shock,-0.01935677134206678,0.027161852668560943,-0.034568835911146185,0.04237391723764034
1,interaction,Interaction,-0.0034436209049698283,0.006990715739112091,184,,corporate_secured_credit_rate,country_risk,land_precip_shock,corporate_secured_credit_rate__country_risk__land_precip_shock,-0.010395593281008343,0.003508351471068687,-0.014942325043435088,0.008055083233495432
2,base,MP shock only,-1.8182005325735403e-4,0.041711555697838104,184,,corporate_secured_credit_rate,country_risk,land_precip_shock,corporate_secured_credit_rate__country_risk__land_precip_shock,-0.041662205437915156,0.041298565331400444,-0.06879122372863468,0.06842758362211997
2,climate,MP shock + 1 SD climate shock,-0.0069663719645880395,0.03945764932604046,184,,corporate_secured_credit_rate,country_risk,land_precip_shock,corporate_secured_credit_rate__country_risk__land_precip_shock,-0.046205342389794984,0.032272598460618904,-0.07186842956950497,0.057935685640328895
2,interaction,Interaction,-0.006784551911330685,0.008232644156016107,184,,corporate_secured_credit_rate,country_risk,land_precip_shock,corporate_secured_credit_rate__country_risk__land_precip_shock,-0.01497156979194161,0.0014024659692802388,-0.020326046510754616,0.006756942688093245
3,base,MP shock only,0.009334320054541668,0.05806803815105565,184,,corporate_secured_credit_rate,country_risk,land_precip_shock,corporate_secured_credit_rate__country_risk__land_precip_shock,-0.04841189824730033,0.06708053835638367,-0.08617910310817864,0.10484774321726198
3,climate,MP shock + 1 SD climate shock,0.007432398918038985,0.05790901796534163,184,,corporate_secured_credit_rate,country_risk,land_precip_shock,corporate_secured_credit_rate__country_risk__land_precip_shock,-0.05015568050653023,0.0650204783426082,-0.08781945931545113,0.1026842571515291
3,interaction,Interaction,-0.0019019211365026833,0.013905494236671846,184,,corporate_secured_credit_rate,country_risk,land_precip_shock,corporate_secured_credit_rate__country_risk__land_precip_shock,-0.01573034950008879,0.011926507227083424,-0.024774423766245154,0.020970581493239784
4,base,MP shock only,0.038025572400458056,0.07168316856639356,184,,corporate_secured_credit_rate,country_risk,land_precip_shock,corporate_secured_credit_rate__country_risk__land_precip_shock,-0.03326031967384561,0.10931146447476173,-0.0798827474073481,0.15593389220826423
4,climate,MP shock + 1 SD climate shock,0.040302523817522314,0.07205277425603922,184,,corporate_secured_credit_rate,country_risk,land_precip_shock,corporate_secured_credit_rate__country_risk__land_precip_shock,-0.03135092554852865,0.11195597318357328,-0.07821374324943942,0.15881879088448403
4,interaction,Interaction,0.0022769514170642587,0.013705259839313325,184,,corporate_secured_credit_rate,country_risk,land_precip_shock,corporate_secured_credit_rate__country_risk__land_precip_shock,-0.011352352271578913,0.01590625510570743,-0.020266194937942607,0.02482009777207112
5,base,MP shock only,0.04999191375261558,0.06889417827827606,184,,corporate_secured_credit_rate,country_risk,land_precip_shock,corporate_secured_credit_rate__country_risk__land_precip_shock,-0.018520444943474185,0.11850427244870534,-0.06332892526424808,0.16331275276947924
5,climate,MP shock + 1 SD climate shock,0.06952086757191221,0.07421114393284567,184,,corporate_secured_credit_rate,country_risk,land_precip_shock,corporate_secured_credit_rate__country_risk__land_precip_shock,-0.004278989534119815,0.14332072467794424,-0.05254560168624668,0.19158733683007112
5,interaction,Interaction,0.019528953819296636,0.012889402278152775,184,,corporate_secured_credit_rate,country_risk,land_precip_shock,corporate_secured_credit_rate__country_risk__land_precip_shock,0.006710986113925857,0.032346921524667414,-0.0016722262671595156,0.04073013390575279
