h,series,component,irf,se,nobs,tidy,dep,mp_shock,climate_shock,model,lo68,hi68,lo90,hi90
0,base,MP shock alone,0.4323968908667244,0.955558708494915,184,,corporate_secured_credit_rate,country_risk,pop_precip_shock,corporate_secured_credit_rate__country_risk__pop_precip_shock,-0.5178659996657744,1.3826597813992232,-1.1393573165662003,2.004151098299649
0,climate,MP shock with climate shock,0.5850213814757077,1.0901415615406256,184,,corporate_secured_credit_rate,country_risk,pop_precip_shock,corporate_secured_credit_rate__country_risk__pop_precip_shock,-0.49907848821295775,1.6691212511643732,-1.208101919914931,2.3781446828663464
0,interaction,Interaction (climate amplification),0.15262449060898325,0.29224884983519145,184,,corporate_secured_credit_rate,country_risk,pop_precip_shock,corporate_secured_credit_rate__country_risk__pop_precip_shock,-0.13800468196860627,0.4432536631865728,-0.32808209001482735,0.6333310712327939
1,base,MP shock alone,0.5783259153302475,2.7634420166205995,184,,corporate_secured_credit_rate,country_risk,pop_precip_shock,corporate_secured_credit_rate__country_risk__pop_precip_shock,-2.1698007828911656,3.3264526135516608,-3.9671317085782345,5.12378353923873
1,climate,MP shock with climate shock,0.2969919688817499,2.4702230816282906,184,,corporate_secured_credit_rate,country_risk,pop_precip_shock,corporate_secured_credit_rate__country_risk__pop_precip_shock,-2.159540847930194,2.7535247856936933,-3.7661634263137853,4.360147364077285
1,interaction,Interaction (climate amplification),-0.2813339464484976,0.5506060778678237,184,,corporate_secured_credit_rate,country_risk,pop_precip_shock,corporate_secured_credit_rate__country_risk__pop_precip_shock,-0.8288885011273581,0.2662206082303629,-1.1870003506509117,0.6243324577539167
2,base,MP shock alone,0.04619900199082934,4.301557102318477,184,,corporate_secured_credit_rate,country_risk,pop_precip_shock,corporate_secured_credit_rate__country_risk__pop_precip_shock,-4.231518368486683,4.323916372468342,-7.0292327992965795,7.121630803278238
2,climate,MP shock with climate shock,-0.941606509159108,3.9213852206806568,184,,corporate_secured_credit_rate,country_risk,pop_precip_shock,corporate_secured_credit_rate__country_risk__pop_precip_shock,-4.841258954967206,2.9580459366489893,-7.391711212069583,5.508498193751367
2,interaction,Interaction (climate amplification),-0.9878055111499374,0.7363514159600393,184,,corporate_secured_credit_rate,country_risk,pop_precip_shock,corporate_secured_credit_rate__country_risk__pop_precip_shock,-1.7200759815640625,-0.25553504073581224,-2.1989958084026595,0.22338478610278478
3,base,MP shock alone,0.7833570170154581,6.130538374616443,184,,corporate_secured_credit_rate,country_risk,pop_precip_shock,corporate_secured_credit_rate__country_risk__pop_precip_shock,-5.313205197941771,6.879919231972687,-9.300481263637577,10.867195297668493
3,climate,MP shock with climate shock,-0.3894877103467803,5.479151545599325,184,,corporate_secured_credit_rate,country_risk,pop_precip_shock,corporate_secured_credit_rate__country_risk__pop_precip_shock,-5.838273158168933,5.059297737475372,-9.40189000274259,8.622914582049031
3,interaction,Interaction (climate amplification),-1.1728447273622384,1.3187781567345587,184,,corporate_secured_credit_rate,country_risk,pop_precip_shock,corporate_secured_credit_rate__country_risk__pop_precip_shock,-2.484314061531748,0.13862460680727096,-3.3420417616114535,0.9963523068869766
4,base,MP shock alone,3.4936251841686916,7.43382011211876,184,,corporate_secured_credit_rate,country_risk,pop_precip_shock,corporate_secured_credit_rate__country_risk__pop_precip_shock,-3.898995828691022,10.886246197028406,-8.733920789354645,15.72117115769203
4,climate,MP shock with climate shock,2.451855831773528,6.81219620309108,184,,corporate_secured_credit_rate,country_risk,pop_precip_shock,corporate_secured_credit_rate__country_risk__pop_precip_shock,-4.322586384361946,9.226298047909001,-8.753209800385878,13.656921463932935
4,interaction,Interaction (climate amplification),-1.0417693523951637,1.3526389429431522,184,,corporate_secured_credit_rate,country_risk,pop_precip_shock,corporate_secured_credit_rate__country_risk__pop_precip_shock,-2.3869118123414887,0.30337310755116165,-3.2666624236510122,1.183123718860685
5,base,MP shock alone,3.8227269151928347,6.976447718904994,184,,corporate_secured_credit_rate,country_risk,pop_precip_shock,corporate_secured_credit_rate__country_risk__pop_precip_shock,-3.1150565156729373,10.760510346058606,-7.652508418485365,15.297962248871034
5,climate,MP shock with climate shock,4.220337398493193,6.8438644699878655,184,,corporate_secured_credit_rate,country_risk,pop_precip_shock,corporate_secured_credit_rate__country_risk__pop_precip_shock,-2.5855975753053793,11.026272372291764,-7.036817897330659,15.477492694317045
5,interaction,Interaction (climate amplification),0.39761048330035786,1.2402535064297675,184,,corporate_secured_credit_rate,country_risk,pop_precip_shock,corporate_secured_credit_rate__country_risk__pop_precip_shock,-0.8357693933472629,1.6309903599479787,-1.6424249950899257,2.437645961690641
6,base,MP shock alone,4.1926919630283654,5.6891894158960286,180,,corporate_secured_credit_rate,country_risk,pop_precip_shock,corporate_secured_credit_rate__country_risk__pop_precip_shock,-1.4649673006829316,9.850351226739662,-5.165191882122142,13.550575808178873
6,climate,MP shock with climate shock,5.664871851466301,5.832847800693989,180,,corporate_secured_credit_rate,country_risk,pop_precip_shock,corporate_secured_credit_rate__country_risk__pop_precip_shock,-0.13564962549650783,11.465393328429109,-3.9293090089611207,15.259052711893723
6,interaction,Interaction (climate amplification),1.4721798884379351,1.4047826116770399,180,,corporate_secured_credit_rate,country_risk,pop_precip_shock,corporate_secured_credit_rate__country_risk__pop_precip_shock,0.0751827460597172,2.869177030816153,-0.8384818854574043,3.782841662333275
7,base,MP shock alone,2.9729925821246628,3.467233428343666,176,,corporate_secured_credit_rate,country_risk,pop_precip_shock,corporate_secured_credit_rate__country_risk__pop_precip_shock,-0.4750250336200752,6.421010197869401,-2.730098897973802,8.676084062223127
7,climate,MP shock with climate shock,4.997807493435067,4.167805469456935,176,,corporate_secured_credit_rate,country_risk,pop_precip_shock,corporate_secured_credit_rate__country_risk__pop_precip_shock,0.8531004886488915,9.142514498221242,-1.8576224494293534,11.853237436299487
7,interaction,Interaction (climate amplification),2.0248149113104046,1.431265298119278,176,,corporate_secured_credit_rate,country_risk,pop_precip_shock,corporate_secured_credit_rate__country_risk__pop_precip_shock,0.601481852631131,3.4481479699896784,-0.32940700543086887,4.379036828051678
8,base,MP shock alone,-1.6179561007107406,1.8827281626070316,172,,corporate_secured_credit_rate,country_risk,pop_precip_shock,corporate_secured_credit_rate__country_risk__pop_precip_shock,-3.4902499639563174,0.2543377625348362,-4.714768347538596,1.4788561461171152
8,climate,MP shock with climate shock,1.215489779572191,2.442508204681039,172,,corporate_secured_credit_rate,country_risk,pop_precip_shock,corporate_secured_credit_rate__country_risk__pop_precip_shock,-1.2134817593773697,3.644461318521752,-2.802078699756143,5.233058258900526
8,interaction,Interaction (climate amplification),2.8334458802829317,1.6243351295562687,172,,corporate_secured_credit_rate,country_risk,pop_precip_shock,corporate_secured_credit_rate__country_risk__pop_precip_shock,1.2181130057211644,4.448778754844699,0.16165235104761466,5.505239409518248
9,base,MP shock alone,-4.711212424497129,2.209810466917504,168,,corporate_secured_credit_rate,country_risk,pop_precip_shock,corporate_secured_credit_rate__country_risk__pop_precip_shock,-6.908775863722666,-2.5136489852715913,-8.34602718588171,-1.0763976631125476
9,climate,MP shock with climate shock,-1.632038200065776,2.048935913546142,168,,corporate_secured_credit_rate,country_risk,pop_precip_shock,corporate_secured_credit_rate__country_risk__pop_precip_shock,-3.6696186714833146,0.40554227135176246,-5.002237868853275,1.7381614687217222
9,interaction,Interaction (climate amplification),3.0791742244313527,1.3027189282582123,168,,corporate_secured_credit_rate,country_risk,pop_precip_shock,corporate_secured_credit_rate__country_risk__pop_precip_shock,1.7836751166184124,4.374673332244293,0.9363922703874983,5.221956178475207
10,base,MP shock alone,-2.8984699702688306,2.9421519557492797,164,,corporate_secured_credit_rate,country_risk,pop_precip_shock,corporate_secured_credit_rate__country_risk__pop_precip_shock,-5.824316176264695,0.027376235727033738,-7.737879285725398,1.9409393451877377
10,climate,MP shock with climate shock,0.37577573806874076,2.0288207307475132,164,,corporate_secured_credit_rate,country_risk,pop_precip_shock,corporate_secured_credit_rate__country_risk__pop_precip_shock,-1.6418010312424962,2.3933525073799777,-2.9613373993356413,3.712888875473123
10,interaction,Interaction (climate amplification),3.2742457083375713,1.304297453659185,164,,corporate_secured_credit_rate,country_risk,pop_precip_shock,corporate_secured_credit_rate__country_risk__pop_precip_shock,1.9771768234957872,4.5713145931793555,1.1288673110626921,5.419624105612451
11,base,MP shock alone,-4.630528349021632,3.7856211973047866,160,,corporate_secured_credit_rate,country_risk,pop_precip_shock,corporate_secured_credit_rate__country_risk__pop_precip_shock,-8.395169191527321,-0.8658875065159424,-10.857321105672781,1.5962644076295183
11,climate,MP shock with climate shock,-0.10761873702930558,2.9784078523041697,160,,corporate_secured_credit_rate,country_risk,pop_precip_shock,corporate_secured_credit_rate__country_risk__pop_precip_shock,-3.0695199051670174,2.8542824311084063,-5.006663695432562,4.791426221373951
11,interaction,Interaction (climate amplification),4.522909611992326,1.3274525547096945,160,,corporate_secured_credit_rate,country_risk,pop_precip_shock,corporate_secured_credit_rate__country_risk__pop_precip_shock,3.202813954374345,5.843005269610308,2.339444462772089,6.7063747612125635
12,base,MP shock alone,-6.561253147897154,4.654032417966887,156,,corporate_secured_credit_rate,country_risk,pop_precip_shock,corporate_secured_credit_rate__country_risk__pop_precip_shock,-11.189492374658073,-1.9330139211362338,-14.216455250539713,1.0939489547454064
12,climate,MP shock with climate shock,-3.0685978722093106,4.105552366503482,156,,corporate_secured_credit_rate,country_risk,pop_precip_shock,corporate_secured_credit_rate__country_risk__pop_precip_shock,-7.151396788009157,1.0142010435905355,-9.82163057289176,3.6844348284731394
12,interaction,Interaction (climate amplification),3.4926552756878433,0.9985385286623192,156,,corporate_secured_credit_rate,country_risk,pop_precip_shock,corporate_secured_credit_rate__country_risk__pop_precip_shock,2.499650764170932,4.485659787204755,1.8502055551668417,5.135104996208845
