h,series,component,irf,se,nobs,tidy,dep,mp_shock,climate_shock,model,lo68,hi68,lo90,hi90
0,base,MP shock only,0.006438805535154514,0.0029013972674692572,184,,corporate_secured_credit_rate,forward_guidance,land_precip_shock,corporate_secured_credit_rate__forward_guidance__land_precip_shock,0.0035534881501964742,0.009324122920112555,0.0016664317165306173,0.011211179353778411
0,climate,MP shock + 1 SD climate shock,0.006436594977024013,0.004486831952089906,184,,corporate_secured_credit_rate,forward_guidance,land_precip_shock,corporate_secured_credit_rate__forward_guidance__land_precip_shock,0.0019746295716308003,0.010898560382417226,-9.435868328928204e-4,0.013816776786940847
0,interaction,Interaction,-2.2105581305012457e-6,0.002275467923518854,184,,corporate_secured_credit_rate,forward_guidance,land_precip_shock,corporate_secured_credit_rate__forward_guidance__land_precip_shock,-0.0022650675726647537,0.002260646456403751,-0.003745022225142222,0.0037406011088812192
1,base,MP shock only,0.004973936230639031,0.005782261720242685,184,,corporate_secured_credit_rate,forward_guidance,land_precip_shock,corporate_secured_credit_rate__forward_guidance__land_precip_shock,-7.76279519838296e-4,0.01072415198111636,-0.004537037931884805,0.014484910393162867
1,climate,MP shock + 1 SD climate shock,0.006859840752955375,0.00889660563889308,184,,corporate_secured_credit_rate,forward_guidance,land_precip_shock,corporate_secured_credit_rate__forward_guidance__land_precip_shock,-0.0019874588584501912,0.015707140364360942,-0.007773773299734821,0.02149345480564557
1,interaction,Interaction,0.0018859045223163435,0.004849986187779504,184,,corporate_secured_credit_rate,forward_guidance,land_precip_shock,corporate_secured_credit_rate__forward_guidance__land_precip_shock,-0.002937202475579403,0.00670901152021209,-0.006091612849317314,0.009863421893950002
2,base,MP shock only,-0.005586714618108906,0.009397669063886982,184,,corporate_secured_credit_rate,forward_guidance,land_precip_shock,corporate_secured_credit_rate__forward_guidance__land_precip_shock,-0.014932300702487737,0.003758871466269926,-0.021044504662733048,0.009871075426515236
2,climate,MP shock + 1 SD climate shock,-0.008365850321260988,0.015474416209222509,184,,corporate_secured_credit_rate,forward_guidance,land_precip_shock,corporate_secured_credit_rate__forward_guidance__land_precip_shock,-0.0237545055085911,0.007022804866069123,-0.03381899994795727,0.017087299305435295
2,interaction,Interaction,-0.002779135703152082,0.008254460409994963,184,,corporate_secured_credit_rate,forward_guidance,land_precip_shock,corporate_secured_credit_rate__forward_guidance__land_precip_shock,-0.010987848929514385,0.005429577523210221,-0.016356514847059626,0.010798243440755464
3,base,MP shock only,-0.03591881929421484,0.013163593403169442,184,,corporate_secured_credit_rate,forward_guidance,land_precip_shock,corporate_secured_credit_rate__forward_guidance__land_precip_shock,-0.04900945852536459,-0.022828180063065084,-0.05757100364713256,-0.014266634941297117
3,climate,MP shock + 1 SD climate shock,-0.05161126813416341,0.020342621142878596,184,,corporate_secured_credit_rate,forward_guidance,land_precip_shock,corporate_secured_credit_rate__forward_guidance__land_precip_shock,-0.07184114809484843,-0.031381388173478394,-0.08507190230272696,-0.018150633965599863
3,interaction,Interaction,-0.015692448839948574,0.010845512993165036,184,,corporate_secured_credit_rate,forward_guidance,land_precip_shock,corporate_secured_credit_rate__forward_guidance__land_precip_shock,-0.02647785473345535,-0.004907042946441797,-0.0335317302229054,0.0021468325430082473
4,base,MP shock only,-0.051325057733799515,0.015535453132939593,184,,corporate_secured_credit_rate,forward_guidance,land_precip_shock,corporate_secured_credit_rate__forward_guidance__land_precip_shock,-0.06677441157108695,-0.03587570389651208,-0.07687860416584981,-0.025771511301749223
4,climate,MP shock + 1 SD climate shock,-0.07115722100402927,0.023914281096093715,184,,corporate_secured_credit_rate,forward_guidance,land_precip_shock,corporate_secured_credit_rate__forward_guidance__land_precip_shock,-0.09493896636133364,-0.047375475646724896,-0.11049271300087603,-0.03182172900718251
