h,series,component,irf,se,nobs,tidy,dep,mp_shock,climate_shock,model,lo68,hi68,lo90,hi90
0,base,MP shock alone,0.006661084390057286,0.0026918297156853757,184,,corporate_secured_credit_rate,forward_guidance,pop_precip_shock,corporate_secured_credit_rate__forward_guidance__pop_precip_shock,0.003984173109035696,0.009337995671078876,0.0022334185190764477,0.011088750261038125
0,climate,MP shock with climate shock,0.006613127473178797,0.003731664312767714,184,,corporate_secured_credit_rate,forward_guidance,pop_precip_shock,corporate_secured_credit_rate__forward_guidance__pop_precip_shock,0.0029021444798544376,0.010324110466503156,4.750858937574527e-4,0.012751169052600143
0,interaction,Interaction (climate amplification),-4.795691687848936e-5,0.0016242794798397586,184,,corporate_secured_credit_rate,forward_guidance,pop_precip_shock,corporate_secured_credit_rate__forward_guidance__pop_precip_shock,-0.0016632344501409748,0.001567320616383996,-0.0027196589104757658,0.002623745076718787
1,base,MP shock alone,0.004300968235540553,0.005361861340811489,184,,corporate_secured_credit_rate,forward_guidance,pop_precip_shock,corporate_secured_credit_rate__forward_guidance__pop_precip_shock,-0.0010311770435070498,0.009633113514588156,-0.004518508838104104,0.01312044530918521
1,climate,MP shock with climate shock,0.004218064152610192,0.007355874507475597,184,,corporate_secured_credit_rate,forward_guidance,pop_precip_shock,corporate_secured_credit_rate__forward_guidance__pop_precip_shock,-0.0030970432392505767,0.011533171544470961,-0.007881272710410912,0.016317401015631297
1,interaction,Interaction (climate amplification),-8.290408293036042e-5,0.002997522175686364,184,,corporate_secured_credit_rate,forward_guidance,pop_precip_shock,corporate_secured_credit_rate__forward_guidance__pop_precip_shock,-0.0030638136406377164,0.0028980054747769954,-0.0050133893054755425,0.0048475811396148216
2,base,MP shock alone,-0.007047286889009195,0.007801894120766958,184,,corporate_secured_credit_rate,forward_guidance,pop_precip_shock,corporate_secured_credit_rate__forward_guidance__pop_precip_shock,-0.014805942001373723,7.113682233553329e-4,-0.019880260730644087,0.005785686952625698
2,climate,MP shock with climate shock,-0.008091853901044008,0.011473593916006638,184,,corporate_secured_credit_rate,forward_guidance,pop_precip_shock,corporate_secured_credit_rate__forward_guidance__pop_precip_shock,-0.019501859819564274,0.003318152017476256,-0.026964236467955864,0.010780528665867846
2,interaction,Interaction (climate amplification),-0.001044567012034813,0.004993021376158305,184,,corporate_secured_credit_rate,forward_guidance,pop_precip_shock,corporate_secured_credit_rate__forward_guidance__pop_precip_shock,-0.0060099164805902505,0.0039207824565206245,-0.00925735633205503,0.007168222307985404
3,base,MP shock alone,-0.03547866187787139,0.010648269028258646,184,,corporate_secured_credit_rate,forward_guidance,pop_precip_shock,corporate_secured_credit_rate__forward_guidance__pop_precip_shock,-0.04606791695556146,-0.02488940680018132,-0.052993505809757646,-0.017963817945985134
3,climate,MP shock with climate shock,-0.043375194076394424,0.014674392726740381,184,,corporate_secured_credit_rate,forward_guidance,pop_precip_shock,corporate_secured_credit_rate__forward_guidance__pop_precip_shock,-0.05796825960481726,-0.028782128547971585,-0.06751242217628363,-0.019237965976505216
3,interaction,Interaction (climate amplification),-0.007896532198523038,0.006540933933183419,184,,corporate_secured_credit_rate,forward_guidance,pop_precip_shock,corporate_secured_credit_rate__forward_guidance__pop_precip_shock,-0.014401215511931466,-0.0013918488851146094,-0.018655411102169738,0.0028623467051236626
4,base,MP shock alone,-0.047681178335948635,0.013767969754466146,184,,corporate_secured_credit_rate,forward_guidance,pop_precip_shock,corporate_secured_credit_rate__forward_guidance__pop_precip_shock,-0.061372844394070945,-0.033989512277826324,-0.07032747332234043,-0.025034883349556836
4,climate,MP shock with climate shock,-0.056005295004027976,0.018293200745281058,184,,corporate_secured_credit_rate,forward_guidance,pop_precip_shock,corporate_secured_credit_rate__forward_guidance__pop_precip_shock,-0.07419711269431126,-0.037813477313744695,-0.08609493259845488,-0.025915657409601067
4,interaction,Interaction (climate amplification),-0.008324116668079343,0.008188814299108033,184,,corporate_secured_credit_rate,forward_guidance,pop_precip_shock,corporate_secured_credit_rate__forward_guidance__pop_precip_shock,-0.01646754760196808,-1.8068573419060922e-4,-0.021793517568399264,0.0051452842322405774
5,base,MP shock alone,-0.05632913593355606,0.016044052844984412,184,,corporate_secured_credit_rate,forward_guidance,pop_precip_shock,corporate_secured_credit_rate__forward_guidance__pop_precip_shock,-0.07228427076388468,-0.04037400110322745,-0.08271925444662975,-0.029939017420482376
5,climate,MP shock with climate shock,-0.06507700049851431,0.01979969659946843,184,,corporate_secured_credit_rate,forward_guidance,pop_precip_shock,corporate_secured_credit_rate__forward_guidance__pop_precip_shock,-0.08476696486701703,-0.04538703613001159,-0.09764460326268867,-0.032509397734339945
5,interaction,Interaction (climate amplification),-0.00874786456495825,0.007487703514417642,184,,corporate_secured_credit_rate,forward_guidance,pop_precip_shock,corporate_secured_credit_rate__forward_guidance__pop_precip_shock,-0.016194070352008247,-0.0013016587779082506,-0.02106404084818539,0.00356831171826889
6,base,MP shock alone,-0.06509591222174636,0.01832700802996127,180,,corporate_secured_credit_rate,forward_guidance,pop_precip_shock,corporate_secured_credit_rate__forward_guidance__pop_precip_shock,-0.0833213498327898,-0.04687047461070293,-0.0952411578509969,-0.03495066659249583
6,climate,MP shock with climate shock,-0.07216962330208061,0.02219627187320804,180,,corporate_secured_credit_rate,forward_guidance,pop_precip_shock,corporate_secured_credit_rate__forward_guidance__pop_precip_shock,-0.09424288084425926,-0.050096365759901965,-0.10867924159752779,-0.03566000500663343
6,interaction,Interaction (climate amplification),-0.007073711080334251,0.006869503844594709,180,,corporate_secured_credit_rate,forward_guidance,pop_precip_shock,corporate_secured_credit_rate__forward_guidance__pop_precip_shock,-0.013905143332331168,-2.4227882833733477e-4,-0.018373039394472934,0.004225617233804433
7,base,MP shock alone,-0.04648344929877173,0.014792508614441533,176,,corporate_secured_credit_rate,forward_guidance,pop_precip_shock,corporate_secured_credit_rate__forward_guidance__pop_precip_shock,-0.0611939761028513,-0.031772922494692164,-0.07081496074494678,-0.02215193785259669
7,climate,MP shock with climate shock,-0.04969904363875006,0.01755942748843469,176,,corporate_secured_credit_rate,forward_guidance,pop_precip_shock,corporate_secured_credit_rate__forward_guidance__pop_precip_shock,-0.06716115472927398,-0.03223693254822614,-0.07858173163029322,-0.020816355647206887
7,interaction,Interaction (climate amplification),-0.0032155943399783267,0.004854328951781282,176,,corporate_secured_credit_rate,forward_guidance,pop_precip_shock,corporate_secured_credit_rate__forward_guidance__pop_precip_shock,-0.00804302003377056,0.0016118313538139076,-0.011200254922731304,0.00476906624277465
8,base,MP shock alone,-0.021411341154806772,0.013914301579329623,172,,corporate_secured_credit_rate,forward_guidance,pop_precip_shock,corporate_secured_credit_rate__forward_guidance__pop_precip_shock,-0.035248528049729035,-0.007574154259884509,-0.04429833057406369,0.0014756482644501454
8,climate,MP shock with climate shock,-0.019465967885843084,0.015959606245065323,172,,corporate_secured_credit_rate,forward_guidance,pop_precip_shock,corporate_secured_credit_rate__forward_guidance__pop_precip_shock,-0.03533712412917191,-0.003594811642514264,-0.04571718410275614,0.006785248331069971
