h,series,component,irf,se,nobs,tidy,dep,mp_shock,climate_shock,model,lo68,hi68,lo90,hi90
0,base,MP shock alone,0.26818042870941666,0.614358706413585,184,,corporate_secured_credit_rate,forward_guidance,pop_temp_shock,corporate_secured_credit_rate__forward_guidance__pop_temp_shock,-0.3427734300021194,0.8791342874209527,-0.7423497177841829,1.2787105752030163
0,climate,MP shock with climate shock,0.01815293036517096,0.2709938335775388,184,,corporate_secured_credit_rate,forward_guidance,pop_temp_shock,corporate_secured_credit_rate__forward_guidance__pop_temp_shock,-0.2513390237372444,0.28764488446758635,-0.42759225967632725,0.46389812040666917
0,interaction,Interaction (climate amplification),-0.2500274983442457,0.6080259163623953,184,,corporate_secured_credit_rate,forward_guidance,pop_temp_shock,corporate_secured_credit_rate__forward_guidance__pop_temp_shock,-0.8546836640666637,0.3546286673781724,-1.2501411321534237,0.7500861354649324
1,base,MP shock alone,0.7255230943576322,1.0165479087356537,184,,corporate_secured_credit_rate,forward_guidance,pop_temp_shock,corporate_secured_credit_rate__forward_guidance__pop_temp_shock,-0.2853909871449275,1.7364371758601918,-0.9465494202961412,2.3975956090114057
1,climate,MP shock with climate shock,-0.6680110941330814,0.5957462926662332,184,,corporate_secured_credit_rate,forward_guidance,pop_temp_shock,corporate_secured_credit_rate__forward_guidance__pop_temp_shock,-1.2604556912680018,-0.07556649699816087,-1.647926544368028,0.3119043561018653
1,interaction,Interaction (climate amplification),-1.3935341884907135,0.8716082759845151,184,,corporate_secured_credit_rate,forward_guidance,pop_temp_shock,corporate_secured_credit_rate__forward_guidance__pop_temp_shock,-2.260311909614377,-0.5267564673670503,-2.8272022225247624,0.04013384554333532
2,base,MP shock alone,0.0900054217333002,1.3725421374747255,184,,corporate_secured_credit_rate,forward_guidance,pop_temp_shock,corporate_secured_credit_rate__forward_guidance__pop_temp_shock,-1.2749299269160055,1.4549407703826058,-2.1676254912357273,2.347636334702328
2,climate,MP shock with climate shock,-1.315142992104556,0.6834904845087985,184,,corporate_secured_credit_rate,forward_guidance,pop_temp_shock,corporate_secured_credit_rate__forward_guidance__pop_temp_shock,-1.9948454925231844,-0.6354404916859278,-2.4393847945356715,-0.1909011896734405
2,interaction,Interaction (climate amplification),-1.4051484138378563,1.3221286521969908,184,,corporate_secured_credit_rate,forward_guidance,pop_temp_shock,corporate_secured_credit_rate__forward_guidance__pop_temp_shock,-2.71994967463264,-0.09034715304307261,-3.5798565227005374,0.7695596950248247
3,base,MP shock alone,-3.1856438824676236,1.3715735260267232,184,,corporate_secured_credit_rate,forward_guidance,pop_temp_shock,corporate_secured_credit_rate__forward_guidance__pop_temp_shock,-4.549615987826696,-1.821671777108551,-5.441681571383298,-0.9296061935519493
3,climate,MP shock with climate shock,-2.518977304051441,1.0004983713867508,184,,corporate_secured_credit_rate,forward_guidance,pop_temp_shock,corporate_secured_credit_rate__forward_guidance__pop_temp_shock,-3.5139307966155147,-1.5240238114873672,-4.1646506789859785,-0.8733039291169036
3,interaction,Interaction (climate amplification),0.6666665784161828,1.6679137493508311,184,,corporate_secured_credit_rate,forward_guidance,pop_temp_shock,corporate_secured_credit_rate__forward_guidance__pop_temp_shock,-0.9920033981396877,2.3253365549720533,-2.0768074016457594,3.410140558478125
4,base,MP shock alone,-5.505101483769527,1.6107770124801346,184,,corporate_secured_credit_rate,forward_guidance,pop_temp_shock,corporate_secured_credit_rate__forward_guidance__pop_temp_shock,-7.106951381923452,-3.9032515856156023,-8.154593894957532,-2.8556090725815224
4,climate,MP shock with climate shock,-2.366479522225182,1.284230895408357,184,,corporate_secured_credit_rate,forward_guidance,pop_temp_shock,corporate_secured_credit_rate__forward_guidance__pop_temp_shock,-3.643593060025543,-1.0893659844248216,-4.478851368380754,-0.2541076760696104
4,interaction,Interaction (climate amplification),3.138621961544345,2.0417673971831367,184,,corporate_secured_credit_rate,forward_guidance,pop_temp_shock,corporate_secured_credit_rate__forward_guidance__pop_temp_shock,1.1081702777349154,5.169073645353775,-0.2197865471036029,6.497030470192293
5,base,MP shock alone,-8.149527514967623,1.8532141730090368,184,,corporate_secured_credit_rate,forward_guidance,pop_temp_shock,corporate_secured_credit_rate__forward_guidance__pop_temp_shock,-9.992470958592504,-6.306584071342743,-11.197793568959408,-5.101261460975837
5,climate,MP shock with climate shock,-2.213214395626852,1.1118717498573283,184,,corporate_secured_credit_rate,forward_guidance,pop_temp_shock,corporate_secured_credit_rate__forward_guidance__pop_temp_shock,-3.3189240223906946,-1.107504768863009,-4.042080676084558,-0.38434811516914613
5,interaction,Interaction (climate amplification),5.936313119340771,2.0423028354967045,184,,corporate_secured_credit_rate,forward_guidance,pop_temp_shock,corporate_secured_credit_rate__forward_guidance__pop_temp_shock,3.9053289646794416,7.967297274002101,2.5770238930407423,9.2956023456408
6,base,MP shock alone,-9.0295657868035,1.958150676520543,180,,corporate_secured_credit_rate,forward_guidance,pop_temp_shock,corporate_secured_credit_rate__forward_guidance__pop_temp_shock,-10.976864163581865,-7.0822674100251355,-12.250437029195794,-5.808694544411208
