model,dep,mp_shock,climate_shock,component,h,irf,se,lo68,hi68,lo90,hi90,nobs
corporate_secured_credit_rate__miyajima_surprise__land_temp_shock,corporate_secured_credit_rate,miyajima_surprise,land_temp_shock,MP shock (purged),0,-0.7668647111007357,0.3492163622121642,-1.114145675448455,-0.41958374675301646,-1.3412745110762128,-0.1924549111252587,196
corporate_secured_credit_rate__miyajima_surprise__land_temp_shock,corporate_secured_credit_rate,miyajima_surprise,land_temp_shock,Interaction (climate x MP),0,1.738746302130386,1.0086742093618937,0.7356622830400856,2.7418303212206863,0.07962487044906719,3.3978677338117045,196
corporate_secured_credit_rate__miyajima_surprise__land_temp_shock,corporate_secured_credit_rate,miyajima_surprise,land_temp_shock,MP shock (purged),1,-1.0857182294758172,0.5274269221432121,-1.6102220900181912,-0.5612143689334432,-1.953258315314931,-0.2181781436367034,196
corporate_secured_credit_rate__miyajima_surprise__land_temp_shock,corporate_secured_credit_rate,miyajima_surprise,land_temp_shock,Interaction (climate x MP),1,1.816408243532327,1.5846255631820798,0.24056486029021285,3.392251626774441,-0.7900688614277354,4.42288534849239,196
corporate_secured_credit_rate__miyajima_surprise__land_temp_shock,corporate_secured_credit_rate,miyajima_surprise,land_temp_shock,MP shock (purged),2,-0.8549303535439648,0.6652023040430098,-1.516446028728827,-0.19341467835910264,-1.9490907760055851,0.2392300689176553,196
corporate_secured_credit_rate__miyajima_surprise__land_temp_shock,corporate_secured_credit_rate,miyajima_surprise,land_temp_shock,Interaction (climate x MP),2,-0.08694047308731848,1.7252641695564497,-1.8026430271220582,1.6287620809474213,-2.924747499831663,2.7508665536570263,196
corporate_secured_credit_rate__miyajima_surprise__land_temp_shock,corporate_secured_credit_rate,miyajima_surprise,land_temp_shock,MP shock (purged),3,-0.9097401940051283,1.0674194427001713,-1.9712438734896751,0.15176348547941865,-2.6654889358090235,0.846008547798767,192
corporate_secured_credit_rate__miyajima_surprise__land_temp_shock,corporate_secured_credit_rate,miyajima_surprise,land_temp_shock,Interaction (climate x MP),3,-0.3601362085368511,2.9379156332667984,-3.2817695702441934,2.561497153170491,-5.192577393593173,4.472304976519472,192
corporate_secured_credit_rate__miyajima_surprise__land_temp_shock,corporate_secured_credit_rate,miyajima_surprise,land_temp_shock,MP shock (purged),4,-1.6215467608844851,1.710144478229788,-3.322213418687728,0.07911989691875787,-4.434484108511784,1.1913905867428136,188
corporate_secured_credit_rate__miyajima_surprise__land_temp_shock,corporate_secured_credit_rate,miyajima_surprise,land_temp_shock,Interaction (climate x MP),4,2.264513482799413,4.913956138466812,-2.6222089368458663,7.151235902444692,-5.81822509423817,10.347252059836997,188
