h,series,component,irf,se,nobs,tidy,dep,mp_shock,climate_shock,model,lo68,hi68,lo90,hi90
0,base,MP shock only,-0.7003273921633456,0.3828760743932842,196,,corporate_secured_credit_rate,miyajima_surprise,pop_temp_shock,corporate_secured_credit_rate__miyajima_surprise__pop_temp_shock,-1.081081522636151,-0.3195732616905402,-1.3301024918020805,-0.0705522925246107
0,climate,MP shock + 1 SD climate shock,-0.35276355153666644,0.13217504222183965,196,,corporate_secured_credit_rate,miyajima_surprise,pop_temp_shock,corporate_secured_credit_rate__miyajima_surprise__pop_temp_shock,-0.48420606423775686,-0.22132103883557602,-0.5701721491277233,-0.13535495394560962
0,interaction,Interaction,0.34756384062667917,0.26432167141557966,196,,corporate_secured_credit_rate,miyajima_surprise,pop_temp_shock,corporate_secured_credit_rate__miyajima_surprise__pop_temp_shock,0.08470707078427786,0.6104206104690805,-0.08720661928311213,0.7823343005364705
1,base,MP shock only,-0.8196311584236328,0.5996023947373494,196,,corporate_secured_credit_rate,miyajima_surprise,pop_temp_shock,corporate_secured_credit_rate__miyajima_surprise__pop_temp_shock,-1.415910486661636,-0.22335183018562932,-1.8058893321361498,0.16662701528888435
1,climate,MP shock + 1 SD climate shock,-0.6191988869832227,0.19807464548498294,196,,corporate_secured_credit_rate,miyajima_surprise,pop_temp_shock,corporate_secured_credit_rate__miyajima_surprise__pop_temp_shock,-0.8161757796497411,-0.42222199431670426,-0.9450026860163238,-0.2933950879501216
1,interaction,Interaction,0.2004322714404101,0.42184130205875614,196,,corporate_secured_credit_rate,miyajima_surprise,pop_temp_shock,corporate_secured_credit_rate__miyajima_surprise__pop_temp_shock,-0.21907113685538665,0.6199356797362068,-0.49343492424886615,0.8942994671296863
2,base,MP shock only,-0.4723628199293932,0.7388088985503699,196,,corporate_secured_credit_rate,miyajima_surprise,pop_temp_shock,corporate_secured_credit_rate__miyajima_surprise__pop_temp_shock,-1.2070771532783233,0.262351513419537,-1.687595316333991,0.7428696764752045
2,climate,MP shock + 1 SD climate shock,-0.7982217764617034,0.3233783629399229,196,,corporate_secured_credit_rate,miyajima_surprise,pop_temp_shock,corporate_secured_credit_rate__miyajima_surprise__pop_temp_shock,-1.1198079387467745,-0.4766356141766324,-1.3301318496210648,-0.266311703302342
2,interaction,Interaction,-0.32585895653231023,0.46778295162848377,196,,corporate_secured_credit_rate,miyajima_surprise,pop_temp_shock,corporate_secured_credit_rate__miyajima_surprise__pop_temp_shock,-0.7910494004103825,0.13933148734576212,-1.0952934411444866,0.4435755280798661
3,base,MP shock only,-0.5621213512759015,1.2983809861832365,192,,corporate_secured_credit_rate,miyajima_surprise,pop_temp_shock,corporate_secured_credit_rate__miyajima_surprise__pop_temp_shock,-1.8533065583954746,0.7290638558436718,-2.6977680255642267,1.5735253230124235
3,climate,MP shock + 1 SD climate shock,-0.9141557725547987,0.48040253832308627,192,,corporate_secured_credit_rate,miyajima_surprise,pop_temp_shock,corporate_secured_credit_rate__miyajima_surprise__pop_temp_shock,-1.3918958639041674,-0.43641568120543,-1.7043476301122205,-0.12396391499737702
3,interaction,Interaction,-0.3520344212788973,0.8752799405683328,192,,corporate_secured_credit_rate,miyajima_surprise,pop_temp_shock,corporate_secured_credit_rate__miyajima_surprise__pop_temp_shock,-1.2224634581924403,0.5183946156346456,-1.7917418061205879,1.0876729635627933
4,base,MP shock only,-1.3098416346017583,2.010059041115082,188,,corporate_secured_credit_rate,miyajima_surprise,pop_temp_shock,corporate_secured_credit_rate__miyajima_surprise__pop_temp_shock,-3.3087606937556893,0.6890774245521727,-4.6160945387664984,1.9964112695629814
4,climate,MP shock + 1 SD climate shock,-1.0160718490214717,0.67758980191344,188,,corporate_secured_credit_rate,miyajima_surprise,pop_temp_shock,corporate_secured_credit_rate__miyajima_surprise__pop_temp_shock,-1.6899063691168272,-0.34223732892611625,-2.1306078922841225,0.09846419424117925
