h,series,component,irf,se,nobs,tidy,dep,mp_shock,climate_shock,model,lo68,hi68,lo90,hi90
0,base,MP shock alone,0.18588113095269793,0.09778194685670413,196,,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,corporate_secured_credit_rate__romer_surprise__pop_precip_shock,0.08864110306545135,0.2831211588399445,0.025044141015072102,0.3467181208903237
0,climate,MP shock with climate shock,0.10954299702967545,0.0932301328254618,196,,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,corporate_secured_credit_rate__romer_surprise__pop_precip_shock,0.016829556488702574,0.20225643757064832,-0.043806925089452844,0.26289291914880375
0,interaction,Interaction (climate amplification),-0.07633813392302248,0.04787513333881805,196,,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,corporate_secured_credit_rate__romer_surprise__pop_precip_shock,-0.12394793768152818,-0.028728330164516792,-0.15508572063616266,0.0024094527901177
1,base,MP shock alone,0.4342904719457478,0.19440972194762968,196,,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,corporate_secured_credit_rate__romer_surprise__pop_precip_shock,0.2409581913823113,0.6276227525091843,0.11451493568556204,0.7540660082059336
1,climate,MP shock with climate shock,0.3257571027259226,0.19867804054190222,196,,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,corporate_secured_credit_rate__romer_surprise__pop_precip_shock,0.128180159088361,0.5233340463634842,-0.0010391928550367302,0.652553398306882
1,interaction,Interaction (climate amplification),-0.10853336921982518,0.05986433275162533,196,,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,corporate_secured_credit_rate__romer_surprise__pop_precip_shock,-0.1680659268477708,-0.049000811591879544,-0.20700143407136587,-0.010065304368284483
2,base,MP shock alone,0.450501174792037,0.26285480831098096,196,,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,corporate_secured_credit_rate__romer_surprise__pop_precip_shock,0.18910313852759342,0.7118992110564806,0.01814348998008619,0.8828588596039878
2,climate,MP shock with climate shock,0.2570693355718694,0.2820895164502751,196,,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,corporate_secured_credit_rate__romer_surprise__pop_precip_shock,-0.023456807832934023,0.5375954789766728,-0.20692662868635237,0.7210652998300912
2,interaction,Interaction (climate amplification),-0.1934318392201676,0.08216648984072211,196,,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,corporate_secured_credit_rate__romer_surprise__pop_precip_shock,-0.2751429527779478,-0.11172072566238739,-0.3285836880485506,-0.05827999039178461
3,base,MP shock alone,0.3521009608085124,0.20414749016879094,192,,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,corporate_secured_credit_rate__romer_surprise__pop_precip_shock,0.14908487987267263,0.5551170417443522,0.016308221171336734,0.687893700445688
3,climate,MP shock with climate shock,0.1137716058481569,0.26848856006916877,192,,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,corporate_secured_credit_rate__romer_surprise__pop_precip_shock,-0.15322895926426336,0.38077217096057714,-0.32785277597659335,0.5553959876729072
3,interaction,Interaction (climate amplification),-0.23832935496035548,0.12383684250323235,192,,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,corporate_secured_credit_rate__romer_surprise__pop_precip_shock,-0.36147987921949953,-0.11517883070121145,-0.44202283450201535,-0.034635875418695616
4,base,MP shock alone,0.5645808321345107,0.20460614883266812,188,,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,corporate_secured_credit_rate__romer_surprise__pop_precip_shock,0.36110863447467584,0.7680530297943455,0.22803366613052395,0.9011279981384974
4,climate,MP shock with climate shock,0.13898470062546492,0.2880396793950392,188,,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,corporate_secured_credit_rate__romer_surprise__pop_precip_shock,-0.14745862922614178,0.4254280304770716,-0.3347984107334044,0.6127678119843343
4,interaction,Interaction (climate amplification),-0.4255961315090458,0.19114801210046822,188,,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,corporate_secured_credit_rate__romer_surprise__pop_precip_shock,-0.6156847790022297,-0.23550748401586186,-0.7400066324970647,-0.11118563052102687
5,base,MP shock alone,0.8414088090313472,0.2307328057800332,184,,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,corporate_secured_credit_rate__romer_surprise__pop_precip_shock,0.6119547514082883,1.070862866654406,0.46188711658737014,1.2209305014753242
5,climate,MP shock with climate shock,0.35435980979681864,0.29058035403493904,184,,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,corporate_secured_credit_rate__romer_surprise__pop_precip_shock,0.06538988602089246,0.6433297335727448,-0.1236023394583935,0.8323219590520308
5,interaction,Interaction (climate amplification),-0.48704899923452855,0.2407877824313387,184,,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,corporate_secured_credit_rate__romer_surprise__pop_precip_shock,-0.7265023076539683,-0.24759569081508886,-0.8831096564923178,-0.09098834197673927
6,base,MP shock alone,0.7330347764278375,0.1971224437642189,180,,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,corporate_secured_credit_rate__romer_surprise__pop_precip_shock,0.5370048082689388,0.9290647445867363,0.40879720984872464,1.0572723430069504
6,climate,MP shock with climate shock,-0.11967767053242317,0.3356071579210204,180,,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,corporate_secured_credit_rate__romer_surprise__pop_precip_shock,-0.4534248543886025,0.21406951332375618,-0.6717023214696889,0.43234698040484254
6,interaction,Interaction (climate amplification),-0.8527124469602607,0.2317357128012352,180,,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,corporate_secured_credit_rate__romer_surprise__pop_precip_shock,-1.0831638533766803,-0.622261040543841,-1.233883774655557,-0.47154111926496445
7,base,MP shock alone,0.6967501429069812,0.2109320393257957,176,,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,corporate_secured_credit_rate__romer_surprise__pop_precip_shock,0.486987113577934,0.9065131722360285,0.3497978129816757,1.0437024728322868
7,climate,MP shock with climate shock,-0.22188104995283842,0.3157326813104851,176,,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,corporate_secured_credit_rate__romer_surprise__pop_precip_shock,-0.5358639038690031,0.09210180396332623,-0.7412150959535029,0.29745299604782605
7,interaction,Interaction (climate amplification),-0.9186311928598196,0.16111798610185368,176,,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,corporate_secured_credit_rate__romer_surprise__pop_precip_shock,-1.0788562442656875,-0.7584061414539518,-1.1836466966665704,-0.6536156890530689
8,base,MP shock alone,0.5319071181404732,0.2106124035317365,172,,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,corporate_secured_credit_rate__romer_surprise__pop_precip_shock,0.32246195314658416,0.7413522831343622,0.1854805423103295,0.8783336939706169
8,climate,MP shock with climate shock,-0.27655633457112916,0.31032385685289393,172,,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,corporate_secured_credit_rate__romer_surprise__pop_precip_shock,-0.5851603403665445,0.0320476712242862,-0.786993656045181,0.2338809869029227
8,interaction,Interaction (climate amplification),-0.8084634527116024,0.11846958516446737,172,,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,corporate_secured_credit_rate__romer_surprise__pop_precip_shock,-0.9262764655989961,-0.6906504398242086,-1.0033285795528128,-0.613598325870392
9,base,MP shock alone,0.15531813132738836,0.2600151589424302,168,,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,corporate_secured_credit_rate__romer_surprise__pop_precip_shock,-0.10325599323694834,0.41389225589172507,-0.27236874592143134,0.5830050085762081
9,climate,MP shock with climate shock,-0.36958823947503694,0.3134829346485128,168,,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,corporate_secured_credit_rate__romer_surprise__pop_precip_shock,-0.6813338150879784,-0.05784266386209547,-0.8852217815190343,0.14604530256896042
9,interaction,Interaction (climate amplification),-0.5249063708024253,0.09245656886843405,168,,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,corporate_secured_credit_rate__romer_surprise__pop_precip_shock,-0.616850534568165,-0.4329622070366856,-0.6769838934411576,-0.37282884816369305
10,base,MP shock alone,-0.2053585545218899,0.3412214086759398,164,,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,corporate_secured_credit_rate__romer_surprise__pop_precip_shock,-0.5446888742996151,0.13397176525583532,-0.7666178261759998,0.35590071713222005
10,climate,MP shock with climate shock,-0.505413573615287,0.3482298156621746,164,,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,corporate_secured_credit_rate__romer_surprise__pop_precip_shock,-0.8517134589692158,-0.1591136882613583,-1.0782006489198572,0.06737350168928313
10,interaction,Interaction (climate amplification),-0.30005501909339716,0.12452189078567101,164,,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,corporate_secured_credit_rate__romer_surprise__pop_precip_shock,-0.4238867950173916,-0.1762232431694027,-0.5048753027870632,-0.09523473539973118
11,base,MP shock alone,-0.47260644645256183,0.39638393755919327,160,,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,corporate_secured_credit_rate__romer_surprise__pop_precip_shock,-0.8667935779360242,-0.07841931496909949,-1.1246000038121065,0.17938711090698284
11,climate,MP shock with climate shock,-0.3473502678110064,0.47554397349093774,160,,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,corporate_secured_credit_rate__romer_surprise__pop_precip_shock,-0.8202587210619594,0.12555818543994657,-1.12955049738249,0.43484996176047697
11,interaction,Interaction (climate amplification),0.1252561786415554,0.23327375063062508,160,,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,corporate_secured_credit_rate__romer_surprise__pop_precip_shock,-0.10672474161897588,0.35723709890208666,-0.2584449961558014,0.5089573534389121
12,base,MP shock alone,-0.5015926087514089,0.32485242746509163,156,,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,corporate_secured_credit_rate__romer_surprise__pop_precip_shock,-0.8246446661238938,-0.17854055137892394,-1.0359273022913547,0.03274208478853691
12,climate,MP shock with climate shock,-0.1294673854409833,0.3446406085673934,156,,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,corporate_secured_credit_rate__romer_surprise__pop_precip_shock,-0.4721979555050345,0.21326318462306793,-0.6963507404378229,0.4374159695558562
12,interaction,Interaction (climate amplification),0.3721252233104256,0.19952152686348892,156,,corporate_secured_credit_rate,romer_surprise,pop_precip_shock,corporate_secured_credit_rate__romer_surprise__pop_precip_shock,0.17370946805098247,0.5705409785698687,0.043941516194120345,0.7003089304267308
