h,series,component,irf,se,nobs,tidy,dep,mp_shock,climate_shock,model,lo68,hi68,lo90,hi90
0,base,MP shock only,-0.0013777521045775208,0.0050823689294225635,184,,corporate_secured_credit_rate,target,land_temp_shock,corporate_secured_credit_rate__target__land_temp_shock,-0.006431953951822103,0.0036764497426670616,-0.009737505071643693,0.006982000862488651
0,climate,MP shock + 1 SD climate shock,-0.00431836886782275,0.004036019076955216,184,,corporate_secured_credit_rate,target,land_temp_shock,corporate_secured_credit_rate__target__land_temp_shock,-0.008332019855685817,-3.047178799596836e-4,-0.010957029484997867,0.002320291749352367
0,interaction,Interaction,-0.0029406167632452292,0.005396604215537238,184,,corporate_secured_credit_rate,target,land_temp_shock,corporate_secured_credit_rate__target__land_temp_shock,-0.008307312367949222,0.0024260788414587637,-0.011817240780393257,0.005936007253902798
1,base,MP shock only,0.005957481014794032,0.00957702987201197,184,,corporate_secured_credit_rate,target,land_temp_shock,corporate_secured_credit_rate__target__land_temp_shock,-0.0035664718391635658,0.015481433868751629,-0.009795331305607446,0.02171029333519551
1,climate,MP shock + 1 SD climate shock,-0.0068860115535699555,0.00967478379322541,184,,corporate_secured_credit_rate,target,land_temp_shock,corporate_secured_credit_rate__target__land_temp_shock,-0.016507176565092922,0.002735153457953012,-0.022799614765828084,0.009027591658688175
1,interaction,Interaction,-0.012843492568363988,0.009094659857364988,184,,corporate_secured_credit_rate,target,land_temp_shock,corporate_secured_credit_rate__target__land_temp_shock,-0.021887748758631892,-0.003799236378096085,-0.02780287682064074,0.002115891683912765
2,base,MP shock only,0.02002240492471665,0.012331151741103049,184,,corporate_secured_credit_rate,target,land_temp_shock,corporate_secured_credit_rate__target__land_temp_shock,0.0077595938667210495,0.03228521598271225,-2.6053474112565367e-4,0.040305344590558956
2,climate,MP shock + 1 SD climate shock,-8.492889619317358e-4,0.010683297444603057,184,,corporate_secured_credit_rate,target,land_temp_shock,corporate_secured_credit_rate__target__land_temp_shock,-0.011473378324391858,0.009774800400528387,-0.01842174951148846,0.01672317158762499
2,interaction,Interaction,-0.020871693886648387,0.010799439837916728,184,,corporate_secured_credit_rate,target,land_temp_shock,corporate_secured_credit_rate__target__land_temp_shock,-0.031611281967714136,-0.010132105805582636,-0.03863519167308993,-0.0031081961002068434
3,base,MP shock only,0.041827037667141576,0.011098094628682966,184,,corporate_secured_credit_rate,target,land_temp_shock,corporate_secured_credit_rate__target__land_temp_shock,0.03079044997503998,0.052863625359243174,0.023572296464901756,0.060081778869381396
3,climate,MP shock + 1 SD climate shock,0.013814823358680155,0.008547144146222587,184,,corporate_secured_credit_rate,target,land_temp_shock,corporate_secured_credit_rate__target__land_temp_shock,0.005315048483539007,0.022314598233821304,-2.4397769031110628e-4,0.027873624407671417
3,interaction,Interaction,-0.02801221430846142,0.010372569013372787,184,,corporate_secured_credit_rate,target,land_temp_shock,corporate_secured_credit_rate__target__land_temp_shock,-0.0383272973329472,-0.01769713128397564,-0.045073572070912095,-0.010950856546010745
4,base,MP shock only,0.0576108329021418,0.01268155054011312,184,,corporate_secured_credit_rate,target,land_temp_shock,corporate_secured_credit_rate__target__land_temp_shock,0.0449995649962034,0.0702221008080802,0.03675153850086834,0.07847012730341527
4,climate,MP shock + 1 SD climate shock,0.023052678404874544,0.005391045725265597,184,,corporate_secured_credit_rate,target,land_temp_shock,corporate_secured_credit_rate__target__land_temp_shock,0.01769151048463993,0.028413846325109158,0.0141851972906102,0.03192015951913889
4,interaction,Interaction,-0.034558154497267256,0.01107673410083114,184,,corporate_secured_credit_rate,target,land_temp_shock,corporate_secured_credit_rate__target__land_temp_shock,-0.04557350004405708,-0.02354280895047743,-0.0527777607577964,-0.01633854823673811
5,base,MP shock only,0.06280345291397404,0.016144730595379915,184,,corporate_secured_credit_rate,target,land_temp_shock,corporate_secured_credit_rate__target__land_temp_shock,0.046748198301100795,0.07885870752684729,0.036247734238009005,0.08935917158993908
5,climate,MP shock + 1 SD climate shock,0.02653759742379399,0.004825033644687954,184,,corporate_secured_credit_rate,target,land_temp_shock,corporate_secured_credit_rate__target__land_temp_shock,0.021739304679081764,0.031335890168506214,0.01860112333316613,0.03447407151442185
5,interaction,Interaction,-0.036265855490180056,0.013132308765043814,184,,corporate_secured_credit_rate,target,land_temp_shock,corporate_secured_credit_rate__target__land_temp_shock,-0.04932538346632241,-0.023206327514037697,-0.05786658119260897,-0.014665129787751138
6,base,MP shock only,0.048162721056461105,0.015461022745251992,180,,corporate_secured_credit_rate,target,land_temp_shock,corporate_secured_credit_rate__target__land_temp_shock,0.03278738510495996,0.06353805700796225,0.02273160171755417,0.07359384039536804
6,climate,MP shock + 1 SD climate shock,0.025278327632365767,0.005601771027429783,180,,corporate_secured_credit_rate,target,land_temp_shock,corporate_secured_credit_rate__target__land_temp_shock,0.01970760227420222,0.030849052990529313,0.01606423424054622,0.034492421024185316
6,interaction,Interaction,-0.022884393424095338,0.012329675386311374,180,,corporate_secured_credit_rate,target,land_temp_shock,corporate_secured_credit_rate__target__land_temp_shock,-0.035145736309429944,-0.010623050538760732,-0.04316490470240389,-0.0026038821457867907
7,base,MP shock only,0.031336044640873785,0.011839988771816648,176,,corporate_secured_credit_rate,target,land_temp_shock,corporate_secured_credit_rate__target__land_temp_shock,0.019561674469625756,0.043110414812121814,0.011860996166486473,0.050811093115261094
7,climate,MP shock + 1 SD climate shock,0.022027339730554152,0.006203660898023712,176,,corporate_secured_credit_rate,target,land_temp_shock,corporate_secured_credit_rate__target__land_temp_shock,0.015858060245754375,0.02819661921535393,0.011823225602062826,0.03223145385904548
7,interaction,Interaction,-0.009308704910319633,0.013175293739295676,176,,corporate_secured_credit_rate,target,land_temp_shock,corporate_secured_credit_rate__target__land_temp_shock,-0.022410979632966326,0.00379356981232706,-0.030980134603551143,0.012362724782911876
8,base,MP shock only,0.006719615784321316,0.00924213974925502,172,,corporate_secured_credit_rate,target,land_temp_shock,corporate_secured_credit_rate__target__land_temp_shock,-0.0024713029470515516,0.015910534515694186,-0.008482351303033169,0.021921582871675803
8,climate,MP shock + 1 SD climate shock,0.015423765669567966,0.007341454378533651,172,,corporate_secured_credit_rate,target,land_temp_shock,corporate_secured_credit_rate__target__land_temp_shock,0.008122998488610415,0.022724532850525517,0.003348147807938129,0.027499383531197803
