h,series,component,irf,se,nobs,tidy,dep,mp_shock,climate_shock,model,lo68,hi68,lo90,hi90
0,base,MP shock alone,-0.5919301289623405,0.2097478700235516,184,,corporate_secured_credit_rate,target,pop_precip_shock,corporate_secured_credit_rate__target__pop_precip_shock,-0.8005155517937161,-0.38334470613096494,-0.9369346737159252,-0.24692558420875582
0,climate,MP shock with climate shock,-0.6593494165968696,0.2563179237141819,184,,corporate_secured_credit_rate,target,pop_precip_shock,corporate_secured_credit_rate__target__pop_precip_shock,-0.9142467964423939,-0.4044520367513453,-1.0809548830708122,-0.23774395012292698
0,interaction,Interaction (climate amplification),-0.06741928763452908,0.0540100015014671,184,,corporate_secured_credit_rate,target,pop_precip_shock,corporate_secured_credit_rate__target__pop_precip_shock,-0.12112995939983365,-0.013708615869224512,-0.15625783449587166,0.02141925922681351
1,base,MP shock alone,-0.9360287782002341,0.6387698137060704,184,,corporate_secured_credit_rate,target,pop_precip_shock,corporate_secured_credit_rate__target__pop_precip_shock,-1.5712584549966615,-0.30079910140380683,-1.9867116230617798,0.11465406666131162
1,climate,MP shock with climate shock,-1.0078025023482564,0.7349857333701134,184,,corporate_secured_credit_rate,target,pop_precip_shock,corporate_secured_credit_rate__target__pop_precip_shock,-1.7387148589448675,-0.2768901457516453,-2.2167464516396747,0.20114144694316183
1,interaction,Interaction (climate amplification),-0.07177372414802234,0.11895433036874213,184,,corporate_secured_credit_rate,target,pop_precip_shock,corporate_secured_credit_rate__target__pop_precip_shock,-0.1900687957251553,0.04652134742911063,-0.26743618589663143,0.12388873760058673
2,base,MP shock alone,-0.24169380224849882,0.6226858052279005,184,,corporate_secured_credit_rate,target,pop_precip_shock,corporate_secured_credit_rate__target__pop_precip_shock,-0.8609286100201975,0.3775410055231999,-1.2659208074288086,0.782533202931811
2,climate,MP shock with climate shock,-0.26355661196852587,0.8334201221622848,184,,corporate_secured_credit_rate,target,pop_precip_shock,corporate_secured_credit_rate__target__pop_precip_shock,-1.0923578224784456,0.5652445985413939,-1.6344107226814986,1.1072974987444466
2,interaction,Interaction (climate amplification),-0.021862809720027052,0.24393375406339135,184,,corporate_secured_credit_rate,target,pop_precip_shock,corporate_secured_credit_rate__target__pop_precip_shock,-0.26444465442931575,0.22071903498926165,-0.4230981298270846,0.37937251038703046
3,base,MP shock alone,1.3299050403480592,0.5505240341983725,184,,corporate_secured_credit_rate,target,pop_precip_shock,corporate_secured_credit_rate__target__pop_precip_shock,0.7824320746430519,1.8773780060530667,0.4243735859729103,2.235436494723208
3,climate,MP shock with climate shock,1.5083081321851566,0.8050268926349016,184,,corporate_secured_credit_rate,target,pop_precip_shock,corporate_secured_credit_rate__target__pop_precip_shock,0.707742792608527,2.3088734717617863,0.18415672804116578,2.8324595363291474
3,interaction,Interaction (climate amplification),0.17840309183709724,0.28999216194021404,184,,corporate_secured_credit_rate,target,pop_precip_shock,corporate_secured_credit_rate__target__pop_precip_shock,-0.109981899673388,0.4667880833475825,-0.29859156751776234,0.6553977511919569
4,base,MP shock alone,2.2529706489583363,0.4667186746872994,184,,corporate_secured_credit_rate,target,pop_precip_shock,corporate_secured_credit_rate__target__pop_precip_shock,1.7888385836743432,2.7171027142423294,1.485286744132948,3.0206545537837246
4,climate,MP shock with climate shock,2.3678034717499323,0.6963545483475051,184,,corporate_secured_credit_rate,target,pop_precip_shock,corporate_secured_credit_rate__target__pop_precip_shock,1.6753082016367886,3.0602987418630763,1.2224021672563847,3.51320477624348
4,interaction,Interaction (climate amplification),0.11483282279159611,0.3709448194765978,184,,corporate_secured_credit_rate,target,pop_precip_shock,corporate_secured_credit_rate__target__pop_precip_shock,-0.2540561771727254,0.48372182275591763,-0.4953171089233446,0.7249827545065368
