model,dep,mp_shock,climate_shock,component,h,irf,se,lo68,hi68,lo90,hi90,nobs
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,MP shock (purged),0,0.00146306339661712,0.0019505503829588577,-4.766768083141193e-4,0.003402803601548359,-0.0017453064753443388,0.004671433268578579,184
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,Interaction (climate x MP),0,-0.0015271842894008145,8.616886296258855e-4,-0.0023840973400044855,-6.702712387971434e-4,-0.0029445359571437955,-1.0983262165783353e-4,184
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,MP shock (purged),1,5.66140485959713e-4,0.0024122247036732925,-0.0018327153866815036,0.00296499635860093,-0.003401616066899241,0.004533897038818667,184
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,Interaction (climate x MP),1,-0.0033938466515004355,7.939784213860469e-4,-0.004183424751746225,-0.002604268551254646,-0.004699824937638479,-0.0020878683653623924,184
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,MP shock (purged),2,-0.0015710787368527056,0.002510028044403697,-0.004067195912687523,9.250384389821115e-4,-0.0056997074694400355,0.002557549995734624,184
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,Interaction (climate x MP),2,-0.004996074557366135,7.639870085358289e-4,-0.005755827460674426,-0.004236321654057843,-0.006252721359300098,-0.0037394277554321717,184
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,MP shock (purged),3,-0.005181620156434043,0.0017810625648610398,-0.006952811864549887,-0.0034104284483181995,-0.008111207376073215,-0.0022520329367948714,184
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,Interaction (climate x MP),3,-0.00483420123957677,8.841629692359337e-4,-0.005713464074375586,-0.003954938404777953,-0.006288519906340677,-0.003379882572812862,184
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,MP shock (purged),4,-0.005532964797435235,0.0017701347740196696,-0.00729328927780281,-0.0037726403170676593,-0.008444577400674412,-0.0026213521941960576,184
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,Interaction (climate x MP),4,-0.004207032843348912,8.923114807633297e-4,-0.005094399029672573,-0.003319666657025251,-0.005674754618852913,-0.0027393110678449106,184
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,MP shock (purged),5,0.1718306341685281,0.15561114276200816,0.01708190653357075,0.32657936180348546,-0.08412691839762423,0.42778818673468044,184
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,Interaction (climate x MP),5,0.2580863117660079,0.1975154004788156,0.06166556470451823,0.45450705882749753,-0.06679761109034438,0.5829702346223602,184
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,MP shock (purged),6,0.506349058291715,0.44744564639125994,0.061383207930042816,0.9513149086533871,-0.2296335360385946,1.2423316526220245,180
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,Interaction (climate x MP),6,-0.4712835184713053,0.30076889342381885,-0.7703855155608961,-0.1721815213817145,-0.9660043236936543,0.02343728675104373,180
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,MP shock (purged),7,-0.11835384933057165,0.13577536822264902,-0.253376734605292,0.01666903594414869,-0.34168445620226745,0.10497675754112416,176
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,Interaction (climate x MP),7,-0.04249213757869496,0.047535280177286185,-0.08976397168158153,0.004779696524191607,-0.12068071558645854,0.03569644042906862,176
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,MP shock (purged),8,0.2846140440671819,0.3201041907986074,-0.033716091920972246,0.602944180055336,-0.24191049517027335,0.8111385833046372,172
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,Interaction (climate x MP),8,-0.1771130232671164,0.21334814001130234,-0.38927876296949415,0.035052716435261394,-0.5280394851680574,0.17381343863382462,172
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,MP shock (purged),9,-0.3414184298648667,0.303941971167058,-0.643675919130259,-0.039160940599474336,-0.8413584835217817,0.15852162379204826,168
corporate_unsecured_credit__central_bank_information__land_precip_shock,corporate_unsecured_credit,central_bank_information,land_precip_shock,Interaction (climate x MP),9,0.37557581144843744,0.21335584958092998,0.16340240490376728,0.5877492179931076,0.02463666843393214,0.7265149544629428,168
