h,series,component,irf,se,nobs,tidy,dep,mp_shock,climate_shock,model,lo68,hi68,lo90,hi90
0,base,MP shock alone,-0.0026446094337999613,0.002370710776261307,184,,corporate_unsecured_credit,central_bank_information,pop_temp_shock,corporate_unsecured_credit__central_bank_information__pop_temp_shock,-0.005002181454063332,-2.870374135365912e-4,-0.00654408165258631,0.0012548627849863878
0,climate,MP shock with climate shock,0.0016095604607731613,0.0017201273518793617,184,,corporate_unsecured_credit,central_bank_information,pop_temp_shock,corporate_unsecured_credit__central_bank_information__pop_temp_shock,-1.0103374442798707e-4,0.0033201546659743096,-0.001219797252784037,0.004438918174330359
0,interaction,Interaction (climate amplification),0.0042541698945731225,0.0013523085927379967,184,,corporate_unsecured_credit,central_bank_information,pop_temp_shock,corporate_unsecured_credit__central_bank_information__pop_temp_shock,0.002909355953992534,0.005598983835153711,0.0020298202010503885,0.006478519588095857
1,base,MP shock alone,-0.00627845755800869,0.004631973625499694,184,,corporate_unsecured_credit,central_bank_information,pop_temp_shock,corporate_unsecured_credit__central_bank_information__pop_temp_shock,-0.010884760244706523,-0.001672154871310858,-0.013897376175855418,0.0013404610598380384
1,climate,MP shock with climate shock,1.6444157617651316e-4,0.0032140142743959147,184,,corporate_unsecured_credit,central_bank_information,pop_temp_shock,corporate_unsecured_credit__central_bank_information__pop_temp_shock,-0.003031760255745179,0.0033606434080982054,-0.005122141460137409,0.005451024612490436
1,interaction,Interaction (climate amplification),0.006442899134185203,0.0025152412101018796,184,,corporate_unsecured_credit,central_bank_information,pop_temp_shock,corporate_unsecured_credit__central_bank_information__pop_temp_shock,0.003941597684625349,0.008944200583745057,0.0023056955070913186,0.010580102761279088
2,base,MP shock alone,-0.011643745353731296,0.006301398327334651,184,,corporate_unsecured_credit,central_bank_information,pop_temp_shock,corporate_unsecured_credit__central_bank_information__pop_temp_shock,-0.017910220595593995,-0.005377270111868599,-0.022008623247313633,-0.00127886746014896
2,climate,MP shock with climate shock,-0.0024340293625816946,0.003688159849508564,184,,corporate_unsecured_credit,central_bank_information,pop_temp_shock,corporate_unsecured_credit__central_bank_information__pop_temp_shock,-0.006101748999463183,0.0012336902742997942,-0.00850051246782265,0.0036324537426592604
2,interaction,Interaction (climate amplification),0.009209715991149602,0.004245759993972126,184,,corporate_unsecured_credit,central_bank_information,pop_temp_shock,corporate_unsecured_credit__central_bank_information__pop_temp_shock,0.0049874864949274265,0.013431945487371777,0.0022260622658990927,0.016193369716400112
3,base,MP shock alone,-0.015543834924269119,0.007363675522044668,184,,corporate_unsecured_credit,central_bank_information,pop_temp_shock,corporate_unsecured_credit__central_bank_information__pop_temp_shock,-0.022866700096565135,-0.008220969751973103,-0.02765600331439806,-0.0034316665341401764
3,climate,MP shock with climate shock,-0.007785828186171676,0.0036393151965680316,184,,corporate_unsecured_credit,central_bank_information,pop_temp_shock,corporate_unsecured_credit__central_bank_information__pop_temp_shock,-0.011404973872883807,-0.004166682499459545,-0.01377196898686621,-0.0017996873854771419
3,interaction,Interaction (climate amplification),0.007758006738097443,0.005673710745730107,184,,corporate_unsecured_credit,central_bank_information,pop_temp_shock,corporate_unsecured_credit__central_bank_information__pop_temp_shock,0.00211574035995425,0.013400273116240636,-0.0015744169602902617,0.017090430436485147
4,base,MP shock alone,-0.01436339784140094,0.006955638771724914,184,,corporate_unsecured_credit,central_bank_information,pop_temp_shock,corporate_unsecured_credit__central_bank_information__pop_temp_shock,-0.021280487650702187,-0.007446308032099694,-0.02580440550283694,-0.0029223901799649375
4,climate,MP shock with climate shock,-0.00818951970754081,0.00429246142965181,184,,corporate_unsecured_credit,central_bank_information,pop_temp_shock,corporate_unsecured_credit__central_bank_information__pop_temp_shock,-0.012458191814631859,-0.00392084760044976,-0.015249990458652888,-0.001129048956428732
4,interaction,Interaction (climate amplification),0.006173878133860129,0.005040646076293996,184,,corporate_unsecured_credit,central_bank_information,pop_temp_shock,corporate_unsecured_credit__central_bank_information__pop_temp_shock,0.0011611679068192545,0.011186588360901004,-0.002117246846910754,0.014465003114631014
5,base,MP shock alone,0.19985359017200807,0.21202792812962704,184,,corporate_unsecured_credit,central_bank_information,pop_temp_shock,corporate_unsecured_credit__central_bank_information__pop_temp_shock,-0.010999254417130538,0.41070643476114665,-0.1489013164270149,0.5486084967710311
5,climate,MP shock with climate shock,0.31895585343150845,0.2152417934616007,184,,corporate_unsecured_credit,central_bank_information,pop_temp_shock,corporate_unsecured_credit__central_bank_information__pop_temp_shock,0.10490695512741413,0.5330047517356028,-0.035085391215344985,0.6729970980783619
5,interaction,Interaction (climate amplification),0.11910226325950038,0.122499327034567,184,,corporate_unsecured_credit,central_bank_information,pop_temp_shock,corporate_unsecured_credit__central_bank_information__pop_temp_shock,-0.0027181581979144193,0.2409226847169152,-0.0823911991124216,0.32059572563142236
6,base,MP shock alone,-0.4575320399475996,0.3396615747277364,180,,corporate_unsecured_credit,central_bank_information,pop_temp_shock,corporate_unsecured_credit__central_bank_information__pop_temp_shock,-0.7953111705590358,-0.11975290933616345,-1.016225613074565,0.10116153317936583
6,climate,MP shock with climate shock,0.44550892849716384,0.2926478352246842,180,,corporate_unsecured_credit,central_bank_information,pop_temp_shock,corporate_unsecured_credit__central_bank_information__pop_temp_shock,0.15448298175370773,0.73653487524062,-0.03585392469165455,0.9268717816859822
6,interaction,Interaction (climate amplification),0.9030409684447634,0.5394016764492401,180,,corporate_unsecured_credit,central_bank_information,pop_temp_shock,corporate_unsecured_credit__central_bank_information__pop_temp_shock,0.3666287190832599,1.4394532178062671,0.015804164553526734,1.7902777723360002
7,base,MP shock alone,0.13941038742761327,0.14376832390057936,176,,corporate_unsecured_credit,central_bank_information,pop_temp_shock,corporate_unsecured_credit__central_bank_information__pop_temp_shock,-0.00356115563117107,0.2823819304863976,-0.09706746158098861,0.37588823643621516
7,climate,MP shock with climate shock,0.0039123963870734135,0.0454153378750828,176,,corporate_unsecured_credit,central_bank_information,pop_temp_shock,corporate_unsecured_credit__central_bank_information__pop_temp_shock,-0.04125124438143716,0.049076037155583986,-0.07078918683598306,0.07861397961012989
7,interaction,Interaction (climate amplification),-0.13549799104053986,0.16098199120205264,176,,corporate_unsecured_credit,central_bank_information,pop_temp_shock,corporate_unsecured_credit__central_bank_information__pop_temp_shock,-0.29558780124622425,0.024591819165144524,-0.400289803143106,0.12929382106202633
8,base,MP shock alone,-0.08522996049294868,0.20580811989648554,172,,corporate_unsecured_credit,central_bank_information,pop_temp_shock,corporate_unsecured_credit__central_bank_information__pop_temp_shock,-0.2898974677525868,0.11943754676668944,-0.42375419296074623,0.2532942719748489
8,climate,MP shock with climate shock,0.5951343715206243,0.5586603555489539,172,,corporate_unsecured_credit,central_bank_information,pop_temp_shock,corporate_unsecured_credit__central_bank_information__pop_temp_shock,0.039570176908203525,1.150698566133045,-0.32378014053807114,1.5140488835793198
8,interaction,Interaction (climate amplification),0.6803643320135729,0.4801851428137456,172,,corporate_unsecured_credit,central_bank_information,pop_temp_shock,corporate_unsecured_credit__central_bank_information__pop_temp_shock,0.20284043134224244,1.1578882326849034,-0.10946994175182678,1.4701986057789727
9,base,MP shock alone,0.1466122175688419,0.2696174296235826,168,,corporate_unsecured_credit,central_bank_information,pop_temp_shock,corporate_unsecured_credit__central_bank_information__pop_temp_shock,-0.12151096077108064,0.41473539590876446,-0.29686898943684104,0.5900934245745248
9,climate,MP shock with climate shock,-0.2968541808510323,0.288995298381411,168,,corporate_unsecured_credit,central_bank_information,pop_temp_shock,corporate_unsecured_credit__central_bank_information__pop_temp_shock,-0.5842478335369814,-0.009460528165083304,-0.772209145565619,0.17850078386355434
9,interaction,Interaction (climate amplification),-0.44346639841987423,0.5133279061420981,168,,corporate_unsecured_credit,central_bank_information,pop_temp_shock,corporate_unsecured_credit__central_bank_information__pop_temp_shock,-0.95394938135444,0.0670165845146915,-1.2878156666531089,0.4008828698133604
10,base,MP shock alone,-0.13828559458175416,0.09547345186937077,164,,corporate_unsecured_credit,central_bank_information,pop_temp_shock,corporate_unsecured_credit__central_bank_information__pop_temp_shock,-0.23322992143049687,-0.043341267733011446,-0.2953254481666654,0.01875425900315711
