h,series,component,irf,se,nobs,tidy,dep,mp_shock,climate_shock,model,lo68,hi68,lo90,hi90
0,base,MP shock alone,0.6370946622646355,0.40175030636180464,184,,corporate_unsecured_credit,country_risk,pop_temp_shock,corporate_unsecured_credit__country_risk__pop_temp_shock,0.23757090302120543,1.0366184215080656,-0.023725786283443684,1.2979151108127147
0,climate,MP shock with climate shock,0.35461672586835064,0.10212064570965888,184,,corporate_unsecured_credit,country_risk,pop_temp_shock,corporate_unsecured_credit__country_risk__pop_temp_shock,0.2530620447039101,0.4561714070327912,0.186643211386192,0.5225902403505093
0,interaction,Interaction (climate amplification),-0.2824779363962849,0.32288872290487103,184,,corporate_unsecured_credit,country_risk,pop_temp_shock,corporate_unsecured_credit__country_risk__pop_temp_shock,-0.6035771722885634,0.038621299495993744,-0.8135826233680907,0.24862675057552092
1,base,MP shock alone,0.9253406457876642,0.6307977236144273,184,,corporate_unsecured_credit,country_risk,pop_temp_shock,corporate_unsecured_credit__country_risk__pop_temp_shock,0.2980388768285298,1.5526424147467985,-0.11222927777225855,1.9629105693475868
1,climate,MP shock with climate shock,0.24385615015122886,0.1686314801342061,184,,corporate_unsecured_credit,country_risk,pop_temp_shock,corporate_unsecured_credit__country_risk__pop_temp_shock,0.07615924537443872,0.41155305492801897,-0.033517951565715076,0.5212302518681728
1,interaction,Interaction (climate amplification),-0.6814844956364353,0.5229124432592791,184,,corporate_unsecured_credit,country_risk,pop_temp_shock,corporate_unsecured_credit__country_risk__pop_temp_shock,-1.201498897064098,-0.16147009420877245,-1.541598924509516,0.17862993323664544
2,base,MP shock alone,1.0294192915376599,0.6878141427773425,184,,corporate_unsecured_credit,country_risk,pop_temp_shock,corporate_unsecured_credit__country_risk__pop_temp_shock,0.34541709506957285,1.7134214880057468,-0.10193429587816927,2.1607728789534892
2,climate,MP shock with climate shock,0.23950727673524863,0.28930706611668877,184,,corporate_unsecured_credit,country_risk,pop_temp_shock,corporate_unsecured_credit__country_risk__pop_temp_shock,-0.04819641583277784,0.5272109693032752,-0.23636050026947608,0.7153750537399733
2,interaction,Interaction (climate amplification),-0.7899120148024112,0.4507083471135945,184,,corporate_unsecured_credit,country_risk,pop_temp_shock,corporate_unsecured_credit__country_risk__pop_temp_shock,-1.2381224836179632,-0.34170154598685937,-1.53126127424951,-0.048562755355312626
3,base,MP shock alone,1.3542637183863666,0.885221787977755,184,,corporate_unsecured_credit,country_risk,pop_temp_shock,corporate_unsecured_credit__country_risk__pop_temp_shock,0.4739479329428554,2.234579503829878,-0.1017965502253102,2.8103239869980436
3,climate,MP shock with climate shock,0.4790533393754387,0.4318217477411076,184,,corporate_unsecured_credit,country_risk,pop_temp_shock,corporate_unsecured_credit__country_risk__pop_temp_shock,0.04962479819288079,0.9084818805579966,-0.23123022859304554,1.189336907343923
3,interaction,Interaction (climate amplification),-0.8752103790109279,0.5025297686492314,184,,corporate_unsecured_credit,country_risk,pop_temp_shock,corporate_unsecured_credit__country_risk__pop_temp_shock,-1.3749550689917296,-0.3754656890301262,-1.7017982916247,-0.04862246639715584
4,base,MP shock alone,1.8848183390681363,0.9357911195235294,184,,corporate_unsecured_credit,country_risk,pop_temp_shock,corporate_unsecured_credit__country_risk__pop_temp_shock,0.954213483220282,2.815423194915991,0.3455789220508809,3.424057756085392
4,climate,MP shock with climate shock,0.3626584670496624,0.37290104570173,184,,corporate_unsecured_credit,country_risk,pop_temp_shock,corporate_unsecured_credit__country_risk__pop_temp_shock,-0.008175917505583441,0.7334928516049083,-0.2507091704668246,0.9760261045661495
4,interaction,Interaction (climate amplification),-1.522159872018474,0.7149066349175796,184,,corporate_unsecured_credit,country_risk,pop_temp_shock,corporate_unsecured_credit__country_risk__pop_temp_shock,-2.233104410871218,-0.8112153331657299,-2.698076643394326,-0.34624310064262165
5,base,MP shock alone,1.9128703222001562,0.8150359285819222,184,,corporate_unsecured_credit,country_risk,pop_temp_shock,corporate_unsecured_credit__country_risk__pop_temp_shock,1.1023514179226823,2.72338922647763,0.5722555189764209,3.2534851254238912
5,climate,MP shock with climate shock,0.3583040508308917,0.3332573299111765,184,,corporate_unsecured_credit,country_risk,pop_temp_shock,corporate_unsecured_credit__country_risk__pop_temp_shock,0.02689367196328868,0.6897144296984947,-0.18985547698167016,0.9064635786434535
5,interaction,Interaction (climate amplification),-1.5545662713692645,0.7019095743184546,184,,corporate_unsecured_credit,country_risk,pop_temp_shock,corporate_unsecured_credit__country_risk__pop_temp_shock,-2.2525857808506538,-0.8565467618878752,-2.709104780478938,-0.40002776225959114
6,base,MP shock alone,1.7602212454271597,0.7171772057633288,180,,corporate_unsecured_credit,country_risk,pop_temp_shock,corporate_unsecured_credit__country_risk__pop_temp_shock,1.047018719497474,2.4734237713568454,0.5805697173604267,2.9398727734938928
6,climate,MP shock with climate shock,0.28972631200582355,0.26296986837485226,180,,corporate_unsecured_credit,country_risk,pop_temp_shock,corporate_unsecured_credit__country_risk__pop_temp_shock,0.02821385335382054,0.5512387706578266,-0.14282062976950327,0.7222732537811504
6,interaction,Interaction (climate amplification),-1.4704949334213362,0.6718364981651858,180,,corporate_unsecured_credit,country_risk,pop_temp_shock,corporate_unsecured_credit__country_risk__pop_temp_shock,-2.13860803524974,-0.8023818315929323,-2.5755676341467177,-0.36542223269595486
7,base,MP shock alone,1.2298136495502363,0.8109480552172246,176,,corporate_unsecured_credit,country_risk,pop_temp_shock,corporate_unsecured_credit__country_risk__pop_temp_shock,0.423359963165849,2.0362673359346237,-0.10407720034305767,2.5637044994435305
7,climate,MP shock with climate shock,0.09753368888900482,0.2841231492214378,176,,corporate_unsecured_credit,country_risk,pop_temp_shock,corporate_unsecured_credit__country_risk__pop_temp_shock,-0.18501481665663505,0.3800821944346447,-0.36980730360875125,0.5648746813867609
7,interaction,Interaction (climate amplification),-1.1322799606612315,0.8364584046776338,176,,corporate_unsecured_credit,country_risk,pop_temp_shock,corporate_unsecured_credit__country_risk__pop_temp_shock,-1.9641026151699583,-0.30045730615250466,-2.5081316013892794,0.24357168006681618
8,base,MP shock alone,1.3150469072929643,0.5613041794533535,172,,corporate_unsecured_credit,country_risk,pop_temp_shock,corporate_unsecured_credit__country_risk__pop_temp_shock,0.7568535411569948,1.8732402734289337,0.3917836918960961,2.2383101226898323
8,climate,MP shock with climate shock,-0.27933641805960385,0.12431449676462016,172,,corporate_unsecured_credit,country_risk,pop_temp_shock,corporate_unsecured_credit__country_risk__pop_temp_shock,-0.40296194936443375,-0.15571088675477396,-0.4838155689455363,-0.07485726717367142
