model,dep,mp_shock,climate_shock,component,h,irf,se,lo68,hi68,lo90,hi90,nobs
corporate_unsecured_credit__forward_guidance__pop_precip_shock,corporate_unsecured_credit,forward_guidance,pop_precip_shock,MP shock (purged),0,6.504353485142303e-4,0.0023151814056599153,-0.00165191505140491,0.0029527857484333703,-0.003157699183636087,0.004458569880664548,184
corporate_unsecured_credit__forward_guidance__pop_precip_shock,corporate_unsecured_credit,forward_guidance,pop_precip_shock,Interaction (climate x MP),0,-5.464375751885644e-4,7.440275611707797e-4,-0.0012863416487201734,1.9346649834304445e-4,-0.0017702540077321792,6.773788573550504e-4,184
corporate_unsecured_credit__forward_guidance__pop_precip_shock,corporate_unsecured_credit,forward_guidance,pop_precip_shock,MP shock (purged),1,3.312757151741123e-4,0.003847083807834807,-0.003494487104895807,0.0041570385352440314,-0.005996614039329248,0.006659165469677473,184
corporate_unsecured_credit__forward_guidance__pop_precip_shock,corporate_unsecured_credit,forward_guidance,pop_precip_shock,Interaction (climate x MP),1,-4.0177964816153064e-4,9.243501923420846e-4,-0.0013210069837825684,5.174476874595072e-4,-0.001922200414608699,0.0011186411182856377,184
corporate_unsecured_credit__forward_guidance__pop_precip_shock,corporate_unsecured_credit,forward_guidance,pop_precip_shock,MP shock (purged),2,-0.0010512739117463118,0.0027051825062525906,-0.003741463980610318,0.0016389161571176945,-0.005500903168721557,0.003398355345228934,184
corporate_unsecured_credit__forward_guidance__pop_precip_shock,corporate_unsecured_credit,forward_guidance,pop_precip_shock,Interaction (climate x MP),2,-7.631609985428844e-4,0.0011193191032086243,-0.0018762767045559722,3.499547074702035e-4,-0.0026042770851716582,0.0010779550880858897,184
corporate_unsecured_credit__forward_guidance__pop_precip_shock,corporate_unsecured_credit,forward_guidance,pop_precip_shock,MP shock (purged),3,-0.004746820566853983,0.0028103281598024113,-0.00754157355977585,-0.0019520675739321154,-0.009369399033428833,-1.2424210027913146e-4,184
corporate_unsecured_credit__forward_guidance__pop_precip_shock,corporate_unsecured_credit,forward_guidance,pop_precip_shock,Interaction (climate x MP),3,9.461055988004803e-5,0.001182633514269842,-0.0010814686613336505,0.0012706897810937467,-0.0018506484654210664,0.0020398695851811624,184
corporate_unsecured_credit__forward_guidance__pop_precip_shock,corporate_unsecured_credit,forward_guidance,pop_precip_shock,MP shock (purged),4,-0.004999983418443992,0.0033840284417811593,-0.008365257179379283,-0.0016347096575087,-0.010566214874614668,5.662480377266847e-4,184
corporate_unsecured_credit__forward_guidance__pop_precip_shock,corporate_unsecured_credit,forward_guidance,pop_precip_shock,Interaction (climate x MP),4,4.1890949691373767e-4,0.0012419315123145867,-8.161390859141139e-4,0.0016539580797415893,-0.0016238860555422366,0.002461705049369712,184
