h,series,component,irf,se,nobs,tidy,dep,mp_shock,climate_shock,model,lo68,hi68,lo90,hi90
0,base,MP shock only,-0.17559920610772384,0.0703591013266723,196,,corporate_unsecured_credit,miyajima_surprise,land_temp_shock,corporate_unsecured_credit__miyajima_surprise__land_temp_shock,-0.2455683690775869,-0.10563004313786077,-0.2913296291139469,-0.059868783101500817
0,climate,MP shock + 1 SD climate shock,-0.12554016173906507,0.02653426634516118,196,,corporate_unsecured_credit,miyajima_surprise,land_temp_shock,corporate_unsecured_credit__miyajima_surprise__land_temp_shock,-0.15192737208119786,-0.09915295139693228,-0.1691851459753998,-0.08189517750273034
0,interaction,Interaction,0.05005904436865878,0.04696448378656227,196,,corporate_unsecured_credit,miyajima_surprise,land_temp_shock,corporate_unsecured_credit__miyajima_surprise__land_temp_shock,0.0033548432362352915,0.09676324550108227,-0.02719065712557174,0.12730874586288932
1,base,MP shock only,-0.38478642465147384,0.17371698083865025,196,,corporate_unsecured_credit,miyajima_surprise,land_temp_shock,corporate_unsecured_credit__miyajima_surprise__land_temp_shock,-0.5575406456938672,-0.21203220360908043,-0.670525430646987,-0.09904741865596067
1,climate,MP shock + 1 SD climate shock,-0.2065275571670001,0.06297172105889684,196,,corporate_unsecured_credit,miyajima_surprise,land_temp_shock,corporate_unsecured_credit__miyajima_surprise__land_temp_shock,-0.2691502815933057,-0.14390483274069452,-0.3101068209461029,-0.10294829338789728
1,interaction,Interaction,0.17825886748447373,0.11296665022429003,196,,corporate_unsecured_credit,miyajima_surprise,land_temp_shock,corporate_unsecured_credit__miyajima_surprise__land_temp_shock,0.06591829162912967,0.2905994433398178,-0.00755473686150801,0.36407247183045544
2,base,MP shock only,-12.543905296839803,10.2704737035458,196,,corporate_unsecured_credit,miyajima_surprise,land_temp_shock,corporate_unsecured_credit__miyajima_surprise__land_temp_shock,-22.757458835629393,-2.3303517580502113,-29.437331218626824,4.349520624947218
2,climate,MP shock + 1 SD climate shock,-1.1906170093473563,2.0383475006421756,196,,corporate_unsecured_credit,miyajima_surprise,land_temp_shock,corporate_unsecured_credit__miyajima_surprise__land_temp_shock,-3.2176677500818656,0.836433731387153,-4.543400288766106,2.1621662700713933
2,interaction,Interaction,11.353288287492447,9.474861756578834,196,,corporate_unsecured_credit,miyajima_surprise,land_temp_shock,corporate_unsecured_credit__miyajima_surprise__land_temp_shock,1.9309373213400143,20.77563925364488,-4.231472437680038,26.938049012664933
3,base,MP shock only,8.805119413952777,8.220550491568682,192,,corporate_unsecured_credit,miyajima_surprise,land_temp_shock,corporate_unsecured_credit__miyajima_surprise__land_temp_shock,0.6301281732884885,16.980110654617064,-4.716482877641672,22.32672170554723
