h,series,component,irf,se,nobs,tidy,dep,mp_shock,climate_shock,model,lo68,hi68,lo90,hi90
0,base,MP shock only,-0.09659259813221854,0.020513568210719344,196,,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,-0.11699247775212938,-0.0761927185123077,-0.13033441520533667,-0.06285078105910041
0,climate,MP shock + 1 SD climate shock,-0.07737667803117318,0.023130685022609173,196,,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,-0.10037917009594864,-0.05437418596639772,-0.11542326918448395,-0.0393300868778624
0,interaction,Interaction,0.019215920101045367,0.007471518782386813,196,,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,0.011785809348351065,0.02664603085373967,0.006926365333000376,0.03150547486909036
1,base,MP shock only,-0.10346904266539671,0.051357818535816356,196,,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,-0.15454223017279528,-0.05239585515799815,-0.18794513675634977,-0.018992948574443655
1,climate,MP shock + 1 SD climate shock,-0.08372927959241012,0.065791243464369,196,,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,-0.14915590030172404,-0.01830265888309622,-0.19194624502642477,0.024487685841604517
1,interaction,Interaction,0.01973976307298658,0.01791837473444023,196,,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,0.0019206940640160222,0.037558832081957136,-0.009733340598033047,0.049212866744006205
2,base,MP shock only,1.7229411555304548,3.6452018685150804,196,,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,-1.9020585785052893,5.347940889566199,-4.272882358866856,7.718764669927766
2,climate,MP shock + 1 SD climate shock,1.6529802640178022,4.316475723170677,196,,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,-2.639573046572798,5.945533574608403,-5.446990484887461,8.752951012923067
2,interaction,Interaction,-0.06996089151265267,0.7559398566197872,196,,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,-0.8217112411606506,0.6817894581353454,-1.313371306430885,1.1734495234055797
3,base,MP shock only,-1.6671788550125632,2.1742521770193735,192,,corporate_unsecured_credit,miyajima_surprise,pop_precip_shock,corporate_unsecured_credit__miyajima_surprise__pop_precip_shock,-3.829381072535447,0.49502336251032064,-5.243505434290013,1.9091477242648862
