h,series,component,irf,se,nobs,tidy,dep,mp_shock,climate_shock,model,lo68,hi68,lo90,hi90
0,base,MP shock only,4.111565767423977e-5,7.404453284116938e-4,184,,corporate_unsecured_credit,target,land_precip_shock,corporate_unsecured_credit__target__land_precip_shock,-6.952260362506038e-4,7.774573515990835e-4,-0.0011768085263230083,0.0012590398416714877
0,climate,MP shock + 1 SD climate shock,-4.301160599925171e-4,7.576397098918953e-4,184,,corporate_unsecured_credit,target,land_precip_shock,corporate_unsecured_credit__target__land_precip_shock,-0.001183556842127263,3.233247221422287e-4,-0.001676322484730662,8.160903647456276e-4
0,interaction,Interaction,-4.712317176667569e-4,1.7058591828368835e-4,184,,corporate_unsecured_credit,target,land_precip_shock,corporate_unsecured_credit__target__land_precip_shock,-6.408722288685455e-4,-3.015912064649682e-4,-7.518205840625291e-4,-1.9064285127098473e-4
1,base,MP shock only,6.466322226020358e-4,0.001529422224518386,184,,corporate_unsecured_credit,target,land_precip_shock,corporate_unsecured_credit__target__land_precip_shock,-8.743137653264702e-4,0.0021675782105305417,-0.0018690434705372191,0.0031623079157412906
1,climate,MP shock + 1 SD climate shock,2.7335806570999156e-4,0.0016834831833278776,184,,corporate_unsecured_credit,target,land_precip_shock,corporate_unsecured_credit__target__land_precip_shock,-0.0014007950572014667,0.0019475111886214497,-0.0024957253542986766,0.00304244148571866
1,interaction,Interaction,-3.7327415689204427e-4,3.728833738580627e-4,184,,corporate_unsecured_credit,target,land_precip_shock,corporate_unsecured_credit__target__land_precip_shock,-7.440909675430444e-4,-2.457346241044225e-6,-9.866127268123802e-4,2.4006441302829165e-4
2,base,MP shock only,0.001582747056658728,0.0021850780677105243,184,,corporate_unsecured_credit,target,land_precip_shock,corporate_unsecured_credit__target__land_precip_shock,-5.902210532047379e-4,0.0037557151665221942,-0.0020113865281870405,0.005176880641504497
2,climate,MP shock + 1 SD climate shock,0.0011275697669714349,0.002373143831509722,184,,corporate_unsecured_credit,target,land_precip_shock,corporate_unsecured_credit__target__land_precip_shock,-0.0012324218242640065,0.003487561358206876,-0.002775904471564843,0.0050310440055077125
2,interaction,Interaction,-4.551772896872933e-4,3.8053278300072756e-4,184,,corporate_unsecured_credit,target,land_precip_shock,corporate_unsecured_credit__target__land_precip_shock,-8.336011155621132e-4,-7.675346381247339e-5,-0.0010810980179799773,1.7074343860539078e-4
3,base,MP shock only,0.003348161624881677,0.0016915901239668743,184,,corporate_unsecured_credit,target,land_precip_shock,corporate_unsecured_credit__target__land_precip_shock,0.001665946490943055,0.005030376758820299,5.657434741594743e-4,0.0061305797756038794
3,climate,MP shock + 1 SD climate shock,0.0023739440780070477,0.0020515751812888146,184,,corporate_unsecured_credit,target,land_precip_shock,corporate_unsecured_credit__target__land_precip_shock,3.337389659769075e-4,0.004414149190037188,-0.0010005967998994816,0.005748484955913577
3,interaction,Interaction,-9.742175468746292e-4,4.5798729597638525e-4,184,,corporate_unsecured_credit,target,land_precip_shock,corporate_unsecured_credit__target__land_precip_shock,-0.001429666623768264,-5.187684699809944e-4,-0.0017275396117590837,-2.208954819901749e-4
4,base,MP shock only,0.0017625336059124733,0.0015185935142968494,184,,corporate_unsecured_credit,target,land_precip_shock,corporate_unsecured_credit__target__land_precip_shock,2.5235631422876824e-4,0.0032727108975961787,-7.353304439436808e-4,0.004260397655768628
4,climate,MP shock + 1 SD climate shock,4.969961837902833e-4,0.0019291542363303875,184,,corporate_unsecured_credit,target,land_precip_shock,corporate_unsecured_credit__target__land_precip_shock,-0.001421466454455962,0.002415458822036529,-0.002676180158786551,0.0036701725263671176
4,interaction,Interaction,-0.00126553742212219,4.868384204316589e-4,184,,corporate_unsecured_credit,target,land_precip_shock,corporate_unsecured_credit__target__land_precip_shock,-0.0017496777271698374,-7.813971170745426e-4,-0.0020663153637085294,-4.647594805358505e-4
5,base,MP shock only,0.13993905719383598,0.10577590532773605,184,,corporate_unsecured_credit,target,land_precip_shock,corporate_unsecured_credit__target__land_precip_shock,0.034749374287020324,0.24512874010065164,-0.03404682432856615,0.3139249387162381
5,climate,MP shock + 1 SD climate shock,0.2698980169530546,0.19139546257329784,184,,corporate_unsecured_credit,target,land_precip_shock,corporate_unsecured_credit__target__land_precip_shock,0.07956329038646126,0.46023274351964794,-0.044919503842689,0.5847155377487983
5,interaction,Interaction,0.12995895975921862,0.08995714588100778,184,,corporate_unsecured_credit,target,land_precip_shock,corporate_unsecured_credit__target__land_precip_shock,0.04050036688680064,0.2194175526316366,-0.018007377913359657,0.2779252974317969
6,base,MP shock only,0.07857337786674944,0.07134685127905668,180,,corporate_unsecured_credit,target,land_precip_shock,corporate_unsecured_credit__target__land_precip_shock,0.007621939170097652,0.14952481656340122,-0.03878174923117418,0.19592850496467307
6,climate,MP shock + 1 SD climate shock,0.01545391239133484,0.03570529136486104,180,,corporate_unsecured_credit,target,land_precip_shock,corporate_unsecured_credit__target__land_precip_shock,-0.02005349607875235,0.05096132086142203,-0.043276065611515896,0.07418389039418558
6,interaction,Interaction,-0.0631194654754146,0.07635300279214574,180,,corporate_unsecured_credit,target,land_precip_shock,corporate_unsecured_credit__target__land_precip_shock,-0.13904931100880025,0.01281038005797104,-0.18870897904671136,0.06247004809588215
7,base,MP shock only,0.09459377935374211,0.06655207481833482,176,,corporate_unsecured_credit,target,land_precip_shock,corporate_unsecured_credit__target__land_precip_shock,0.02841054390668374,0.16077701480080048,-0.014874642292341617,0.20406220099982583
7,climate,MP shock + 1 SD climate shock,0.1330789304258611,0.09189590479241874,176,,corporate_unsecured_credit,target,land_precip_shock,corporate_unsecured_credit__target__land_precip_shock,0.04169232347034735,0.22446553738137487,-0.01807638187393598,0.2842342427256582
7,interaction,Interaction,0.03848515107211901,0.03003057851976747,176,,corporate_unsecured_credit,target,land_precip_shock,corporate_unsecured_credit__target__land_precip_shock,0.008621005525786762,0.06834929661845125,-0.010910754925571468,0.08788105706980948
8,base,MP shock only,0.03731652238023227,0.04638400765555064,172,,corporate_unsecured_credit,target,land_precip_shock,corporate_unsecured_credit__target__land_precip_shock,-0.008810419687691612,0.08344346444815615,-0.038978380844545024,0.11361142560500956
8,climate,MP shock + 1 SD climate shock,0.0751608822528243,0.05419573247229178,172,,corporate_unsecured_credit,target,land_precip_shock,corporate_unsecured_credit__target__land_precip_shock,0.021265508859426935,0.12905625564622167,-0.013983164869516465,0.16430492937516505
8,interaction,Interaction,0.037844359872592034,0.025690219981488235,172,,corporate_unsecured_credit,target,land_precip_shock,corporate_unsecured_credit__target__land_precip_shock,0.01229651809060834,0.06339220165457574,-0.0044122916411400565,0.08010101138632413
9,base,MP shock only,-0.025260874912879514,0.06178216601750717,168,,corporate_unsecured_credit,target,land_precip_shock,corporate_unsecured_credit__target__land_precip_shock,-0.08670063695076324,0.03617888712500422,-0.12688349476769414,0.07636174494193511
9,climate,MP shock + 1 SD climate shock,0.002125168309757522,0.06397605911963897,168,,corporate_unsecured_credit,target,land_precip_shock,corporate_unsecured_credit__target__land_precip_shock,-0.06149632801846068,0.06574666463797572,-0.1031060845712424,0.10735642119075745
9,interaction,Interaction,0.027386043222637036,0.019538951992241985,168,,corporate_unsecured_credit,target,land_precip_shock,corporate_unsecured_credit__target__land_precip_shock,0.007955378384295081,0.04681670806097899,-0.004752672828632874,0.05952475927390695
10,base,MP shock only,0.0035072986016964893,0.04947209062882361,164,,corporate_unsecured_credit,target,land_precip_shock,corporate_unsecured_credit__target__land_precip_shock,-0.045690611923004505,0.052705209126397486,-0.07786704910199593,0.08488164630538891
10,climate,MP shock + 1 SD climate shock,0.03032811903081435,0.06306520533294034,164,,corporate_unsecured_credit,target,land_precip_shock,corporate_unsecured_credit__target__land_precip_shock,-0.03238757156876994,0.09304380963039864,-0.07340491269551186,0.13406115075714056
10,interaction,Interaction,0.02682082042911786,0.020258709961283882,164,,corporate_unsecured_credit,target,land_precip_shock,corporate_unsecured_credit__target__land_precip_shock,0.00667438660445915,0.04696725425377657,-0.0065017921280578345,0.06014343298629356
11,base,MP shock only,0.0735841513171615,0.06670587222859274,160,,corporate_unsecured_credit,target,land_precip_shock,corporate_unsecured_credit__target__land_precip_shock,0.007247970823054908,0.13992033181126812,-0.03613724455700071,0.18330554719132372
11,climate,MP shock + 1 SD climate shock,0.06762545063656587,0.035092210147016724,160,,corporate_unsecured_credit,target,land_precip_shock,corporate_unsecured_credit__target__land_precip_shock,0.032727725616611796,0.10252317565651994,0.009903901498502184,0.12534699977462957
11,interaction,Interaction,-0.005958700680595632,0.04438521930252393,160,,corporate_unsecured_credit,target,land_precip_shock,corporate_unsecured_credit__target__land_precip_shock,-0.05009793191398426,0.038180530552792996,-0.07896588963338859,0.06704848827219732
12,base,MP shock only,0.11924455810834875,0.05811254935958594,156,,corporate_unsecured_credit,target,land_precip_shock,corporate_unsecured_credit__target__land_precip_shock,0.061454075284292614,0.17703504093240488,0.02365792052283741,0.21483119569386008
12,climate,MP shock + 1 SD climate shock,0.20382028189187856,0.10480256104124759,156,,corporate_unsecured_credit,target,land_precip_shock,corporate_unsecured_credit__target__land_precip_shock,0.09959854888383853,0.3080420148999186,0.03143540924937949,0.37620515453437764
12,interaction,Interaction,0.0845757237835298,0.04754388889807001,156,,corporate_unsecured_credit,target,land_precip_shock,corporate_unsecured_credit__target__land_precip_shock,0.037295328670395415,0.13185611889666418,0.006372985690161551,0.16277846187689804
