model,dep,mp_shock,climate_shock,component,h,irf,se,lo68,hi68,lo90,hi90,nobs
corporate_unsecured_credit__target__pop_precip_shock,corporate_unsecured_credit,target,pop_precip_shock,MP shock (purged),0,2.2078140543814494e-4,6.448026639580636e-4,-4.2044768684960086e-4,8.620104977258907e-4,-8.398245950412469e-4,0.0012813874059175367,184
corporate_unsecured_credit__target__pop_precip_shock,corporate_unsecured_credit,target,pop_precip_shock,Interaction (climate x MP),0,-4.187100878728979e-4,1.886953406775802e-4,-6.063596569346676e-4,-2.3106051881112825e-4,-7.290863033752593e-4,-1.0833387237053655e-4,184
corporate_unsecured_credit__target__pop_precip_shock,corporate_unsecured_credit,target,pop_precip_shock,MP shock (purged),1,6.936164737001039e-4,0.0014634063568454824,-7.616795142041514e-4,0.002148912461604359,-0.0017134727800610274,0.003100705727461235,184
corporate_unsecured_credit__target__pop_precip_shock,corporate_unsecured_credit,target,pop_precip_shock,Interaction (climate x MP),1,-3.3521843472083146e-4,4.374167028944811e-4,-7.702109231618667e-4,9.977405372020375e-5,-0.001054704884965973,3.8426801552431003e-4,184
corporate_unsecured_credit__target__pop_precip_shock,corporate_unsecured_credit,target,pop_precip_shock,MP shock (purged),2,0.0017986445333759151,0.0022624250756550423,-4.512419182806642e-4,0.004048530985032495,-0.0019227135580212387,0.005520002624773069,184
corporate_unsecured_credit__target__pop_precip_shock,corporate_unsecured_credit,target,pop_precip_shock,Interaction (climate x MP),2,-6.438930047314603e-4,4.374429803116599e-4,-0.0010789116249571595,-2.0887438450576128e-4,-0.0013634226774815552,7.563666801863457e-5,184
corporate_unsecured_credit__target__pop_precip_shock,corporate_unsecured_credit,target,pop_precip_shock,MP shock (purged),3,0.0038596851071052937,0.0017601824196330767,0.0021092578240139628,0.005610112390196625,9.644426700756103e-4,0.0067549275441349775,184
corporate_unsecured_credit__target__pop_precip_shock,corporate_unsecured_credit,target,pop_precip_shock,Interaction (climate x MP),3,-0.0012770713344565255,4.305261015749648e-4,-0.0017052114100953122,-8.489312588177388e-4,-0.001985223754129384,-5.689189147836671e-4,184
corporate_unsecured_credit__target__pop_precip_shock,corporate_unsecured_credit,target,pop_precip_shock,MP shock (purged),4,0.0024917607547352647,0.0018271027222844603,6.747840491254826e-4,0.004308737460345047,-5.135557848272368e-4,0.005497077294297766,184
corporate_unsecured_credit__target__pop_precip_shock,corporate_unsecured_credit,target,pop_precip_shock,Interaction (climate x MP),4,-0.001695390482265508,6.016930170326957e-4,-0.002293748846325933,-0.0010970321182050835,-0.002685087423643111,-7.056935408879051e-4,184
corporate_unsecured_credit__target__pop_precip_shock,corporate_unsecured_credit,target,pop_precip_shock,MP shock (purged),5,0.13195246258226676,0.0861999627492034,0.04623023009393436,0.21767469507059917,-0.009833858788842187,0.2737387839533757,184
corporate_unsecured_credit__target__pop_precip_shock,corporate_unsecured_credit,target,pop_precip_shock,Interaction (climate x MP),5,0.22130598637034424,0.09877461336392421,0.12307879344959437,0.3195331792910941,0.058836205327964214,0.38377576741272423,184
corporate_unsecured_credit__target__pop_precip_shock,corporate_unsecured_credit,target,pop_precip_shock,MP shock (purged),6,0.06066330044125428,0.07044648950102951,-0.009392766387497635,0.1307193672700062,-0.05521086332051287,0.17653746420302144,180
corporate_unsecured_credit__target__pop_precip_shock,corporate_unsecured_credit,target,pop_precip_shock,Interaction (climate x MP),6,-0.13211825802247315,0.130136767770985,-0.26153379262776616,-0.0027027234171801418,-0.3461741924903192,0.08193767644537292,180
corporate_unsecured_credit__target__pop_precip_shock,corporate_unsecured_credit,target,pop_precip_shock,MP shock (purged),7,0.077453483884153,0.05426439187506175,0.023489831606414567,0.13141713616189143,-0.011803497905858273,0.16671046567416428,176
corporate_unsecured_credit__target__pop_precip_shock,corporate_unsecured_credit,target,pop_precip_shock,Interaction (climate x MP),7,0.05924222219696331,0.04847882815609965,0.011032069368359071,0.10745237502556755,-0.02049835412595432,0.13898279851988093,176
corporate_unsecured_credit__target__pop_precip_shock,corporate_unsecured_credit,target,pop_precip_shock,MP shock (purged),8,0.04708560224656363,0.05140957480819949,-0.0040390546939118935,0.09821025918703916,-0.03747562333673631,0.13164682782986356,172
corporate_unsecured_credit__target__pop_precip_shock,corporate_unsecured_credit,target,pop_precip_shock,Interaction (climate x MP),8,0.05390086558667494,0.04823120704942962,0.005936961519647829,0.10186476965370204,-0.02543241026082675,0.1332341414341766,172
corporate_unsecured_credit__target__pop_precip_shock,corporate_unsecured_credit,target,pop_precip_shock,MP shock (purged),9,-0.02696955509533576,0.053897153085947634,-0.08056800386421926,0.026628893673547746,-0.11562248283111543,0.061683372640443906,168
corporate_unsecured_credit__target__pop_precip_shock,corporate_unsecured_credit,target,pop_precip_shock,Interaction (climate x MP),9,-0.0017651846539012094,0.04226767437914581,-0.04379860664518567,0.04026823733738326,-0.07128932215924298,0.06775895285144055,168
