model,dep,mp_shock,climate_shock,component,h,irf,se,lo68,hi68,lo90,hi90,nobs
corporate_unsecured_credit_rate__central_bank_information__land_precip_shock,corporate_unsecured_credit_rate,central_bank_information,land_precip_shock,MP shock (purged),0,0.0022305893817057163,0.0036670135965845905,-0.0014161011972551795,0.005877279960666612,-0.003801111232716808,0.008262289996128241,184
corporate_unsecured_credit_rate__central_bank_information__land_precip_shock,corporate_unsecured_credit_rate,central_bank_information,land_precip_shock,Interaction (climate x MP),0,0.00864063404088163,0.0025743028552017463,0.0060805982727568765,0.011200669809006383,0.004406282652631508,0.01287498542913175,184
corporate_unsecured_credit_rate__central_bank_information__land_precip_shock,corporate_unsecured_credit_rate,central_bank_information,land_precip_shock,MP shock (purged),1,-0.005154292366478084,0.007623319354172269,-0.012735362394460182,0.0024267776615040128,-0.01769353685559769,0.007384952122641521,184
corporate_unsecured_credit_rate__central_bank_information__land_precip_shock,corporate_unsecured_credit_rate,central_bank_information,land_precip_shock,Interaction (climate x MP),1,0.0026244663503910215,0.003969975681819756,-0.00132350726254565,0.006572439963327693,-0.003905562548759345,0.009154495249541388,184
corporate_unsecured_credit_rate__central_bank_information__land_precip_shock,corporate_unsecured_credit_rate,central_bank_information,land_precip_shock,MP shock (purged),2,-0.0010286030569385976,0.008052560826341792,-0.009036535650720238,0.006979329536843043,-0.014273886938394233,0.012216680824517039,184
corporate_unsecured_credit_rate__central_bank_information__land_precip_shock,corporate_unsecured_credit_rate,central_bank_information,land_precip_shock,Interaction (climate x MP),2,0.006210403112321933,0.0043567861413777685,0.0018777627885698082,0.010543043436074057,-9.55872374175196e-4,0.013376678598819062,184
corporate_unsecured_credit_rate__central_bank_information__land_precip_shock,corporate_unsecured_credit_rate,central_bank_information,land_precip_shock,MP shock (purged),3,-0.012743471766006266,0.013390798575333498,-0.026060056971720598,5.731134397080635e-4,-0.03476937537042017,0.009282431838407637,184
corporate_unsecured_credit_rate__central_bank_information__land_precip_shock,corporate_unsecured_credit_rate,central_bank_information,land_precip_shock,Interaction (climate x MP),3,0.0015820505291577198,0.006078722984845727,-0.004462983462970434,0.007627084521285874,-0.008416559019699048,0.011580660078014487,184
corporate_unsecured_credit_rate__central_bank_information__land_precip_shock,corporate_unsecured_credit_rate,central_bank_information,land_precip_shock,MP shock (purged),4,-0.027923949492657238,0.016072639758306036,-0.04390751280429518,-0.011940386181019298,-0.05436108929379134,-0.0014868096915231326,184
corporate_unsecured_credit_rate__central_bank_information__land_precip_shock,corporate_unsecured_credit_rate,central_bank_information,land_precip_shock,Interaction (climate x MP),4,6.382205197682362e-4,0.0059464527349281406,-0.00527527627961525,0.006551717319151723,-0.009142823828773813,0.010419264868310284,184
corporate_unsecured_credit_rate__central_bank_information__land_precip_shock,corporate_unsecured_credit_rate,central_bank_information,land_precip_shock,MP shock (purged),5,-0.03927385529811763,0.020375917852058674,-0.05953684743373172,-0.01901086316250354,-0.07278925767954159,-0.0057584529166936835,184
corporate_unsecured_credit_rate__central_bank_information__land_precip_shock,corporate_unsecured_credit_rate,central_bank_information,land_precip_shock,Interaction (climate x MP),5,-0.003970820201047503,0.008461617103358477,-0.01238554203418482,0.004443901632089813,-0.0178889417833813,0.009947301381286293,184
corporate_unsecured_credit_rate__central_bank_information__land_precip_shock,corporate_unsecured_credit_rate,central_bank_information,land_precip_shock,MP shock (purged),6,-0.04666140969537061,0.012373879690328625,-0.05896671189930697,-0.03435610749143425,-0.06701463058346879,-0.02630818880727242,180
corporate_unsecured_credit_rate__central_bank_information__land_precip_shock,corporate_unsecured_credit_rate,central_bank_information,land_precip_shock,Interaction (climate x MP),6,-0.021405308338296247,0.012627531586722206,-0.03396285667019231,-0.008847760006400184,-0.04217574946816054,-6.348672084319565e-4,180
corporate_unsecured_credit_rate__central_bank_information__land_precip_shock,corporate_unsecured_credit_rate,central_bank_information,land_precip_shock,MP shock (purged),7,-0.05413620134437736,0.012011635381656277,-0.06608126683990664,-0.04219113584884808,-0.07389358336751331,-0.03437881932124141,176
corporate_unsecured_credit_rate__central_bank_information__land_precip_shock,corporate_unsecured_credit_rate,central_bank_information,land_precip_shock,Interaction (climate x MP),7,-0.014985383760596332,0.013343521664023377,-0.028254954069164506,-0.0017158134520281598,-0.03693352376597072,0.006962756244778054,176
corporate_unsecured_credit_rate__central_bank_information__land_precip_shock,corporate_unsecured_credit_rate,central_bank_information,land_precip_shock,MP shock (purged),8,-0.058480980919157315,0.011295271938652665,-0.06971365314154837,-0.04724830869676626,-0.07706004993485333,-0.039901911903461304,172
corporate_unsecured_credit_rate__central_bank_information__land_precip_shock,corporate_unsecured_credit_rate,central_bank_information,land_precip_shock,Interaction (climate x MP),8,-0.008637377373992255,0.011710264187307163,-0.020282741909528716,0.003007987161544207,-0.027899047895044368,0.010624293147059857,172
corporate_unsecured_credit_rate__central_bank_information__land_precip_shock,corporate_unsecured_credit_rate,central_bank_information,land_precip_shock,MP shock (purged),9,-0.054254366025189855,0.011653728228514605,-0.06584350793082024,-0.042665224119559475,-0.07342304316936885,-0.03508568888101086,168
corporate_unsecured_credit_rate__central_bank_information__land_precip_shock,corporate_unsecured_credit_rate,central_bank_information,land_precip_shock,Interaction (climate x MP),9,-0.00847930169310381,0.011769935959599385,-0.02018400729300137,0.0032254039067937494,-0.027839123545237404,0.010880520159029785,168
corporate_unsecured_credit_rate__central_bank_information__land_precip_shock,corporate_unsecured_credit_rate,central_bank_information,land_precip_shock,MP shock (purged),10,-0.06535080888148599,0.014040947723788324,-0.07931394003314333,-0.05138767772982865,-0.08844611267079522,-0.04225550509217676,164
corporate_unsecured_credit_rate__central_bank_information__land_precip_shock,corporate_unsecured_credit_rate,central_bank_information,land_precip_shock,Interaction (climate x MP),10,0.014909472953707578,0.00793708840970038,0.007016372814948272,0.022802573092466884,0.0018541242955774223,0.027964821611837734,164
corporate_unsecured_credit_rate__central_bank_information__land_precip_shock,corporate_unsecured_credit_rate,central_bank_information,land_precip_shock,MP shock (purged),11,-0.06321405100731406,0.01766602149184839,-0.08078216534483562,-0.045645936669792504,-0.09227207053198352,-0.034156031482644594,160
corporate_unsecured_credit_rate__central_bank_information__land_precip_shock,corporate_unsecured_credit_rate,central_bank_information,land_precip_shock,Interaction (climate x MP),11,0.024140015889883314,0.010546995462053068,0.013651473108467146,0.03462855867129948,0.006791752150684616,0.04148827962908201,160
corporate_unsecured_credit_rate__central_bank_information__land_precip_shock,corporate_unsecured_credit_rate,central_bank_information,land_precip_shock,MP shock (purged),12,-0.048886958802785214,0.02083624715746942,-0.0696077290450375,-0.028166188560532934,-0.08315953551180608,-0.014614382093764346,156
corporate_unsecured_credit_rate__central_bank_information__land_precip_shock,corporate_unsecured_credit_rate,central_bank_information,land_precip_shock,Interaction (climate x MP),12,0.016940350178797248,0.013263942775694326,0.003749917723064969,0.030130782634529528,-0.004876894203480333,0.03875759456107483,156
