h,series,component,irf,se,nobs,tidy,dep,mp_shock,climate_shock,model,lo68,hi68,lo90,hi90
0,base,MP shock alone,0.34174870247585437,0.36082617357063135,184,,corporate_unsecured_credit_rate,forward_guidance,pop_precip_shock,corporate_unsecured_credit_rate__forward_guidance__pop_precip_shock,-0.017077730299870697,0.7005751352515794,-0.25175753782081983,0.9352549427725285
0,climate,MP shock with climate shock,0.9734007287128352,0.4404553486961364,184,,corporate_unsecured_credit_rate,forward_guidance,pop_precip_shock,corporate_unsecured_credit_rate__forward_guidance__pop_precip_shock,0.5353864350000617,1.4114150224256088,0.24891615089982022,1.6978853065258503
0,interaction,Interaction (climate amplification),0.6316520262369809,0.38105786861672974,184,,corporate_unsecured_credit_rate,forward_guidance,pop_precip_shock,corporate_unsecured_credit_rate__forward_guidance__pop_precip_shock,0.2527060248319676,1.0105980276419944,0.004867608964355674,1.258436443509606
1,base,MP shock alone,-1.2246015387350522,0.8381642211760387,184,,corporate_unsecured_credit_rate,forward_guidance,pop_precip_shock,corporate_unsecured_credit_rate__forward_guidance__pop_precip_shock,-2.058120555907927,-0.39108252156217727,-2.6032589979174148,0.15405592044731042
1,climate,MP shock with climate shock,-1.3399675778967857,0.803556958952638,184,,corporate_unsecured_credit_rate,forward_guidance,pop_precip_shock,corporate_unsecured_credit_rate__forward_guidance__pop_precip_shock,-2.1390711303352927,-0.5408640254582787,-2.661701156292127,-0.01823399950144422
1,interaction,Interaction (climate amplification),-0.1153660391617335,0.3159882639662951,184,,corporate_unsecured_credit_rate,forward_guidance,pop_precip_shock,corporate_unsecured_credit_rate__forward_guidance__pop_precip_shock,-0.42960305926478004,0.19887098094131306,-0.6351204812207929,0.4043884028973259
2,base,MP shock alone,-2.009151669497886,1.0783960228923204,184,,corporate_unsecured_credit_rate,forward_guidance,pop_precip_shock,corporate_unsecured_credit_rate__forward_guidance__pop_precip_shock,-3.0815710956851996,-0.9367322433105727,-3.7829552790423615,-0.2353480599534108
2,climate,MP shock with climate shock,-2.4542967566088563,0.8542537537753893,184,,corporate_unsecured_credit_rate,forward_guidance,pop_precip_shock,corporate_unsecured_credit_rate__forward_guidance__pop_precip_shock,-3.3038161363123155,-1.604777376905397,-3.8594191418432144,-1.0491743713744979
2,interaction,Interaction (climate amplification),-0.44514508711096995,0.42577868710827915,184,,corporate_unsecured_credit_rate,forward_guidance,pop_precip_shock,corporate_unsecured_credit_rate__forward_guidance__pop_precip_shock,-0.8685640590084971,-0.02172611521344281,-1.1454887048796587,0.25519853065771875
3,base,MP shock alone,-2.680089973537566,0.8483780034280478,184,,corporate_unsecured_credit_rate,forward_guidance,pop_precip_shock,corporate_unsecured_credit_rate__forward_guidance__pop_precip_shock,-3.523766166988339,-1.8364137800867926,-4.075547609502038,-1.2846323375730935
3,climate,MP shock with climate shock,-3.0920372894101935,0.6976694592202143,184,,corporate_unsecured_credit_rate,forward_guidance,pop_precip_shock,corporate_unsecured_credit_rate__forward_guidance__pop_precip_shock,-3.785840183006421,-2.398234395813966,-4.2396014298218345,-1.9444731489985523
3,interaction,Interaction (climate amplification),-0.41194731587262784,0.4404315250867809,184,,corporate_unsecured_credit_rate,forward_guidance,pop_precip_shock,corporate_unsecured_credit_rate__forward_guidance__pop_precip_shock,-0.8499379180092713,0.02604328626401564,-1.1363927073353874,0.3124980755901317
4,base,MP shock alone,-4.278468792319926,0.857876152470395,184,,corporate_unsecured_credit_rate,forward_guidance,pop_precip_shock,corporate_unsecured_credit_rate__forward_guidance__pop_precip_shock,-5.131590494961763,-3.4253470896780898,-5.689549493186029,-2.8673880914538232
4,climate,MP shock with climate shock,-5.10858922292136,0.6680462968681256,184,,corporate_unsecured_credit_rate,forward_guidance,pop_precip_shock,corporate_unsecured_credit_rate__forward_guidance__pop_precip_shock,-5.7729331291909505,-4.444245316651769,-6.2074275972963955,-4.009750848546324
4,interaction,Interaction (climate amplification),-0.830120430601434,0.5002090415827838,184,,corporate_unsecured_credit_rate,forward_guidance,pop_precip_shock,corporate_unsecured_credit_rate__forward_guidance__pop_precip_shock,-1.3275572552562287,-0.3326836059466394,-1.6528910868827955,-0.007349774320072666
5,base,MP shock alone,-4.745207370449855,1.0195282532856609,184,,corporate_unsecured_credit_rate,forward_guidance,pop_precip_shock,corporate_unsecured_credit_rate__forward_guidance__pop_precip_shock,-5.759085279084851,-3.73132946181486,-6.422182115646273,-3.0682326252534375
5,climate,MP shock with climate shock,-5.357300417188492,0.9921550096700736,184,,corporate_unsecured_credit_rate,forward_guidance,pop_precip_shock,corporate_unsecured_credit_rate__forward_guidance__pop_precip_shock,-6.343956787920946,-4.3706440464560385,-6.989250183342385,-3.7253506510345993
5,interaction,Interaction (climate amplification),-0.6120930467386363,0.5105310850321425,184,,corporate_unsecured_credit_rate,forward_guidance,pop_precip_shock,corporate_unsecured_credit_rate__forward_guidance__pop_precip_shock,-1.1197947088724791,-0.10439138460479336,-1.451841953625226,0.22765586014795347
6,base,MP shock alone,-5.436229911328005,1.2059070779724448,180,,corporate_unsecured_credit_rate,forward_guidance,pop_precip_shock,corporate_unsecured_credit_rate__forward_guidance__pop_precip_shock,-6.635453711436141,-4.237006111219869,-7.419770542297432,-3.4526892803585785
6,climate,MP shock with climate shock,-5.1935011994986935,1.3242642024530775,180,,corporate_unsecured_credit_rate,forward_guidance,pop_precip_shock,corporate_unsecured_credit_rate__forward_guidance__pop_precip_shock,-6.510426175080633,-3.8765762239167536,-7.371721975945636,-3.015280423051751
6,interaction,Interaction (climate amplification),0.24272871182931158,0.42180872955842535,180,,corporate_unsecured_credit_rate,forward_guidance,pop_precip_shock,corporate_unsecured_credit_rate__forward_guidance__pop_precip_shock,-0.1767423044867554,0.6621997281453785,-0.45108490686465674,0.9365423305232798
7,base,MP shock alone,-4.8129368838512745,1.7136013255059774,176,,corporate_unsecured_credit_rate,forward_guidance,pop_precip_shock,corporate_unsecured_credit_rate__forward_guidance__pop_precip_shock,-6.517041230679376,-3.108832537023173,-7.631560239258631,-1.9943135284439184
7,climate,MP shock with climate shock,-3.9611347111594464,2.1507132678178817,176,,corporate_unsecured_credit_rate,forward_guidance,pop_precip_shock,corporate_unsecured_credit_rate__forward_guidance__pop_precip_shock,-6.099928474864749,-1.8223409474541445,-7.498743230262341,-0.42352619205655184
7,interaction,Interaction (climate amplification),0.8518021726918283,0.7962722147809235,176,,corporate_unsecured_credit_rate,forward_guidance,pop_precip_shock,corporate_unsecured_credit_rate__forward_guidance__pop_precip_shock,0.05994299152204918,1.6436613538616074,-0.4579490678312548,2.1615534132149117
8,base,MP shock alone,-3.8221120375812374,1.942317949623584,172,,corporate_unsecured_credit_rate,forward_guidance,pop_precip_shock,corporate_unsecured_credit_rate__forward_guidance__pop_precip_shock,-5.7536654342842155,-1.8905586408782598,-7.016940761712535,-0.6272833134499396
8,climate,MP shock with climate shock,-2.202092344123276,2.5279857749733083,172,,corporate_unsecured_credit_rate,forward_guidance,pop_precip_shock,corporate_unsecured_credit_rate__forward_guidance__pop_precip_shock,-4.7160677266876,0.3118830384410476,-6.360258914969849,1.9560742267232971
