model,dep,mp_shock,climate_shock,component,h,irf,se,lo68,hi68,lo90,hi90,nobs
corporate_unsecured_credit_rate__forward_guidance__pop_temp_shock,corporate_unsecured_credit_rate,forward_guidance,pop_temp_shock,MP shock (purged),0,0.006170272358712127,0.005813195450303199,3.892943165190385e-4,0.011951250400905215,-0.0033915832618968828,0.015732127979321137,184
corporate_unsecured_credit_rate__forward_guidance__pop_temp_shock,corporate_unsecured_credit_rate,forward_guidance,pop_temp_shock,Interaction (climate x MP),0,-0.03928539064283695,0.035985843821580744,-0.07507179671516291,-0.0034989845705109823,-0.09847683637167323,0.019906055085999345,184
corporate_unsecured_credit_rate__forward_guidance__pop_temp_shock,corporate_unsecured_credit_rate,forward_guidance,pop_temp_shock,MP shock (purged),1,-0.027255943398447245,0.011424919012047119,-0.03861754417501049,-0.015894342621884,-0.04604826287303977,-0.008463623923854718,184
corporate_unsecured_credit_rate__forward_guidance__pop_temp_shock,corporate_unsecured_credit_rate,forward_guidance,pop_temp_shock,Interaction (climate x MP),1,0.0978158484937783,0.04978794865878752,0.048303830461204594,0.14732786652635202,0.015921960563897997,0.17970973642365862,184
corporate_unsecured_credit_rate__forward_guidance__pop_temp_shock,corporate_unsecured_credit_rate,forward_guidance,pop_temp_shock,MP shock (purged),2,-0.03239947253936096,0.01126974512975191,-0.04360675942540747,-0.021192185653314446,-0.050936553690852066,-0.013862391387869846,184
corporate_unsecured_credit_rate__forward_guidance__pop_temp_shock,corporate_unsecured_credit_rate,forward_guidance,pop_temp_shock,Interaction (climate x MP),2,0.10923871638670768,0.051800350843437655,0.057725449137420115,0.16075198363599524,0.02403472142452054,0.19444271134889482,184
corporate_unsecured_credit_rate__forward_guidance__pop_temp_shock,corporate_unsecured_credit_rate,forward_guidance,pop_temp_shock,MP shock (purged),3,-0.04222832490615878,0.010430406834763447,-0.052600925208074176,-0.03185572460424338,-0.05938481741889885,-0.025071832393418703,184
corporate_unsecured_credit_rate__forward_guidance__pop_temp_shock,corporate_unsecured_credit_rate,forward_guidance,pop_temp_shock,Interaction (climate x MP),3,0.13062571387119407,0.05293842167336975,0.07798068311342946,0.18327074462895868,0.04354975897666545,0.21770166876572267,184
corporate_unsecured_credit_rate__forward_guidance__pop_temp_shock,corporate_unsecured_credit_rate,forward_guidance,pop_temp_shock,MP shock (purged),4,-0.05848927902839154,0.011819991165513436,-0.07024376242240601,-0.04673479563437706,-0.07793143436752066,-0.039047123689262414,184
corporate_unsecured_credit_rate__forward_guidance__pop_temp_shock,corporate_unsecured_credit_rate,forward_guidance,pop_temp_shock,Interaction (climate x MP),4,0.17878863192640213,0.05243705427748052,0.1266421899278639,0.23093507392494034,0.09253735301143712,0.26503991084136713,184
