h,series,component,irf,se,nobs,tidy,dep,mp_shock,climate_shock,model,lo68,hi68,lo90,hi90
0,base,MP shock only,-0.4299047596887107,0.13210981155595525,196,,corporate_unsecured_credit_rate,miyajima_surprise,land_precip_shock,corporate_unsecured_credit_rate__miyajima_surprise__land_precip_shock,-0.5612824032398853,-0.2985271161375361,-0.6472060623823992,-0.2126034569950223
0,climate,MP shock + 1 SD climate shock,-0.4310768014916559,0.12215890564467984,196,,corporate_unsecured_credit_rate,miyajima_surprise,land_precip_shock,corporate_unsecured_credit_rate__miyajima_surprise__land_precip_shock,-0.5525586882142842,-0.3095949147690276,-0.6320103205057301,-0.23014328247758167
0,interaction,Interaction,-0.0011720418029451856,0.06310916812807794,196,,corporate_unsecured_credit_rate,miyajima_surprise,land_precip_shock,corporate_unsecured_credit_rate__miyajima_surprise__land_precip_shock,-0.063931451550722,0.06158736794483163,-0.1049773858923044,0.10263330228641404
1,base,MP shock only,-0.7508851902606386,0.3298890533257396,196,,corporate_unsecured_credit_rate,miyajima_surprise,land_precip_shock,corporate_unsecured_credit_rate__miyajima_surprise__land_precip_shock,-1.078945959925023,-0.4228244205962542,-1.2935043961150687,-0.20826598440620847
1,climate,MP shock + 1 SD climate shock,-0.7307785209224013,0.32830645809040787,196,,corporate_unsecured_credit_rate,miyajima_surprise,land_precip_shock,corporate_unsecured_credit_rate__miyajima_surprise__land_precip_shock,-1.05726546627908,-0.40429157556572265,-1.2707945892639998,-0.1907624525808026
1,interaction,Interaction,0.020106669338237366,0.08867796810638386,196,,corporate_unsecured_credit_rate,miyajima_surprise,land_precip_shock,corporate_unsecured_credit_rate__miyajima_surprise__land_precip_shock,-0.06807983511217913,0.10829317378865386,-0.12575560813223502,0.16596894680870977
2,base,MP shock only,-0.9493307553129858,0.3470927890779758,196,,corporate_unsecured_credit_rate,miyajima_surprise,land_precip_shock,corporate_unsecured_credit_rate__miyajima_surprise__land_precip_shock,-1.294499915616839,-0.6041615950091326,-1.5202475883165965,-0.3784139223093752
2,climate,MP shock + 1 SD climate shock,-0.9863719057997584,0.3243930264487572,196,,corporate_unsecured_credit_rate,miyajima_surprise,land_precip_shock,corporate_unsecured_credit_rate__miyajima_surprise__land_precip_shock,-1.308967108209995,-0.6637767033895219,-1.5199509519117613,-0.4527928596877555
2,interaction,Interaction,-0.037041150486772645,0.06549858693021096,196,,corporate_unsecured_credit_rate,miyajima_surprise,land_precip_shock,corporate_unsecured_credit_rate__miyajima_surprise__land_precip_shock,-0.10217673659862025,0.028094435625074965,-0.1447767387591264,0.0706944377855811
3,base,MP shock only,-1.2975633372548454,0.42684232691936513,192,,corporate_unsecured_credit_rate,miyajima_surprise,land_precip_shock,corporate_unsecured_credit_rate__miyajima_surprise__land_precip_shock,-1.7220400541474028,-0.873086620362288,-1.999656486824569,-0.5954701876851219
