model,dep,mp_shock,climate_shock,component,h,irf,se,lo68,hi68,lo90,hi90,nobs
corporate_unsecured_credit_rate__romer_surprise__land_precip_shock,corporate_unsecured_credit_rate,romer_surprise,land_precip_shock,MP shock (purged),0,0.5172185598942647,0.1986126304168912,0.319706663871162,0.7147304559173674,0.19052985439466902,0.8439072653938604,196
corporate_unsecured_credit_rate__romer_surprise__land_precip_shock,corporate_unsecured_credit_rate,romer_surprise,land_precip_shock,Interaction (climate x MP),0,-0.04731158324964913,0.08878775407260373,-0.13560726521963878,0.04098409872034051,-0.19335444256484666,0.0987312760655484,196
corporate_unsecured_credit_rate__romer_surprise__land_precip_shock,corporate_unsecured_credit_rate,romer_surprise,land_precip_shock,MP shock (purged),1,0.724102166711577,0.19456835628465108,0.5306121309811418,0.9175922024420122,0.40406570018678256,1.0441386332363716,196
corporate_unsecured_credit_rate__romer_surprise__land_precip_shock,corporate_unsecured_credit_rate,romer_surprise,land_precip_shock,Interaction (climate x MP),1,-0.016943735541428105,0.0960236771899397,-0.1124352382977522,0.07854776721489601,-0.1748886292405177,0.14100115815766148,196
corporate_unsecured_credit_rate__romer_surprise__land_precip_shock,corporate_unsecured_credit_rate,romer_surprise,land_precip_shock,MP shock (purged),2,0.9089067534831853,0.23740881752911727,0.6728136833478487,1.1449998236185217,0.5184039989001566,1.2994095080662138,196
corporate_unsecured_credit_rate__romer_surprise__land_precip_shock,corporate_unsecured_credit_rate,romer_surprise,land_precip_shock,Interaction (climate x MP),2,0.017988535229194396,0.1510019511884487,-0.1321765455102128,0.16815361596860157,-0.23038757185987452,0.2663646423182633,196
corporate_unsecured_credit_rate__romer_surprise__land_precip_shock,corporate_unsecured_credit_rate,romer_surprise,land_precip_shock,MP shock (purged),3,0.8369937763927042,0.26341980891072025,0.5750338708278316,1.098953681957577,0.40370674829504244,1.270280804490366,192
corporate_unsecured_credit_rate__romer_surprise__land_precip_shock,corporate_unsecured_credit_rate,romer_surprise,land_precip_shock,Interaction (climate x MP),3,0.04276013637863479,0.18618443520666964,-0.14239244294359335,0.22791271570086294,-0.263486007152967,0.3490062799102366,192
corporate_unsecured_credit_rate__romer_surprise__land_precip_shock,corporate_unsecured_credit_rate,romer_surprise,land_precip_shock,MP shock (purged),4,0.7521082753144509,0.27559055421248857,0.47804507613969677,1.026171474489205,0.29880215266447296,1.2054143979644287,188
corporate_unsecured_credit_rate__romer_surprise__land_precip_shock,corporate_unsecured_credit_rate,romer_surprise,land_precip_shock,Interaction (climate x MP),4,-0.09248703479034215,0.23771115126108242,-0.32888076308879166,0.14390669350810734,-0.4834870841089434,0.2985130145282591,188
corporate_unsecured_credit_rate__romer_surprise__land_precip_shock,corporate_unsecured_credit_rate,romer_surprise,land_precip_shock,MP shock (purged),5,0.7337501497273271,0.30500272849564564,0.43043778197434823,1.0370625174803059,0.23206530553116944,1.2354349939234848,184
corporate_unsecured_credit_rate__romer_surprise__land_precip_shock,corporate_unsecured_credit_rate,romer_surprise,land_precip_shock,Interaction (climate x MP),5,-0.2553974663559731,0.32419582897930027,-0.5777965641881593,0.06700163147621302,-0.7886521514951141,0.2778572187831679,184
corporate_unsecured_credit_rate__romer_surprise__land_precip_shock,corporate_unsecured_credit_rate,romer_surprise,land_precip_shock,MP shock (purged),6,0.4803976879303445,0.22680793912052985,0.2548467448973758,0.7059486309633132,0.10733182664655244,0.8534635492141365,180
corporate_unsecured_credit_rate__romer_surprise__land_precip_shock,corporate_unsecured_credit_rate,romer_surprise,land_precip_shock,Interaction (climate x MP),6,-0.37911282538436614,0.35671232012810056,-0.7338482041737968,-0.024377446594935404,-0.9658523789253468,0.20762672815661448,180
corporate_unsecured_credit_rate__romer_surprise__land_precip_shock,corporate_unsecured_credit_rate,romer_surprise,land_precip_shock,MP shock (purged),7,0.20298977957837439,0.17438627741456303,0.02956997127985922,0.37640958787688955,-0.08385012131753511,0.4898296804742839,176
corporate_unsecured_credit_rate__romer_surprise__land_precip_shock,corporate_unsecured_credit_rate,romer_surprise,land_precip_shock,Interaction (climate x MP),7,-0.4008714762777237,0.2951833905522567,-0.6944189260049987,-0.10732402655044865,-0.8864049468434358,0.08466199428798843,176
corporate_unsecured_credit_rate__romer_surprise__land_precip_shock,corporate_unsecured_credit_rate,romer_surprise,land_precip_shock,MP shock (purged),8,0.2383750910724582,0.18826088417210773,0.051157570707467404,0.425592611437449,-0.0712865070711241,0.5480366892160404,172
corporate_unsecured_credit_rate__romer_surprise__land_precip_shock,corporate_unsecured_credit_rate,romer_surprise,land_precip_shock,Interaction (climate x MP),8,-0.5625533388946792,0.27243617066778153,-0.8334796364867323,-0.29162704130262607,-1.0106709623303498,-0.1144357154590086,172
corporate_unsecured_credit_rate__romer_surprise__land_precip_shock,corporate_unsecured_credit_rate,romer_surprise,land_precip_shock,MP shock (purged),9,-0.029856347531811305,0.18730388047275606,-0.21612216802372092,0.15640947296009833,-0.337943814669509,0.27823111960588637,168
corporate_unsecured_credit_rate__romer_surprise__land_precip_shock,corporate_unsecured_credit_rate,romer_surprise,land_precip_shock,Interaction (climate x MP),9,-0.408178245996791,0.2290800646408357,-0.6359887221650699,-0.18036776982851208,-0.7849814211835471,-0.03137507081003482,168
corporate_unsecured_credit_rate__romer_surprise__land_precip_shock,corporate_unsecured_credit_rate,romer_surprise,land_precip_shock,MP shock (purged),10,-0.05434188680023305,0.2620074412275945,-0.3148972521886305,0.2062134785881644,-0.4853057767917164,0.3766220031912503,164
corporate_unsecured_credit_rate__romer_surprise__land_precip_shock,corporate_unsecured_credit_rate,romer_surprise,land_precip_shock,Interaction (climate x MP),10,-0.5105258456925313,0.1888958182477689,-0.6983747812543819,-0.3226769101306808,-0.82123181745334,-0.19981987393172268,164
corporate_unsecured_credit_rate__romer_surprise__land_precip_shock,corporate_unsecured_credit_rate,romer_surprise,land_precip_shock,MP shock (purged),11,-0.10198700100003046,0.35397221718534827,-0.4539974628172349,0.250023460817174,-0.6842194862774046,0.4802454842773437,160
corporate_unsecured_credit_rate__romer_surprise__land_precip_shock,corporate_unsecured_credit_rate,romer_surprise,land_precip_shock,Interaction (climate x MP),11,-0.44848617309938527,0.15815546961176605,-0.6057651266275466,-0.291207219571224,-0.7086287709125119,-0.18834357528625867,160
corporate_unsecured_credit_rate__romer_surprise__land_precip_shock,corporate_unsecured_credit_rate,romer_surprise,land_precip_shock,MP shock (purged),12,-0.1479484388799964,0.43866026974459266,-0.5841776021784234,0.28828072441843056,-0.8694803745689005,0.5735834968089076,156
corporate_unsecured_credit_rate__romer_surprise__land_precip_shock,corporate_unsecured_credit_rate,romer_surprise,land_precip_shock,Interaction (climate x MP),12,-0.42185298072093275,0.16424902994175705,-0.5851917233560678,-0.25851423808579765,-0.6920185933438927,-0.15168736809797284,156
