model,dep,mp_shock,climate_shock,component,h,irf,se,lo68,hi68,lo90,hi90,nobs
corporate_unsecured_credit_rate__romer_surprise__pop_precip_shock,corporate_unsecured_credit_rate,romer_surprise,pop_precip_shock,MP shock (purged),0,0.5138124288260841,0.16850308415760312,0.34624320844039924,0.681381649211769,0.2366495196969416,0.7909753379552267,196
corporate_unsecured_credit_rate__romer_surprise__pop_precip_shock,corporate_unsecured_credit_rate,romer_surprise,pop_precip_shock,Interaction (climate x MP),0,-0.08346045167926457,0.11037220206368985,-0.19322095810872075,0.026300054750191607,-0.2650065685583455,0.09808566519981636,196
corporate_unsecured_credit_rate__romer_surprise__pop_precip_shock,corporate_unsecured_credit_rate,romer_surprise,pop_precip_shock,MP shock (purged),1,0.7325463755366926,0.16808273835550344,0.5653951713475798,0.8996975797258053,0.4560748737247075,1.0090178773486775,196
corporate_unsecured_credit_rate__romer_surprise__pop_precip_shock,corporate_unsecured_credit_rate,romer_surprise,pop_precip_shock,Interaction (climate x MP),1,-0.08697578533351463,0.1040411792496458,-0.19044035621676392,0.01648878554973464,-0.2581082963746027,0.08415672570757343,196
corporate_unsecured_credit_rate__romer_surprise__pop_precip_shock,corporate_unsecured_credit_rate,romer_surprise,pop_precip_shock,MP shock (purged),2,0.9173388999471414,0.20794238211155083,0.7105489588028948,1.1241288410913879,0.5753041185340282,1.2593736813602545,196
corporate_unsecured_credit_rate__romer_surprise__pop_precip_shock,corporate_unsecured_credit_rate,romer_surprise,pop_precip_shock,Interaction (climate x MP),2,6.815538673189504e-4,0.16372927909078186,-0.1621403184367589,0.1635034261713968,-0.26862914468330334,0.2699922524179412,196
corporate_unsecured_credit_rate__romer_surprise__pop_precip_shock,corporate_unsecured_credit_rate,romer_surprise,pop_precip_shock,MP shock (purged),3,0.8543553602665718,0.23389879843284117,0.6217528562917438,1.0869578642413997,0.4696260733247218,1.2390846472084218,192
corporate_unsecured_credit_rate__romer_surprise__pop_precip_shock,corporate_unsecured_credit_rate,romer_surprise,pop_precip_shock,Interaction (climate x MP),3,0.06580378704773858,0.19693829569595256,-0.13004305361299484,0.26165062770847203,-0.25813088291339037,0.38973845700886756,192
corporate_unsecured_credit_rate__romer_surprise__pop_precip_shock,corporate_unsecured_credit_rate,romer_surprise,pop_precip_shock,MP shock (purged),4,0.7501677667693704,0.24490845967767155,0.5066166183781519,0.9937189151605889,0.3473291985974541,1.1530063349412867,188
corporate_unsecured_credit_rate__romer_surprise__pop_precip_shock,corporate_unsecured_credit_rate,romer_surprise,pop_precip_shock,Interaction (climate x MP),4,-0.08211558983498407,0.24118737723411876,-0.321966278456138,0.1577350987861699,-0.4788335220534371,0.31460234238346896,188
corporate_unsecured_credit_rate__romer_surprise__pop_precip_shock,corporate_unsecured_credit_rate,romer_surprise,pop_precip_shock,MP shock (purged),5,0.6987284778608936,0.2536899219325027,0.4464445351042494,0.9510124206175379,0.2814456896491809,1.1160112660726065,184
corporate_unsecured_credit_rate__romer_surprise__pop_precip_shock,corporate_unsecured_credit_rate,romer_surprise,pop_precip_shock,Interaction (climate x MP),5,-0.2152932806576183,0.3449787553570453,-0.5583601234623209,0.12777356214708432,-0.7827328376278587,0.3521462763126221,184
corporate_unsecured_credit_rate__romer_surprise__pop_precip_shock,corporate_unsecured_credit_rate,romer_surprise,pop_precip_shock,MP shock (purged),6,0.46319505307713166,0.17911876198857457,0.28506898818682214,0.6413211179674412,0.16857090776516742,0.7578191983890958,180
corporate_unsecured_credit_rate__romer_surprise__pop_precip_shock,corporate_unsecured_credit_rate,romer_surprise,pop_precip_shock,Interaction (climate x MP),6,-0.8250705404881185,0.6566897169586736,-1.4781208063404532,-0.17202027463578384,-1.905229003209328,0.25508792223309107,180
corporate_unsecured_credit_rate__romer_surprise__pop_precip_shock,corporate_unsecured_credit_rate,romer_surprise,pop_precip_shock,MP shock (purged),7,0.18938487023028674,0.17522763395287563,0.015128368289656552,0.36364137217091697,-0.09883893901922555,0.477608679479799,176
corporate_unsecured_credit_rate__romer_surprise__pop_precip_shock,corporate_unsecured_credit_rate,romer_surprise,pop_precip_shock,Interaction (climate x MP),7,-0.8878971350726421,0.5872839878331059,-1.471926326456135,-0.30386794368914916,-1.85389333251045,0.07809906236516595,176
