model,dep,mp_shock,climate_shock,component,h,irf,se,lo68,hi68,lo90,hi90,nobs
corporate_unsecured_credit_rate__target__land_precip_shock,corporate_unsecured_credit_rate,target,land_precip_shock,MP shock (purged),0,0.002157208177309361,0.003058350718188896,-8.841928040137972e-4,0.005198609158632519,-0.002873331093993282,0.007187747448612005,184
corporate_unsecured_credit_rate__target__land_precip_shock,corporate_unsecured_credit_rate,target,land_precip_shock,Interaction (climate x MP),0,-0.006182656583945706,0.004644207041909352,-0.01080112488803071,-0.0015641882798607017,-0.013821697381143867,0.0014563842132524563,184
corporate_unsecured_credit_rate__target__land_precip_shock,corporate_unsecured_credit_rate,target,land_precip_shock,MP shock (purged),1,0.006794470117012368,0.0039779372830474535,0.0028385790269718405,0.010750361207052896,2.5134554920628206e-4,0.013337594684818453,184
corporate_unsecured_credit_rate__target__land_precip_shock,corporate_unsecured_credit_rate,target,land_precip_shock,Interaction (climate x MP),1,-0.005637479245101909,0.004628379409717794,-0.010240207635581474,-0.0010347508546223443,-0.013250485904083734,0.001975527413879915,184
corporate_unsecured_credit_rate__target__land_precip_shock,corporate_unsecured_credit_rate,target,land_precip_shock,MP shock (purged),2,0.0036331346200083143,0.0034572293585707196,1.9506563031346366e-4,0.0070712036097031646,-0.002053501629639843,0.009319770869656472,184
corporate_unsecured_credit_rate__target__land_precip_shock,corporate_unsecured_credit_rate,target,land_precip_shock,Interaction (climate x MP),2,-0.005343524701759884,0.0058520105844058305,-0.011163102760049178,4.76053356529409e-4,-0.014969225536478215,0.004282176132958446,184
corporate_unsecured_credit_rate__target__land_precip_shock,corporate_unsecured_credit_rate,target,land_precip_shock,MP shock (purged),3,0.015513730518165063,0.0063569544337872715,0.009192007068280116,0.02183545396805001,0.005057470961384831,0.025969990074945295,184
corporate_unsecured_credit_rate__target__land_precip_shock,corporate_unsecured_credit_rate,target,land_precip_shock,Interaction (climate x MP),3,-0.006564484425645641,0.006996969016206301,-0.013522675422386388,3.937065710951067e-4,-0.018073474289619643,0.0049445054383283615,184
corporate_unsecured_credit_rate__target__land_precip_shock,corporate_unsecured_credit_rate,target,land_precip_shock,MP shock (purged),4,0.01944185817669037,0.007804860758920129,0.011680252867627791,0.02720346348575295,0.00660400464952938,0.03227971170385136,184
corporate_unsecured_credit_rate__target__land_precip_shock,corporate_unsecured_credit_rate,target,land_precip_shock,Interaction (climate x MP),4,-0.009171733811261447,0.008245913767099147,-0.017371947761221026,-9.715198613018672e-4,-0.02273505497860355,0.004391587356080657,184
corporate_unsecured_credit_rate__target__land_precip_shock,corporate_unsecured_credit_rate,target,land_precip_shock,MP shock (purged),5,0.021785183604565585,0.008384197731554037,0.013447452076032342,0.030122915133098827,0.007994405556740627,0.03557596165239054,184
corporate_unsecured_credit_rate__target__land_precip_shock,corporate_unsecured_credit_rate,target,land_precip_shock,Interaction (climate x MP),5,-0.011453243653460014,0.007978712215021392,-0.01938773691354999,-0.003518750393370039,-0.02457705737873996,0.0016705700718199316,184
corporate_unsecured_credit_rate__target__land_precip_shock,corporate_unsecured_credit_rate,target,land_precip_shock,MP shock (purged),6,0.02157776931220491,0.009528124469997373,0.012102450820812271,0.03105308780359755,0.005905399219684665,0.03725013940472516,180
corporate_unsecured_credit_rate__target__land_precip_shock,corporate_unsecured_credit_rate,target,land_precip_shock,Interaction (climate x MP),6,-0.016549263853421498,0.005628922559261759,-0.022146990266456574,-0.010951537440386423,-0.025808017540852164,-0.007290510165990834,180
corporate_unsecured_credit_rate__target__land_precip_shock,corporate_unsecured_credit_rate,target,land_precip_shock,MP shock (purged),7,0.01758193840994764,0.01092311779228388,0.0067193578121822195,0.02844451900771306,-3.8499150830864984e-4,0.035548868328203934,176
corporate_unsecured_credit_rate__target__land_precip_shock,corporate_unsecured_credit_rate,target,land_precip_shock,Interaction (climate x MP),7,-0.02501405569574905,0.006166627610897872,-0.031146507136225365,-0.018881604255272733,-0.035157255487593506,-0.014870855903904596,176
corporate_unsecured_credit_rate__target__land_precip_shock,corporate_unsecured_credit_rate,target,land_precip_shock,MP shock (purged),8,0.01165751897375312,0.011852162125663611,-1.289570851931241e-4,0.023443995032699366,-0.007837552885861533,0.03115259083336777,172
corporate_unsecured_credit_rate__target__land_precip_shock,corporate_unsecured_credit_rate,target,land_precip_shock,Interaction (climate x MP),8,-0.029144104969811544,0.006097097593573627,-0.035207411736440056,-0.023080798203183032,-0.03917293806047821,-0.019115271879144875,172
corporate_unsecured_credit_rate__target__land_precip_shock,corporate_unsecured_credit_rate,target,land_precip_shock,MP shock (purged),9,0.003866637900387906,0.01108113148875247,-0.0071530806634858175,0.014886356464261629,-0.014360201419612754,0.022093477220388565,168
corporate_unsecured_credit_rate__target__land_precip_shock,corporate_unsecured_credit_rate,target,land_precip_shock,Interaction (climate x MP),9,-0.028316306239567695,0.007802022516117927,-0.03607508903570116,-0.020557523443434228,-0.04114949127276131,-0.015483121206374078,168
corporate_unsecured_credit_rate__target__land_precip_shock,corporate_unsecured_credit_rate,target,land_precip_shock,MP shock (purged),10,-3.291990142495246e-5,0.009742958189339308,-0.00972188147859645,0.009656041675746544,-0.016058660016396255,0.015992820213546352,164
corporate_unsecured_credit_rate__target__land_precip_shock,corporate_unsecured_credit_rate,target,land_precip_shock,Interaction (climate x MP),10,-0.023549382027316473,0.008329503714321876,-0.03183272265924878,-0.015266041395384162,-0.03725019642252456,-0.00984856763210838,164
corporate_unsecured_credit_rate__target__land_precip_shock,corporate_unsecured_credit_rate,target,land_precip_shock,MP shock (purged),11,-0.002792846923147284,0.009362546073110123,-0.012103504672466165,0.006517810826171597,-0.018192864789002727,0.012607170942708159,160
corporate_unsecured_credit_rate__target__land_precip_shock,corporate_unsecured_credit_rate,target,land_precip_shock,Interaction (climate x MP),11,-0.024483948501684418,0.010137329701808482,-0.03456509593834424,-0.014402801065024597,-0.04115837202930698,-0.007809524974061857,160
corporate_unsecured_credit_rate__target__land_precip_shock,corporate_unsecured_credit_rate,target,land_precip_shock,MP shock (purged),12,-0.0027864630603743014,0.009344533873277218,-0.0120792084355754,0.006506282314826798,-0.018156853494005216,0.012583927373256615,156
corporate_unsecured_credit_rate__target__land_precip_shock,corporate_unsecured_credit_rate,target,land_precip_shock,Interaction (climate x MP),12,-0.02087901285517737,0.009896283600652723,-0.03072045009632587,-0.011037575614028867,-0.03715695082905136,-0.004601074881303371,156
