h,series,component,irf,se,nobs,tidy,dep,mp_shock,climate_shock,model,lo68,hi68,lo90,hi90
0,base,MP shock only,0.013201105921950363,0.003789816676250626,184,,household_mortgage_rate,central_bank_information,pop_precip_shock,household_mortgage_rate__central_bank_information__pop_precip_shock,0.009432292852333143,0.016969918991567582,0.00696741221653835,0.019434799627362376
0,climate,MP shock + 1 SD climate shock,0.01684112071224096,0.003657161135926591,184,,household_mortgage_rate,central_bank_information,pop_precip_shock,household_mortgage_rate__central_bank_information__pop_precip_shock,0.013204227990450424,0.020478013434031495,0.010825625953466141,0.022856615471015775
0,interaction,Interaction,0.0036400147902905947,0.0018248488564996924,184,,household_mortgage_rate,central_bank_information,pop_precip_shock,household_mortgage_rate__central_bank_information__pop_precip_shock,0.0018252794592781719,0.0054547501213030175,6.384055300388304e-4,0.006641624050542359
1,base,MP shock only,0.008523635435354164,0.0075073017101556306,184,,household_mortgage_rate,central_bank_information,pop_precip_shock,household_mortgage_rate__central_bank_information__pop_precip_shock,0.0010579400680558355,0.015989330802652493,-0.0038247770112143104,0.020872047881922637
1,climate,MP shock + 1 SD climate shock,0.009689204235663707,0.006704095084381401,184,,household_mortgage_rate,central_bank_information,pop_precip_shock,household_mortgage_rate__central_bank_information__pop_precip_shock,0.0030222640292128667,0.01635614444211455,-0.0013380508793085725,0.020716459350635985
1,interaction,Interaction,0.0011655688003095429,0.0039366705894486025,184,,household_mortgage_rate,central_bank_information,pop_precip_shock,household_mortgage_rate__central_bank_information__pop_precip_shock,-0.002749284300967606,0.005080421901586692,-0.005309678096858178,0.007640815697477264
2,base,MP shock only,0.002605624805940098,0.011418229039124116,184,,household_mortgage_rate,central_bank_information,pop_precip_shock,household_mortgage_rate__central_bank_information__pop_precip_shock,-0.008749323074311404,0.013960572686191601,-0.01617569064242582,0.021386940254306014
2,climate,MP shock + 1 SD climate shock,0.0025494680837557155,0.0104445695221428,184,,household_mortgage_rate,central_bank_information,pop_precip_shock,household_mortgage_rate__central_bank_information__pop_precip_shock,-0.007837216414271517,0.012936152581782948,-0.01463031997668767,0.0197292561441991
2,interaction,Interaction,-5.6156722184382624e-5,0.005586261047713682,184,,household_mortgage_rate,central_bank_information,pop_precip_shock,household_mortgage_rate__central_bank_information__pop_precip_shock,-0.0056114580587508294,0.005499144614382064,-0.00924473846761396,0.009132425023245194
3,base,MP shock only,-0.01720558297518018,0.015783102973554074,184,,household_mortgage_rate,central_bank_information,pop_precip_shock,household_mortgage_rate__central_bank_information__pop_precip_shock,-0.03290121414874232,-0.0015099518016180348,-0.043166477145779154,0.008755311195418794
3,climate,MP shock + 1 SD climate shock,-0.017923156936590388,0.014190190591009327,184,,household_mortgage_rate,central_bank_information,pop_precip_shock,household_mortgage_rate__central_bank_information__pop_precip_shock,-0.03203470383406848,-0.003811610039112295,-0.041263943397344724,0.0054176295241639486
3,interaction,Interaction,-7.175739614102077e-4,0.008485748771245192,184,,household_mortgage_rate,central_bank_information,pop_precip_shock,household_mortgage_rate__central_bank_information__pop_precip_shock,-0.009156293721912467,0.007721145799092052,-0.014675388605191854,0.01324024068237144
4,base,MP shock only,-0.04590206303278379,0.019712772247179707,184,,household_mortgage_rate,central_bank_information,pop_precip_shock,household_mortgage_rate__central_bank_information__pop_precip_shock,-0.0655055847939101,-0.026298541271657486,-0.07832668796082565,-0.013477438104741939
4,climate,MP shock + 1 SD climate shock,-0.053704949330787934,0.02068441238714304,184,,household_mortgage_rate,central_bank_information,pop_precip_shock,household_mortgage_rate__central_bank_information__pop_precip_shock,-0.07427472628874379,-0.03313517237283207,-0.0877277800671401,-0.019682118594435763
4,interaction,Interaction,-0.007802886298004143,0.008557250487819764,184,,household_mortgage_rate,central_bank_information,pop_precip_shock,household_mortgage_rate__central_bank_information__pop_precip_shock,-0.016312711504217016,7.069389082087285e-4,-0.02187831079962673,0.006272538203618445
5,base,MP shock only,-0.05560794816897371,0.020023265783754827,184,,household_mortgage_rate,central_bank_information,pop_precip_shock,household_mortgage_rate__central_bank_information__pop_precip_shock,-0.07552024267523282,-0.0356956536627146,-0.08854328951679613,-0.022672606821151284
5,climate,MP shock + 1 SD climate shock,-0.0648567817495017,0.020333951033402634,184,,household_mortgage_rate,central_bank_information,pop_precip_shock,household_mortgage_rate__central_bank_information__pop_precip_shock,-0.08507803965147005,-0.044635523847533345,-0.09830315485704764,-0.03141040864195575
5,interaction,Interaction,-0.009248833580527993,0.008370714216300382,184,,household_mortgage_rate,central_bank_information,pop_precip_shock,household_mortgage_rate__central_bank_information__pop_precip_shock,-0.01757315632102386,-9.245108400321271e-4,-0.02301743321938392,0.004519766058327934
6,base,MP shock only,-0.052145428662111706,0.013989197548155304,180,,household_mortgage_rate,central_bank_information,pop_precip_shock,household_mortgage_rate__central_bank_information__pop_precip_shock,-0.0660570964436533,-0.03823376088057011,-0.07515561098733559,-0.02913524633688782
6,climate,MP shock + 1 SD climate shock,-0.06767784150587877,0.017624889445814775,180,,household_mortgage_rate,central_bank_information,pop_precip_shock,household_mortgage_rate__central_bank_information__pop_precip_shock,-0.08520505175596965,-0.05015063125578789,-0.09666820483544591,-0.03868747817631163
6,interaction,Interaction,-0.015532412843767066,0.009256584884868371,180,,household_mortgage_rate,central_bank_information,pop_precip_shock,household_mortgage_rate__central_bank_information__pop_precip_shock,-0.024737696654124664,-0.006327129033409467,-0.030758140064826973,-3.066856227071559e-4
7,base,MP shock only,-0.04109261485821819,0.013313181609194464,176,,household_mortgage_rate,central_bank_information,pop_precip_shock,household_mortgage_rate__central_bank_information__pop_precip_shock,-0.05433201326008473,-0.027853216456351648,-0.06299084991436533,-0.01919437980207105
7,climate,MP shock + 1 SD climate shock,-0.05699625950294887,0.01170166425194391,176,,household_mortgage_rate,central_bank_information,pop_precip_shock,household_mortgage_rate__central_bank_information__pop_precip_shock,-0.06863307176496825,-0.04535944724092949,-0.07624378438912718,-0.03774873461677055
7,interaction,Interaction,-0.015903644644730684,0.008520310470057017,176,,household_mortgage_rate,central_bank_information,pop_precip_shock,household_mortgage_rate__central_bank_information__pop_precip_shock,-0.024376734559073483,-0.0074305547303878845,-0.029918308224156566,-0.0018889810653048011
8,base,MP shock only,-0.056171682685119684,0.013437501769284337,172,,household_mortgage_rate,central_bank_information,pop_precip_shock,household_mortgage_rate__central_bank_information__pop_precip_shock,-0.0695347122502295,-0.042808653120009865,-0.07827440620749385,-0.03406895916274553
8,climate,MP shock + 1 SD climate shock,-0.061753052733360014,0.012715895841898969,172,,household_mortgage_rate,central_bank_information,pop_precip_shock,household_mortgage_rate__central_bank_information__pop_precip_shock,-0.07439847559541057,-0.04910762987130946,-0.08266884012884466,-0.040837265337875364
8,interaction,Interaction,-0.005581370048240334,0.007990934294097939,172,,household_mortgage_rate,central_bank_information,pop_precip_shock,household_mortgage_rate__central_bank_information__pop_precip_shock,-0.013528017651217195,0.0023652775547365265,-0.018725287304618227,0.007562547208137557
9,base,MP shock only,-0.03250510651307835,0.016791594095424626,168,,household_mortgage_rate,central_bank_information,pop_precip_shock,household_mortgage_rate__central_bank_information__pop_precip_shock,-0.049203639632931714,-0.015806573393224985,-0.06012482096323446,-0.004885392062922239
9,climate,MP shock + 1 SD climate shock,-0.035997004769933436,0.016350631515122782,168,,household_mortgage_rate,central_bank_information,pop_precip_shock,household_mortgage_rate__central_bank_information__pop_precip_shock,-0.052257019175605116,-0.019736990364261752,-0.06289140032053017,-0.009102609219336692
9,interaction,Interaction,-0.0034918982568550856,0.011005214070158,168,,household_mortgage_rate,central_bank_information,pop_precip_shock,household_mortgage_rate__central_bank_information__pop_precip_shock,-0.014436120145334604,0.007452323631624432,-0.02159386453553184,0.014610068021821666
10,base,MP shock only,-0.03994899519352046,0.013981501338798094,164,,household_mortgage_rate,central_bank_information,pop_precip_shock,household_mortgage_rate__central_bank_information__pop_precip_shock,-0.05385300941899594,-0.026044980968044973,-0.06294651838086936,-0.01695147200617156
10,climate,MP shock + 1 SD climate shock,-0.020947976932651487,0.01923381881211706,164,,household_mortgage_rate,central_bank_information,pop_precip_shock,household_mortgage_rate__central_bank_information__pop_precip_shock,-0.04007519967458935,-0.0018207541907136228,-0.05258479356588967,0.010688839700586702
10,interaction,Interaction,0.01900101826086897,0.015209631961091956,164,,household_mortgage_rate,central_bank_information,pop_precip_shock,household_mortgage_rate__central_bank_information__pop_precip_shock,0.003875679856442056,0.034126356665295884,-0.006016600034930156,0.0440186365566681
11,base,MP shock only,-0.027464215497142834,0.017124659146691087,160,,household_mortgage_rate,central_bank_information,pop_precip_shock,household_mortgage_rate__central_bank_information__pop_precip_shock,-0.044493967782849794,-0.010434463211435877,-0.05563177320488536,7.033422105996931e-4
11,climate,MP shock + 1 SD climate shock,0.011104839598377096,0.01313243892953947,160,,household_mortgage_rate,central_bank_information,pop_precip_shock,household_mortgage_rate__central_bank_information__pop_precip_shock,-0.0019548178208740833,0.024164497017628274,-0.010496100205594602,0.0327057794023488
11,interaction,Interaction,0.03856905509551993,0.020317348664413776,160,,household_mortgage_rate,central_bank_information,pop_precip_shock,household_mortgage_rate__central_bank_information__pop_precip_shock,0.018364307550272498,0.05877380264076736,0.005149990454821292,0.07198811973621858
12,base,MP shock only,-0.010388283143360311,0.022913393002471426,156,,household_mortgage_rate,central_bank_information,pop_precip_shock,household_mortgage_rate__central_bank_information__pop_precip_shock,-0.03317468744575122,0.012398121159030596,-0.04807746072923991,0.02730089444251928
12,climate,MP shock + 1 SD climate shock,0.030533908766326726,0.014120196850102277,156,,household_mortgage_rate,central_bank_information,pop_precip_shock,household_mortgage_rate__central_bank_information__pop_precip_shock,0.01649196769626899,0.04457584983638446,0.007308251764167252,0.0537595657684862
12,interaction,Interaction,0.04092219190968704,0.02095564073277761,156,,household_mortgage_rate,central_bank_information,pop_precip_shock,household_mortgage_rate__central_bank_information__pop_precip_shock,0.020082689785264934,0.06176169403410914,0.006453230245285796,0.07539115357408828
