h,series,component,irf,se,nobs,tidy,dep,mp_shock,climate_shock,model,lo68,hi68,lo90,hi90
0,base,MP shock alone,0.006646478900381958,0.010974537661645536,184,,household_mortgage_rate,central_bank_information,pop_temp_shock,household_mortgage_rate__central_bank_information__pop_temp_shock,-0.004267236591823777,0.017560194392587693,-0.011405029176491225,0.02469798697725514
0,climate,MP shock with climate shock,0.007276194792377943,0.004983745238816398,184,,household_mortgage_rate,central_bank_information,pop_temp_shock,household_mortgage_rate__central_bank_information__pop_temp_shock,0.002320070051727903,0.012232319533027985,-9.213366394913358e-4,0.015473726224247222
0,interaction,Interaction (climate amplification),6.297158919959849e-4,0.011293995507889334,184,,household_mortgage_rate,central_bank_information,pop_temp_shock,household_mortgage_rate__central_bank_information__pop_temp_shock,-0.010601686973760105,0.011861118757752075,-0.017947253581929414,0.01920668536592138
1,base,MP shock alone,-0.0013906710292456836,0.019342253279825534,184,,household_mortgage_rate,central_bank_information,pop_temp_shock,household_mortgage_rate__central_bank_information__pop_temp_shock,-0.020625727282407892,0.01784438522391652,-0.03320584648998071,0.030424504431489342
1,climate,MP shock with climate shock,-0.0015615049331234106,0.013770252446919703,184,,household_mortgage_rate,central_bank_information,pop_temp_shock,household_mortgage_rate__central_bank_information__pop_temp_shock,-0.015255441032751104,0.012132431166504283,-0.02421155461447666,0.02108854474822984
1,interaction,Interaction (climate amplification),-1.7083390387772701e-4,0.02060578615767187,184,,household_mortgage_rate,central_bank_information,pop_temp_shock,household_mortgage_rate__central_bank_information__pop_temp_shock,-0.02066242038810893,0.020320752580353475,-0.03406433600151072,0.03372266819375527
2,base,MP shock alone,-0.003882403587765502,0.02237742833723762,184,,household_mortgage_rate,central_bank_information,pop_temp_shock,household_mortgage_rate__central_bank_information__pop_temp_shock,-0.026135813603692777,0.018371006428161772,-0.04068999775011744,0.032925190574586434
2,climate,MP shock with climate shock,-0.00925865201457374,0.017769721720550413,184,,household_mortgage_rate,central_bank_information,pop_temp_shock,household_mortgage_rate__central_bank_information__pop_temp_shock,-0.02692989186201868,0.008412587832871198,-0.03848724323653943,0.01996993920739195
2,interaction,Interaction (climate amplification),-0.005376248426808238,0.0295948625204139,184,,household_mortgage_rate,central_bank_information,pop_temp_shock,household_mortgage_rate__central_bank_information__pop_temp_shock,-0.03480709276274271,0.02405459590912623,-0.05405546538264121,0.04330296852902474
3,base,MP shock alone,-0.018905066375479247,0.023205305692103072,184,,household_mortgage_rate,central_bank_information,pop_temp_shock,household_mortgage_rate__central_bank_information__pop_temp_shock,-0.041981765553283305,0.004171632802324812,-0.05707439760765261,0.019264264856694118
3,climate,MP shock with climate shock,-0.02451039036433644,0.016045859550952387,184,,household_mortgage_rate,central_bank_information,pop_temp_shock,household_mortgage_rate__central_bank_information__pop_temp_shock,-0.04046732188765755,-0.008553458841015327,-0.050903480644274385,0.001882699915601506
3,interaction,Interaction (climate amplification),-0.005605323988857193,0.03256901444306143,184,,household_mortgage_rate,central_bank_information,pop_temp_shock,household_mortgage_rate__central_bank_information__pop_temp_shock,-0.037993837150131944,0.02678318917241756,-0.059176585521761645,0.04796593754404726
4,base,MP shock alone,-0.0376577637789257,0.028016006842232107,184,,household_mortgage_rate,central_bank_information,pop_temp_shock,household_mortgage_rate__central_bank_information__pop_temp_shock,-0.0655185026392418,-0.009797024918609593,-0.08373999424606843,0.008424466688217024
4,climate,MP shock with climate shock,-0.038509126863301206,0.015304052820616424,184,,household_mortgage_rate,central_bank_information,pop_temp_shock,household_mortgage_rate__central_bank_information__pop_temp_shock,-0.05372836283582167,-0.02328989089078074,-0.06368205365234902,-0.013336200074253384
4,interaction,Interaction (climate amplification),-8.513630843755085e-4,0.03552275697430599,184,,household_mortgage_rate,central_bank_information,pop_temp_shock,household_mortgage_rate__central_bank_information__pop_temp_shock,-0.036177248790818343,0.03447452262206733,-0.0592810987328784,0.057578372564127386
5,base,MP shock alone,-0.028414164903276307,0.030830963280275868,184,,household_mortgage_rate,central_bank_information,pop_temp_shock,household_mortgage_rate__central_bank_information__pop_temp_shock,-0.05907425938429708,0.002245929577744464,-0.0791265866772457,0.02229825687069309
5,climate,MP shock with climate shock,-0.044666910295159665,0.018904865000813446,184,,household_mortgage_rate,central_bank_information,pop_temp_shock,household_mortgage_rate__central_bank_information__pop_temp_shock,-0.06346700232623476,-0.025866818264084573,-0.0757626460587756,-0.013571174531543734
5,interaction,Interaction (climate amplification),-0.016252745391883358,0.04077246204627038,184,,household_mortgage_rate,central_bank_information,pop_temp_shock,household_mortgage_rate__central_bank_information__pop_temp_shock,-0.056799241691667404,0.024293750907900688,-0.0833174774684324,0.05081198668466569
6,base,MP shock alone,-0.007913299187146389,0.0419705342396536,180,,household_mortgage_rate,central_bank_information,pop_temp_shock,household_mortgage_rate__central_bank_information__pop_temp_shock,-0.04965122782429478,0.033824629450002,-0.07694868465633153,0.06112208628203875
6,climate,MP shock with climate shock,-0.03643992863482606,0.014246133329944797,180,,household_mortgage_rate,central_bank_information,pop_temp_shock,household_mortgage_rate__central_bank_information__pop_temp_shock,-0.05060710823004688,-0.022272749039605248,-0.05987273271262,-0.01300712455703212
6,interaction,Interaction (climate amplification),-0.028526629447679672,0.042328503303775786,180,,household_mortgage_rate,central_bank_information,pop_temp_shock,household_mortgage_rate__central_bank_information__pop_temp_shock,-0.07062054324258958,0.01356728434723024,-0.09815082163032261,0.041097562734963275
