h,series,component,irf,se,nobs,tidy,dep,mp_shock,climate_shock,model,lo68,hi68,lo90,hi90
0,base,MP shock alone,-0.04773069605304588,0.755754973239409,184,,household_mortgage_rate,forward_guidance,pop_temp_shock,household_mortgage_rate__forward_guidance__pop_temp_shock,-0.7992971869659523,0.7038357948598605,-1.2908370048725002,1.1953756127664084
0,climate,MP shock with climate shock,-0.40830637370298,0.5106736258800423,184,,household_mortgage_rate,forward_guidance,pop_temp_shock,household_mortgage_rate__forward_guidance__pop_temp_shock,-0.9161497867066963,0.09953703930073626,-1.2482897394202264,0.4316769920142664
0,interaction,Interaction (climate amplification),-0.36057567764993415,1.0090120052482485,184,,household_mortgage_rate,forward_guidance,pop_temp_shock,household_mortgage_rate__forward_guidance__pop_temp_shock,-1.3639956205223358,0.6428442652224676,-2.020252734120093,1.2991013788202248
1,base,MP shock alone,-0.3487198870615058,1.1934986760952564,184,,household_mortgage_rate,forward_guidance,pop_temp_shock,household_mortgage_rate__forward_guidance__pop_temp_shock,-1.5356040541048375,0.8381642799818259,-2.311850513198568,1.6144107390755562
1,climate,MP shock with climate shock,-0.4217651640030711,0.6573829122483437,184,,household_mortgage_rate,forward_guidance,pop_temp_shock,household_mortgage_rate__forward_guidance__pop_temp_shock,-1.075504783375822,0.2319744553696797,-1.5030638315106801,0.659533503504538
1,interaction,Interaction (climate amplification),-0.07304527694156532,1.387593046437453,184,,household_mortgage_rate,forward_guidance,pop_temp_shock,household_mortgage_rate__forward_guidance__pop_temp_shock,-1.4529481206583277,1.3068575667751972,-2.3554327321068516,2.209342178223721
2,base,MP shock alone,-1.8778404208308865,0.8920989720107712,184,,household_mortgage_rate,forward_guidance,pop_temp_shock,household_mortgage_rate__forward_guidance__pop_temp_shock,-2.764995276150315,-0.9906855655114581,-3.345212650542483,-0.4104681911192902
2,climate,MP shock with climate shock,-1.302974714745516,0.9663015079092497,184,,household_mortgage_rate,forward_guidance,pop_temp_shock,household_mortgage_rate__forward_guidance__pop_temp_shock,-2.2639208668433413,-0.34202856264769077,-2.8923992547587214,0.2864498252676895
2,interaction,Interaction (climate amplification),0.5748657060853705,1.0227615389362568,184,,household_mortgage_rate,forward_guidance,pop_temp_shock,household_mortgage_rate__forward_guidance__pop_temp_shock,-0.442227568953529,1.5919589811242698,-1.1074273207404,2.257158732911141
3,base,MP shock alone,-4.245999808613682,1.3753375698796824,184,,household_mortgage_rate,forward_guidance,pop_temp_shock,household_mortgage_rate__forward_guidance__pop_temp_shock,-5.613715097055077,-2.8782845201722873,-6.508228798712901,-1.9837708185144636
3,climate,MP shock with climate shock,-1.4516320455668503,2.1032489747897025,184,,household_mortgage_rate,forward_guidance,pop_temp_shock,household_mortgage_rate__forward_guidance__pop_temp_shock,-3.5432245688993014,0.6399604777656007,-4.911168750131656,2.007904658997956
3,interaction,Interaction (climate amplification),2.7943677630468318,1.3115605575339497,184,,household_mortgage_rate,forward_guidance,pop_temp_shock,household_mortgage_rate__forward_guidance__pop_temp_shock,1.4900760273002163,4.098659498793447,0.6370426230206205,4.951692903073043
4,base,MP shock alone,-6.0805398354680475,1.741634539978782,184,,household_mortgage_rate,forward_guidance,pop_temp_shock,household_mortgage_rate__forward_guidance__pop_temp_shock,-7.81252203342034,-4.348557637515755,-8.945273725376104,-3.2158059455599903
4,climate,MP shock with climate shock,-0.6634433171760632,2.587946953078651,184,,household_mortgage_rate,forward_guidance,pop_temp_shock,household_mortgage_rate__forward_guidance__pop_temp_shock,-3.237047565993789,1.9101609316416628,-4.920237249305492,3.5933506149533656
4,interaction,Interaction (climate amplification),5.417096518291984,1.379377509214401,184,,household_mortgage_rate,forward_guidance,pop_temp_shock,household_mortgage_rate__forward_guidance__pop_temp_shock,4.045363680331489,6.78882935625248,3.14822241932539,7.685970617258579
5,base,MP shock alone,-6.491330676746868,1.9730061947384052,184,,household_mortgage_rate,forward_guidance,pop_temp_shock,household_mortgage_rate__forward_guidance__pop_temp_shock,-8.453402240726152,-4.529259112767583,-9.736637072160056,-3.2460242813336806
5,climate,MP shock with climate shock,-0.5488137570477001,2.1823547053220773,184,,household_mortgage_rate,forward_guidance,pop_temp_shock,household_mortgage_rate__forward_guidance__pop_temp_shock,-2.719073597715138,1.621446083619738,-4.138467809391329,3.040840295295929
5,interaction,Interaction (climate amplification),5.942516919699168,1.2549029403031484,184,,household_mortgage_rate,forward_guidance,pop_temp_shock,household_mortgage_rate__forward_guidance__pop_temp_shock,4.694568798051604,7.190465041346732,3.878385266869468,8.006648572528867
6,base,MP shock alone,-7.796003775401936,1.9814042281542856,180,,household_mortgage_rate,forward_guidance,pop_temp_shock,household_mortgage_rate__forward_guidance__pop_temp_shock,-9.766426829915101,-5.82558072088877,-11.055123706538494,-4.536883844265379
6,climate,MP shock with climate shock,-2.402563605275427,1.8228340771019707,180,,household_mortgage_rate,forward_guidance,pop_temp_shock,household_mortgage_rate__forward_guidance__pop_temp_shock,-4.215295323032857,-0.5898318875179971,-5.400858848327342,0.5957316377764879
6,interaction,Interaction (climate amplification),5.393440170126509,1.2254313313622969,180,,household_mortgage_rate,forward_guidance,pop_temp_shock,household_mortgage_rate__forward_guidance__pop_temp_shock,4.17480032232105,6.6120800179319685,3.377785000155265,7.409095340097753
7,base,MP shock alone,-5.676846848981099,1.967521028798421,176,,household_mortgage_rate,forward_guidance,pop_temp_shock,household_mortgage_rate__forward_guidance__pop_temp_shock,-7.633463646450653,-3.720230051511545,-8.913130949303472,-2.4405627486587256
7,climate,MP shock with climate shock,-1.237246879956512,1.8986028671725297,176,,household_mortgage_rate,forward_guidance,pop_temp_shock,household_mortgage_rate__forward_guidance__pop_temp_shock,-3.125327468300874,0.6508337083878502,-4.36017069216571,1.8856769322526863
7,interaction,Interaction (climate amplification),4.439599969024587,1.4762185593312112,176,,household_mortgage_rate,forward_guidance,pop_temp_shock,household_mortgage_rate__forward_guidance__pop_temp_shock,2.9715627853571194,5.907637152692055,2.0114365175355684,6.867763420513606
8,base,MP shock alone,-2.450453297076618,2.1109094236292325,172,,household_mortgage_rate,forward_guidance,pop_temp_shock,household_mortgage_rate__forward_guidance__pop_temp_shock,-4.549663814146465,-0.3512427800067712,-5.922590318699202,1.0216837245459653
8,climate,MP shock with climate shock,1.3206787835478928,2.4038125542292392,172,,household_mortgage_rate,forward_guidance,pop_temp_shock,household_mortgage_rate__forward_guidance__pop_temp_shock,-1.0698115607639465,3.711169127859732,-2.633241014787552,5.274598581883337
8,interaction,Interaction (climate amplification),3.7711320806245108,1.6729054918393937,172,,household_mortgage_rate,forward_guidance,pop_temp_shock,household_mortgage_rate__forward_guidance__pop_temp_shock,2.107498026399936,5.434766134849085,1.0194474148254487,6.5228167464235725
9,base,MP shock alone,-0.21371711941149055,1.9744279348734375,168,,household_mortgage_rate,forward_guidance,pop_temp_shock,household_mortgage_rate__forward_guidance__pop_temp_shock,-2.177202544075934,1.7497683052529527,-3.4613620692423677,3.033927830419387
9,climate,MP shock with climate shock,1.6124753208435691,2.097688735557394,168,,household_mortgage_rate,forward_guidance,pop_temp_shock,household_mortgage_rate__forward_guidance__pop_temp_shock,-0.4735877787517808,3.6985384204389193,-1.8379156040532563,5.062866245740395
9,interaction,Interaction (climate amplification),1.8261924402550598,1.7722863397211341,168,,household_mortgage_rate,forward_guidance,pop_temp_shock,household_mortgage_rate__forward_guidance__pop_temp_shock,0.06372831841441906,3.5886565620957005,-1.0889591736317956,4.741344054141916
10,base,MP shock alone,-0.11831041320034215,2.9527589413565845,164,,household_mortgage_rate,forward_guidance,pop_temp_shock,household_mortgage_rate__forward_guidance__pop_temp_shock,-3.054704819650483,2.818083993249799,-4.975166667404108,4.738545841003423
10,climate,MP shock with climate shock,0.4452229964821944,1.9021772797496814,164,,household_mortgage_rate,forward_guidance,pop_temp_shock,household_mortgage_rate__forward_guidance__pop_temp_shock,-1.4464121946273605,2.336858187591749,-2.683580201218753,3.5740261941831415
10,interaction,Interaction (climate amplification),0.5635334096825365,2.922167982264147,164,,household_mortgage_rate,forward_guidance,pop_temp_shock,household_mortgage_rate__forward_guidance__pop_temp_shock,-2.3424395763431827,3.4695063957082555,-4.243005194506109,5.370072013871182
11,base,MP shock alone,1.1732387249741911,1.6924445185275454,160,,household_mortgage_rate,forward_guidance,pop_temp_shock,household_mortgage_rate__forward_guidance__pop_temp_shock,-0.5098260683706617,2.856303518319044,-1.6105847797399788,3.9570622296883613
11,climate,MP shock with climate shock,-2.47900047030891,1.7254051190451976,160,,household_mortgage_rate,forward_guidance,pop_temp_shock,household_mortgage_rate__forward_guidance__pop_temp_shock,-4.194843192673869,-0.7631577479439506,-5.317039338331039,0.35903839771321877
11,interaction,Interaction (climate amplification),-3.652239195283101,1.8573837152649146,160,,household_mortgage_rate,forward_guidance,pop_temp_shock,household_mortgage_rate__forward_guidance__pop_temp_shock,-5.499329073073715,-1.8051493174924869,-6.707363535977195,-0.597114854589007
12,base,MP shock alone,2.0273432699049994,1.3111722890314006,156,,household_mortgage_rate,forward_guidance,pop_temp_shock,household_mortgage_rate__forward_guidance__pop_temp_shock,0.7234376508315459,3.331248888978453,-0.12934322526656317,4.184029765076562
12,climate,MP shock with climate shock,-4.111561344352346,2.049868072296974,156,,household_mortgage_rate,forward_guidance,pop_temp_shock,household_mortgage_rate__forward_guidance__pop_temp_shock,-6.150068808388053,-2.0730538803166394,-7.483294277842045,-0.7398284108626463
12,interaction,Interaction (climate amplification),-6.138904614257345,1.8576299438240749,156,,household_mortgage_rate,forward_guidance,pop_temp_shock,household_mortgage_rate__forward_guidance__pop_temp_shock,-7.986239355979687,-4.291569872535002,-9.194433964890033,-3.083375263624657
