model,dep,mp_shock,climate_shock,component,h,irf,se,lo68,hi68,lo90,hi90,nobs
household_mortgage_rate__romer_surprise__pop_precip_shock,household_mortgage_rate,romer_surprise,pop_precip_shock,MP shock (purged),0,0.5987624519049378,0.3204724711493817,0.28006607661872496,0.9174588271911507,0.07163214539677654,1.125892758413099,196
household_mortgage_rate__romer_surprise__pop_precip_shock,household_mortgage_rate,romer_surprise,pop_precip_shock,Interaction (climate x MP),0,0.011759231958934637,0.07243272768457078,-0.06027206508937211,0.08379052900724138,-0.10738200288301987,0.13090046680088915,196
household_mortgage_rate__romer_surprise__pop_precip_shock,household_mortgage_rate,romer_surprise,pop_precip_shock,MP shock (purged),1,0.3515701973989137,0.3581415105548833,-0.004586451077039033,0.7077268458748665,-0.23752016519916486,0.9406605599969923,196
household_mortgage_rate__romer_surprise__pop_precip_shock,household_mortgage_rate,romer_surprise,pop_precip_shock,Interaction (climate x MP),1,0.1132112842901371,0.10276722879212263,0.011013603482190423,0.21540896509808377,-0.05582576472033751,0.2822483333006117,196
household_mortgage_rate__romer_surprise__pop_precip_shock,household_mortgage_rate,romer_surprise,pop_precip_shock,MP shock (purged),2,0.15682710526080934,0.44662474186152656,-0.28732239011990685,0.6009766006415256,-0.5778052212763873,0.891459431798006,196
household_mortgage_rate__romer_surprise__pop_precip_shock,household_mortgage_rate,romer_surprise,pop_precip_shock,Interaction (climate x MP),2,0.2677449258617285,0.14553459194216167,0.12301690362513118,0.4124729480983258,0.028361824458761453,0.5071280272646955,196
household_mortgage_rate__romer_surprise__pop_precip_shock,household_mortgage_rate,romer_surprise,pop_precip_shock,MP shock (purged),3,-0.05130633150098304,0.4988583086951111,-0.5473999091875209,0.44478724618555476,-0.8718552298930133,0.7692425668910472,192
household_mortgage_rate__romer_surprise__pop_precip_shock,household_mortgage_rate,romer_surprise,pop_precip_shock,Interaction (climate x MP),3,0.188663759185881,0.13108393336921015,0.05830630828472794,0.31902121008703405,-0.026950124051529356,0.40427764242329134,192
household_mortgage_rate__romer_surprise__pop_precip_shock,household_mortgage_rate,romer_surprise,pop_precip_shock,MP shock (purged),4,-0.14778460054362902,0.4062333306336644,-0.5517665386148307,0.2561973375275727,-0.8159789678249882,0.5204097667377301,188
household_mortgage_rate__romer_surprise__pop_precip_shock,household_mortgage_rate,romer_surprise,pop_precip_shock,Interaction (climate x MP),4,-0.006753133608278414,0.16558016762912195,-0.17141563661025114,0.1579093693936943,-0.27910827288427226,0.26560200566771547,188
household_mortgage_rate__romer_surprise__pop_precip_shock,household_mortgage_rate,romer_surprise,pop_precip_shock,MP shock (purged),5,-0.3922339702469512,0.3815978342436324,-0.7717169447263001,-0.012750995767602247,-1.0199065519394164,0.23543861144551398,184
household_mortgage_rate__romer_surprise__pop_precip_shock,household_mortgage_rate,romer_surprise,pop_precip_shock,Interaction (climate x MP),5,0.03162413510716192,0.16165787270670806,-0.12913781078894274,0.19238608100326657,-0.23427940313972614,0.29752767335405,184
household_mortgage_rate__romer_surprise__pop_precip_shock,household_mortgage_rate,romer_surprise,pop_precip_shock,MP shock (purged),6,-0.6585756517776836,0.4074089039183198,-1.0637266479691017,-0.2534246555862656,-1.3287036650400554,0.0115523614846883,180
household_mortgage_rate__romer_surprise__pop_precip_shock,household_mortgage_rate,romer_surprise,pop_precip_shock,Interaction (climate x MP),6,0.5151710790277159,0.43193467257436996,0.08563023885451004,0.9447119192009217,-0.1952982337623329,1.2256403918177647,180
household_mortgage_rate__romer_surprise__pop_precip_shock,household_mortgage_rate,romer_surprise,pop_precip_shock,MP shock (purged),7,-0.6102517434351734,0.4434049107279209,-1.0511992523624711,-0.16930423450787563,-1.3395879190540874,0.11908443218374065,176
household_mortgage_rate__romer_surprise__pop_precip_shock,household_mortgage_rate,romer_surprise,pop_precip_shock,Interaction (climate x MP),7,0.04225680083270113,0.3773221199401974,-0.3329741558512442,0.4174877575166464,-0.5783828566799507,0.6628964583453529,176
household_mortgage_rate__romer_surprise__pop_precip_shock,household_mortgage_rate,romer_surprise,pop_precip_shock,MP shock (purged),8,-0.5849947889481333,0.3681357962951337,-0.9510903336655289,-0.2188992442307377,-1.190524288694852,0.020534710798585487,172
household_mortgage_rate__romer_surprise__pop_precip_shock,household_mortgage_rate,romer_surprise,pop_precip_shock,Interaction (climate x MP),8,-0.2781479663890044,0.3199036944095328,-0.5962787171624881,0.039982784384479386,-0.8043427184136996,0.24804678563569083,172
household_mortgage_rate__romer_surprise__pop_precip_shock,household_mortgage_rate,romer_surprise,pop_precip_shock,MP shock (purged),9,-0.6364965613679706,0.5476186488154418,-1.1810802436751602,-0.09191287906078116,-1.537249082058314,0.2642559593223729,168
household_mortgage_rate__romer_surprise__pop_precip_shock,household_mortgage_rate,romer_surprise,pop_precip_shock,Interaction (climate x MP),9,-0.04719013646032929,0.5120768993856767,-0.5564290458640232,0.4620487729433646,-0.8894816816929234,0.7951014087722648,168
household_mortgage_rate__romer_surprise__pop_precip_shock,household_mortgage_rate,romer_surprise,pop_precip_shock,MP shock (purged),10,-0.15833687104923336,0.4050012326008861,-0.5610935395188514,0.24441979742038475,-0.8245046174126174,0.5078308753141507,164
household_mortgage_rate__romer_surprise__pop_precip_shock,household_mortgage_rate,romer_surprise,pop_precip_shock,Interaction (climate x MP),10,-1.1976053780699913,0.6304487678485545,-1.8245601252168622,-0.5706506309231206,-2.2346013204727724,-0.1606094356672101,164
household_mortgage_rate__romer_surprise__pop_precip_shock,household_mortgage_rate,romer_surprise,pop_precip_shock,MP shock (purged),11,0.16361874879230343,0.3174801668940125,-0.1521019059381954,0.47933940352280224,-0.3585896552084715,0.6858271527930784,160
household_mortgage_rate__romer_surprise__pop_precip_shock,household_mortgage_rate,romer_surprise,pop_precip_shock,Interaction (climate x MP),11,-0.749801540850966,0.48899447378154104,-1.2360859501490244,-0.26351713155290746,-1.55412587460976,0.05452279290782802,160
household_mortgage_rate__romer_surprise__pop_precip_shock,household_mortgage_rate,romer_surprise,pop_precip_shock,MP shock (purged),12,-0.11266437979336977,0.39221651355710335,-0.5027071836252762,0.27737842403853674,-0.7578031346680322,0.5324743750812927,156
household_mortgage_rate__romer_surprise__pop_precip_shock,household_mortgage_rate,romer_surprise,pop_precip_shock,Interaction (climate x MP),12,-0.25450993476513273,0.4194789656513544,-0.6716640989977953,0.16264422946752993,-0.9444914328466147,0.4354715633163493,156
