h,series,component,irf,se,nobs,tidy,dep,mp_shock,climate_shock,model,lo68,hi68,lo90,hi90
0,base,MP shock alone,0.0017573533667216165,0.0035157291321259118,184,,household_mortgage_rate,target,pop_temp_shock,household_mortgage_rate__target__pop_temp_shock,-0.0017388911839511807,0.0052535979173944135,-0.004025506447634639,0.007540213181077872
0,climate,MP shock with climate shock,-0.0018978512797875708,0.002174971520770952,184,,household_mortgage_rate,target,pop_temp_shock,household_mortgage_rate__target__pop_temp_shock,-0.0040607688543749495,2.6506629479980805e-4,-0.005475361074243829,0.0016796585146686873
0,interaction,Interaction (climate amplification),-0.0036552046465091873,0.004671959061296928,184,,household_mortgage_rate,target,pop_temp_shock,household_mortgage_rate__target__pop_temp_shock,-0.008301271165049157,9.908618720307822e-4,-0.011339893453452233,0.004029484160433857
1,base,MP shock alone,0.006533106807841004,0.004863859726656627,184,,household_mortgage_rate,target,pop_temp_shock,household_mortgage_rate__target__pop_temp_shock,0.0016962031598408847,0.011370010455841122,-0.001467230504533343,0.014533444120215351
1,climate,MP shock with climate shock,-9.525367634710263e-4,0.0038505021123697736,184,,household_mortgage_rate,target,pop_temp_shock,household_mortgage_rate__target__pop_temp_shock,-0.004781698943432955,0.0028766254164909024,-0.007286049128586751,0.005380975601644698
1,interaction,Interaction (climate amplification),-0.00748564357131203,0.0067650625409904274,184,,household_mortgage_rate,target,pop_temp_shock,household_mortgage_rate__target__pop_temp_shock,-0.014213213345606966,-7.580737970170953e-4,-0.018613181228413673,0.003641894085789612
2,base,MP shock alone,0.01510111743207444,0.005480517561582039,184,,household_mortgage_rate,target,pop_temp_shock,household_mortgage_rate__target__pop_temp_shock,0.009650973538889687,0.020551261325259192,0.006086468243334987,0.02411576662081389
2,climate,MP shock with climate shock,0.0018222981879238084,0.006773461869387925,184,,household_mortgage_rate,target,pop_temp_shock,household_mortgage_rate__target__pop_temp_shock,-0.004913624364709685,0.008558220740557301,-0.009319055134956414,0.01296365151080403
2,interaction,Interaction (climate amplification),-0.013278819244150631,0.007243722677334572,184,,household_mortgage_rate,target,pop_temp_shock,household_mortgage_rate__target__pop_temp_shock,-0.020482396364411258,-0.006075242123890006,-0.025193682762595024,-0.0013639557257062365
3,base,MP shock alone,0.020785394418307682,0.006512317859222162,184,,household_mortgage_rate,target,pop_temp_shock,household_mortgage_rate__target__pop_temp_shock,0.014309168585236539,0.027261620251378828,0.010073584767705266,0.0314972040689101
3,climate,MP shock with climate shock,0.01280855567066572,0.0099482901379335,184,,household_mortgage_rate,target,pop_temp_shock,household_mortgage_rate__target__pop_temp_shock,0.0029154001185399073,0.022701711222791535,-0.003554925444679752,0.029172036786011192
3,interaction,Interaction (climate amplification),-0.007976838747641962,0.007026488428395486,184,,household_mortgage_rate,target,pop_temp_shock,household_mortgage_rate__target__pop_temp_shock,-0.014964385556541962,-9.892919387419616e-4,-0.01953438372382082,0.003580706228536897
4,base,MP shock alone,0.021821698274444034,0.00858657566162881,184,,household_mortgage_rate,target,pop_temp_shock,household_mortgage_rate__target__pop_temp_shock,0.013282710417960262,0.030360686130927808,0.007698038154320654,0.03594535839456742
4,climate,MP shock with climate shock,0.02368542949791529,0.006677168492293606,184,,household_mortgage_rate,target,pop_temp_shock,household_mortgage_rate__target__pop_temp_shock,0.01704526665323413,0.03032559234259645,0.012702464685600063,0.03466839431023051
4,interaction,Interaction (climate amplification),0.0018637312234712569,0.007674923279957095,184,,household_mortgage_rate,target,pop_temp_shock,household_mortgage_rate__target__pop_temp_shock,-0.005768656735312133,0.009496119182254646,-0.010760394170140455,0.01448785661708297
5,base,MP shock alone,0.01433127464992228,0.011304817090377554,184,,household_mortgage_rate,target,pop_temp_shock,household_mortgage_rate__target__pop_temp_shock,0.0030891101761519758,0.025573439123692587,-0.00426349474320822,0.032926044043052785
5,climate,MP shock with climate shock,0.027936505233995254,0.004751617680871418,184,,household_mortgage_rate,target,pop_temp_shock,household_mortgage_rate__target__pop_temp_shock,0.023211221573253827,0.032661788894736685,0.020120789657727164,0.035752220810263344
5,interaction,Interaction (climate amplification),0.013605230584072972,0.010874695991495638,184,,household_mortgage_rate,target,pop_temp_shock,household_mortgage_rate__target__pop_temp_shock,0.002790803427820631,0.024419657740325312,-0.004282052559533256,0.0314925137276792
6,base,MP shock alone,0.004243999853342131,0.013931515874680878,180,,household_mortgage_rate,target,pop_temp_shock,household_mortgage_rate__target__pop_temp_shock,-0.00961030593329609,0.018098305639980352,-0.018671304562058715,0.027159304268742978
6,climate,MP shock with climate shock,0.029328504759391628,0.005822391578572029,180,,household_mortgage_rate,target,pop_temp_shock,household_mortgage_rate__target__pop_temp_shock,0.023538381554946593,0.03511862796383666,0.019751522853845724,0.03890548666493753
