h,series,component,irf,se,nobs,tidy,dep,mp_shock,climate_shock,model,lo68,hi68,lo90,hi90
0,base,MP shock alone,-5.063169625792795e-5,3.897530691754364e-4,184,,household_mortgages,central_bank_information,pop_temp_shock,household_mortgages__central_bank_information__pop_temp_shock,-4.382247084046369e-4,3.3696131588878105e-4,-6.917184457066123e-4,5.904550531907564e-4
0,climate,MP shock with climate shock,2.0533569648332727e-4,3.44968141046762e-4,184,,household_mortgages,central_bank_information,pop_temp_shock,household_mortgages__central_bank_information__pop_temp_shock,-1.377205908368393e-4,5.483919838034938e-4,-3.62086401500146e-4,7.727577944668005e-4
0,interaction,Interaction (climate amplification),2.559673927412552e-4,2.5691992017725507e-4,184,,household_mortgages,central_bank_information,pop_temp_shock,household_mortgages__central_bank_information__pop_temp_shock,4.7135276736337854e-7,5.114634327151471e-4,-1.6662826979838534e-4,6.785630552808958e-4
1,base,MP shock alone,-0.003956987358167085,0.0013836540376613625,184,,household_mortgages,central_bank_information,pop_temp_shock,household_mortgages__central_bank_information__pop_temp_shock,-0.005332973023554431,-0.0025810016927797384,-0.006232895720460424,-0.001681078995873745
1,climate,MP shock with climate shock,-5.808458427288511e-4,6.053194819493075e-4,184,,household_mortgages,central_bank_information,pop_temp_shock,household_mortgages__central_bank_information__pop_temp_shock,-0.0011828105734137838,2.1118887956081693e-5,-0.0015765077880775552,4.148161026198531e-4
1,interaction,Interaction (climate amplification),0.003376141515438234,0.001119291365722205,184,,household_mortgages,central_bank_information,pop_temp_shock,household_mortgages__central_bank_information__pop_temp_shock,0.002263053393187176,0.004489229637689291,0.001535071052914599,0.005217211977961869
2,base,MP shock alone,-0.003119957685121481,0.0011020483871932458,184,,household_mortgages,central_bank_information,pop_temp_shock,household_mortgages__central_bank_information__pop_temp_shock,-0.004215898391444399,-0.002024016978798563,-0.004932665971872311,-0.0013072493983706508
2,climate,MP shock with climate shock,-6.593581248953849e-4,8.25363915516081e-4,184,,household_mortgages,central_bank_information,pop_temp_shock,household_mortgages__central_bank_information__pop_temp_shock,-0.0014801477771972204,1.6143152740645062e-4,-0.0020169609548868787,6.982447050961089e-4
2,interaction,Interaction (climate amplification),0.002460599560226096,8.376357518922027e-4,184,,household_mortgages,central_bank_information,pop_temp_shock,household_mortgages__central_bank_information__pop_temp_shock,0.001627606083498566,0.003293593036953626,0.0010828113556619835,0.003838387764790208
3,base,MP shock alone,-0.0028967401709004406,0.0010034403184411734,184,,household_mortgages,central_bank_information,pop_temp_shock,household_mortgages__central_bank_information__pop_temp_shock,-0.0038946193059047705,-0.0018988610358961107,-0.004547252618117744,-0.001246227723683137
3,climate,MP shock with climate shock,-0.001029633144591207,8.928996223915087e-4,184,,household_mortgages,central_bank_information,pop_temp_shock,household_mortgages__central_bank_information__pop_temp_shock,-0.0019175842129934546,-1.4168207618895918e-4,-0.0024983223269854794,4.3905603780306553e-4
3,interaction,Interaction (climate amplification),0.0018671070263092337,8.984178565809027e-4,184,,household_mortgages,central_bank_information,pop_temp_shock,household_mortgages__central_bank_information__pop_temp_shock,9.736683064159455e-4,0.0027605457462025217,3.8934115639416896e-4,0.0033448728962242984
4,base,MP shock alone,-0.002738904872212646,0.001177439613400544,184,,household_mortgages,central_bank_information,pop_temp_shock,household_mortgages__central_bank_information__pop_temp_shock,-0.003909818977762262,-0.0015679907666630308,-0.00467562069083087,-8.021890535944228e-4
4,climate,MP shock with climate shock,-0.00109715491288756,0.0010607384229623098,184,,household_mortgages,central_bank_information,pop_temp_shock,household_mortgages__central_bank_information__pop_temp_shock,-0.0021520145996259104,-4.229522614920952e-5,-0.0028419143551438996,6.476045293687795e-4
4,interaction,Interaction (climate amplification),0.0016417499593250862,0.0011261673485133048,184,,household_mortgages,central_bank_information,pop_temp_shock,household_mortgages__central_bank_information__pop_temp_shock,5.218239617826048e-4,0.0027616759568675677,-2.106304884313449e-4,0.0034941304070815176
5,base,MP shock alone,0.2987584487272897,0.26319771247461543,184,,household_mortgages,central_bank_information,pop_temp_shock,household_mortgages__central_bank_information__pop_temp_shock,0.03701940871413434,0.560497488740445,-0.13416326324191208,0.7316801606964914
5,climate,MP shock with climate shock,0.327277525919261,0.20541065099930272,184,,household_mortgages,central_bank_information,pop_temp_shock,household_mortgages__central_bank_information__pop_temp_shock,0.12300528473775704,0.531549767100765,-0.010592928391404965,0.6651479802299269
5,interaction,Interaction (climate amplification),0.028519077191971345,0.14942876468008903,184,,household_mortgages,central_bank_information,pop_temp_shock,household_mortgages__central_bank_information__pop_temp_shock,-0.12008153582243834,0.17711969020638102,-0.21726936836295102,0.27430752274689374
6,base,MP shock alone,-0.4043316424044533,0.3256845773447775,180,,household_mortgages,central_bank_information,pop_temp_shock,household_mortgages__central_bank_information__pop_temp_shock,-0.7282112377848039,-0.08045204702410269,-0.9400351006921677,0.13137181588326108
6,climate,MP shock with climate shock,0.47504920256444894,0.3000333406911618,180,,household_mortgages,central_bank_information,pop_temp_shock,household_mortgages__central_bank_information__pop_temp_shock,0.17667868168836548,0.7734197234405324,-0.01846172607777502,0.968560131206673
6,interaction,Interaction (climate amplification),0.8793808449689022,0.5357160000212033,180,,household_mortgages,central_bank_information,pop_temp_shock,household_mortgages__central_bank_information__pop_temp_shock,0.34663384558622024,1.4121278443515841,-0.0017935606819087235,1.760555250619713
7,base,MP shock alone,0.2212240176383402,0.17058981322986466,176,,household_mortgages,central_bank_information,pop_temp_shock,household_mortgages__central_bank_information__pop_temp_shock,0.051579633076621834,0.3908684022000586,-0.0593712553737768,0.5018192906504573
7,climate,MP shock with climate shock,0.045412767004793214,0.047753596322754624,176,,household_mortgages,central_bank_information,pop_temp_shock,household_mortgages__central_bank_information__pop_temp_shock,-0.002076173309986405,0.09290170731957284,-0.03313490910666618,0.12396044311625261
7,interaction,Interaction (climate amplification),-0.175811250633547,0.16478303407810815,176,,household_mortgages,central_bank_information,pop_temp_shock,household_mortgages__central_bank_information__pop_temp_shock,-0.3396810378917431,-0.01194146337535093,-0.4468552218969911,0.09523272062989716
8,base,MP shock alone,-0.015684894654248632,0.1982691949729439,172,,household_mortgages,central_bank_information,pop_temp_shock,household_mortgages__central_bank_information__pop_temp_shock,-0.2128552585927443,0.18148546928424703,-0.34180869911824385,0.31043890980974664
