h,series,component,irf,se,nobs,tidy,dep,mp_shock,climate_shock,model,lo68,hi68,lo90,hi90
0,base,MP shock only,0.0015054541790458648,0.001316586854007434,184,,household_mortgages,country_risk,land_precip_shock,household_mortgages__country_risk__land_precip_shock,1.961640031478435e-4,0.002814744354943886,-6.601384829648905e-4,0.00367104684105662
0,climate,MP shock + 1 SD climate shock,0.0018015749012283899,0.0013861738383218044,184,,household_mortgages,country_risk,land_precip_shock,household_mortgages__country_risk__land_precip_shock,4.230834002101494e-4,0.0031800664022466306,-4.7847816432047266e-4,0.004081627966777253
0,interaction,Interaction,2.9612072218252513e-4,1.3442126384708762e-4,184,,household_mortgages,country_risk,land_precip_shock,household_mortgages__country_risk__land_precip_shock,1.6244443667877065e-4,4.297970076862796e-4,7.501741880424235e-5,5.17224025560808e-4
1,base,MP shock only,0.002837006134730963,0.002023036198846275,184,,household_mortgages,country_risk,land_precip_shock,household_mortgages__country_risk__land_precip_shock,8.251818387695906e-4,0.004848830430692335,-4.905922943954509e-4,0.006164604563857376
1,climate,MP shock + 1 SD climate shock,0.0044646544642558995,0.0028088505873644105,184,,household_mortgages,country_risk,land_precip_shock,household_mortgages__country_risk__land_precip_shock,0.001671370854893016,0.007257938073618783,-1.5549361193522258e-4,0.009084802540447022
1,interaction,Interaction,0.001627648329524937,8.399447088635816e-4,184,,household_mortgages,country_risk,land_precip_shock,household_mortgages__country_risk__land_precip_shock,7.923586923352273e-4,0.002462937966714647,2.460622287119771e-4,0.0030092344303378968
2,base,MP shock only,0.0029188310651272003,0.002107756589675475,184,,household_mortgages,country_risk,land_precip_shock,household_mortgages__country_risk__land_precip_shock,8.227559086371192e-4,0.005014906221617281,-5.481200061313689e-4,0.0063857821363857694
2,climate,MP shock + 1 SD climate shock,0.004405770949815465,0.002882324690923712,184,,household_mortgages,country_risk,land_precip_shock,household_mortgages__country_risk__land_precip_shock,0.0015394204389562642,0.007272121460674665,-3.35231272102182e-4,0.00914677317173311
2,interaction,Interaction,0.0014869398846882645,8.607245077414074e-4,184,,household_mortgages,country_risk,land_precip_shock,household_mortgages__country_risk__land_precip_shock,6.309856126929876e-4,0.0023428941566835415,7.11740563237907e-5,0.0029027057130527386
3,base,MP shock only,0.0021576281631091447,0.0016506811368126465,184,,household_mortgages,country_risk,land_precip_shock,household_mortgages__country_risk__land_precip_shock,5.160952939401711e-4,0.0037991610322781182,-5.575006917175151e-4,0.004872757017935804
3,climate,MP shock + 1 SD climate shock,0.004269731890450466,0.002299351486069019,184,,household_mortgages,country_risk,land_precip_shock,household_mortgages__country_risk__land_precip_shock,0.0019831236788590686,0.006556340102041863,4.8763525895358355e-4,0.008051828521947347
3,interaction,Interaction,0.0021121037273413206,0.0010838621897214142,184,,household_mortgages,country_risk,land_precip_shock,household_mortgages__country_risk__land_precip_shock,0.001034248428459875,0.003189959026222766,3.2930907346248833e-4,0.0038948983812201526
4,base,MP shock only,0.003382361211942367,0.0016946841046901664,184,,household_mortgages,country_risk,land_precip_shock,household_mortgages__country_risk__land_precip_shock,0.001697069244482968,0.005067653179401766,5.948539158057392e-4,0.006169868508078994
4,climate,MP shock + 1 SD climate shock,0.006003669024348662,0.002569147643162211,184,,household_mortgages,country_risk,land_precip_shock,household_mortgages__country_risk__land_precip_shock,0.003448759897476243,0.00855857815122108,0.0017777972053194743,0.010229540843377849
4,interaction,Interaction,0.0026213078124062944,0.001406300191581113,184,,household_mortgages,country_risk,land_precip_shock,household_mortgages__country_risk__land_precip_shock,0.0012228015007290703,0.004019814124083519,3.081498417015515e-4,0.004934465783111037
