h,series,component,irf,se,nobs,tidy,dep,mp_shock,climate_shock,model,lo68,hi68,lo90,hi90
0,base,MP shock only,-6.041926637669423e-4,2.9170177537274046e-4,184,,household_mortgages,forward_guidance,land_precip_shock,household_mortgages__forward_guidance__land_precip_shock,-8.942777938326448e-4,-3.141075337012398e-4,-0.0010839993869769778,-1.243859405569067e-4
0,climate,MP shock + 1 SD climate shock,-4.1607834508011385e-4,2.2481327614602006e-4,184,,household_mortgages,forward_guidance,land_precip_shock,household_mortgages__forward_guidance__land_precip_shock,-6.396456797937346e-4,-1.9251101036649304e-4,-7.858632777357378e-4,-4.629341242449e-5
0,interaction,Interaction,1.8811431868682841e-4,2.6796320567046777e-4,184,,household_mortgages,forward_guidance,land_precip_shock,household_mortgages__forward_guidance__land_precip_shock,-7.836380360232473e-5,4.5459244097598156e-4,-2.526459320497836e-4,6.288745694234404e-4
1,base,MP shock only,-0.0026946050750581243,5.583182334169319e-4,184,,household_mortgages,forward_guidance,land_precip_shock,household_mortgages__forward_guidance__land_precip_shock,-0.0032498290436193352,-0.0021393811064969134,-0.003612956846287103,-0.0017762533038291456
1,climate,MP shock + 1 SD climate shock,-0.0037802487130510227,5.746340139147122e-4,184,,household_mortgages,forward_guidance,land_precip_shock,household_mortgages__forward_guidance__land_precip_shock,-0.004351698038148971,-0.003208799387953074,-0.0047254375550083196,-0.002835059871093726
1,interaction,Interaction,-0.0010856436379928984,1.6358182882411418e-4,184,,household_mortgages,forward_guidance,land_precip_shock,household_mortgages__forward_guidance__land_precip_shock,-0.0012483188772169072,-9.229683987688896e-4,-0.0013547118024375975,-8.165754735481994e-4
2,base,MP shock only,-0.0037356047599584174,8.553777316703478e-4,184,,household_mortgages,forward_guidance,land_precip_shock,household_mortgages__forward_guidance__land_precip_shock,-0.004586241888340072,-0.002884967631576763,-0.0051425759243099115,-0.0023286335956069232
2,climate,MP shock + 1 SD climate shock,-0.004810660446981634,6.345034031686041e-4,184,,household_mortgages,forward_guidance,land_precip_shock,household_mortgages__forward_guidance__land_precip_shock,-0.0054416473581860685,-0.004179673535777199,-0.005854325670996564,-0.0037669952229667032
2,interaction,Interaction,-0.0010750556870232158,3.3254446759431596e-4,184,,household_mortgages,forward_guidance,land_precip_shock,household_mortgages__forward_guidance__land_precip_shock,-0.0014057571543401736,-7.44354219706258e-4,-0.0016220426606683726,-5.28068713378059e-4
3,base,MP shock only,-0.0035459884281891555,6.478360736125462e-4,184,,household_mortgages,forward_guidance,land_precip_shock,household_mortgages__forward_guidance__land_precip_shock,-0.004190234118620806,-0.002901742737757505,-0.004611583943540753,-0.0024803929128375582
3,climate,MP shock + 1 SD climate shock,-0.005057269733959569,6.201083987329157e-4,184,,household_mortgages,forward_guidance,land_precip_shock,household_mortgages__forward_guidance__land_precip_shock,-0.005673941419524094,-0.004440598048395044,-0.0060772572827184745,-0.0040372821852006635
3,interaction,Interaction,-0.0015112813057704133,2.165294693098615e-4,184,,household_mortgages,forward_guidance,land_precip_shock,household_mortgages__forward_guidance__land_precip_shock,-0.0017266107434728295,-0.001295951868067997,-0.0018674405887066164,-0.0011551220228342102
4,base,MP shock only,-0.003502554369656197,7.085777305912553e-4,184,,household_mortgages,forward_guidance,land_precip_shock,household_mortgages__forward_guidance__land_precip_shock,-0.0042072050797095474,-0.0027979036596028463,-0.004668061019796266,-0.002337047719516128
4,climate,MP shock + 1 SD climate shock,-0.005047442112683949,8.214941154627761e-4,184,,household_mortgages,forward_guidance,land_precip_shock,household_mortgages__forward_guidance__land_precip_shock,-0.00586438341181633,-0.004230500813551568,-0.006398679688022187,-0.0036962045373457107
4,interaction,Interaction,-0.001544887743027752,4.120401174289753e-4,184,,household_mortgages,forward_guidance,land_precip_shock,household_mortgages__forward_guidance__land_precip_shock,-0.001954644286003669,-0.001135131200051835,-0.002222633424630312,-8.671420614251916e-4
