h,series,component,irf,se,nobs,tidy,dep,mp_shock,climate_shock,model,lo68,hi68,lo90,hi90
0,base,MP shock alone,-0.012299188570381814,0.008325631476447718,184,,household_mortgages,forward_guidance,pop_temp_shock,household_mortgages__forward_guidance__pop_temp_shock,-0.020578678424834504,-0.004019698715929124,-0.025993633701078177,0.001395256560314551
0,climate,MP shock with climate shock,0.0011815177790181035,0.004891048100573237,184,,household_mortgages,forward_guidance,pop_temp_shock,household_mortgages__forward_guidance__pop_temp_shock,-0.0036824235617550416,0.0060454591197912485,-0.006863540428803891,0.009226575986840098
0,interaction,Interaction (climate amplification),0.013480706349399917,0.009403462224066695,184,,household_mortgages,forward_guidance,pop_temp_shock,household_mortgages__forward_guidance__pop_temp_shock,0.004129359211211672,0.022832053487588162,-0.001986612595757338,0.028948025294557173
1,base,MP shock alone,-0.12756619722507154,0.017034572408041793,184,,household_mortgages,forward_guidance,pop_temp_shock,household_mortgages__forward_guidance__pop_temp_shock,-0.14450636204335604,-0.11062603240678703,-0.15558557543400653,-0.09954681901613653
1,climate,MP shock with climate shock,-0.001319978800574606,0.008702720485704722,184,,household_mortgages,forward_guidance,pop_temp_shock,household_mortgages__forward_guidance__pop_temp_shock,-0.00997446779295468,0.007334510191805468,-0.015634680155830888,0.012994722554681678
1,interaction,Interaction (climate amplification),0.12624621842449693,0.015675651208200324,184,,household_mortgages,forward_guidance,pop_temp_shock,household_mortgages__forward_guidance__pop_temp_shock,0.11065744350605562,0.14183499334293823,0.1004620666798624,0.15203037016913146
2,base,MP shock alone,-0.1384319464536844,0.01149062379642489,184,,household_mortgages,forward_guidance,pop_temp_shock,household_mortgages__forward_guidance__pop_temp_shock,-0.1498588878710367,-0.12700500503633208,-0.15733234068116875,-0.11953155222620003
2,climate,MP shock with climate shock,-0.03602304346204281,0.014464912366233398,184,,household_mortgages,forward_guidance,pop_temp_shock,household_mortgages__forward_guidance__pop_temp_shock,-0.05040778959458186,-0.021638297329503765,-0.05981570703117701,-0.012230379892908615
2,interaction,Interaction (climate amplification),0.10240890299164158,0.013362073653187657,184,,household_mortgages,forward_guidance,pop_temp_shock,household_mortgages__forward_guidance__pop_temp_shock,0.08912088351119977,0.1156969224720834,0.08043024767960316,0.12438755830368001
3,base,MP shock alone,-0.14234160823746056,0.013809159211061404,184,,household_mortgages,forward_guidance,pop_temp_shock,household_mortgages__forward_guidance__pop_temp_shock,-0.15607423547539914,-0.12860898099952198,-0.16505565385092524,-0.11962756262399589
3,climate,MP shock with climate shock,0.004631087503478903,0.018069451617125507,184,,household_mortgages,forward_guidance,pop_temp_shock,household_mortgages__forward_guidance__pop_temp_shock,-0.013338221102448783,0.02260039610940659,-0.02509051552597412,0.034352690532931926
