h,series,component,irf,se,nobs,tidy,dep,mp_shock,climate_shock,model,lo68,hi68,lo90,hi90
0,base,MP shock only,-0.07355927088513112,0.05477976381201894,196,,household_mortgages,miyajima_surprise,land_temp_shock,household_mortgages__miyajima_surprise__land_temp_shock,-0.12803543884836172,-0.01908310292190052,-0.16366396407487543,0.0165454223046132
0,climate,MP shock + 1 SD climate shock,-0.040295708679981924,0.020721776758792377,196,,household_mortgages,miyajima_surprise,land_temp_shock,household_mortgages__miyajima_surprise__land_temp_shock,-0.06090264293187565,-0.019688774428088196,-0.07437999833856027,-0.006211419021403576
0,interaction,Interaction,0.03326356220514919,0.03452299205520041,196,,household_mortgages,miyajima_surprise,land_temp_shock,household_mortgages__miyajima_surprise__land_temp_shock,-0.0010680993961325325,0.06759522380643092,-0.023521706490064034,0.09004883090036242
1,base,MP shock only,-0.07820457624189134,0.06586109832503728,196,,household_mortgages,miyajima_surprise,land_temp_shock,household_mortgages__miyajima_surprise__land_temp_shock,-0.14370066466807735,-0.012708487815705341,-0.1865364426968364,0.030127290213053715
1,climate,MP shock + 1 SD climate shock,-0.04836670562352866,0.024754814578866042,196,,household_mortgages,miyajima_surprise,land_temp_shock,household_mortgages__miyajima_surprise__land_temp_shock,-0.07298432612887773,-0.023749085118179598,-0.08908475216808764,-0.007648659078969687
1,interaction,Interaction,0.029837870618362676,0.042712153531001634,196,,household_mortgages,miyajima_surprise,land_temp_shock,household_mortgages__miyajima_surprise__land_temp_shock,-0.012637567169407199,0.07231330840613255,-0.04041737003201346,0.10009311126873882
2,base,MP shock only,-10.981193067534347,9.5384432069023255,196,,household_mortgages,miyajima_surprise,land_temp_shock,household_mortgages__miyajima_surprise__land_temp_shock,-20.466773108186885,-1.4956130268818093,-26.670535971878262,4.708149836809568
2,climate,MP shock + 1 SD climate shock,-0.30833589766715797,2.018855662258833,196,,household_mortgages,miyajima_surprise,land_temp_shock,household_mortgages__miyajima_surprise__land_temp_shock,-2.3160028260631016,1.6993310307287857,-3.629057956025114,3.0123861606907982
2,interaction,Interaction,10.67285716986719,9.277063813536067,196,,household_mortgages,miyajima_surprise,land_temp_shock,household_mortgages__miyajima_surprise__land_temp_shock,1.4472079274563114,19.898506412278067,-4.586554891287861,25.93226923102224
3,base,MP shock only,9.7181395473079,8.507139534153751,192,,household_mortgages,miyajima_surprise,land_temp_shock,household_mortgages__miyajima_surprise__land_temp_shock,1.2581475740033543,18.178131520612446,-4.274859770427151,23.711138865042948
3,climate,MP shock + 1 SD climate shock,1.5239465403760057,2.2872249495087407,192,,household_mortgages,miyajima_surprise,land_temp_shock,household_mortgages__miyajima_surprise__land_temp_shock,-0.7506023413369913,3.798495422089003,-2.2382037134773425,5.286096794229354
3,interaction,Interaction,-8.194193006931894,6.789933256050994,192,,household_mortgages,miyajima_surprise,land_temp_shock,household_mortgages__miyajima_surprise__land_temp_shock,-14.946495659879872,-1.441890353983914,-19.362639349905784,2.9742533360419987
4,base,MP shock only,-8.774699796610456,10.448146639747831,188,,household_mortgages,miyajima_surprise,land_temp_shock,household_mortgages__miyajima_surprise__land_temp_shock,-19.16494158743918,1.615541994218269,-25.960371691920507,8.410972098699595
4,climate,MP shock + 1 SD climate shock,-0.8063773084211565,2.163371083926696,188,,household_mortgages,miyajima_surprise,land_temp_shock,household_mortgages__miyajima_surprise__land_temp_shock,-2.957758737140088,1.3450041202977752,-4.364806082259919,2.7520514654176056
4,interaction,Interaction,7.968322488189299,9.773762332637949,188,,household_mortgages,miyajima_surprise,land_temp_shock,household_mortgages__miyajima_surprise__land_temp_shock,-1.751272512121055,17.687917488499654,-8.108085933611905,24.044730909990506
5,base,MP shock only,-10.540779295649003,11.644858688814194,184,,household_mortgages,miyajima_surprise,land_temp_shock,household_mortgages__miyajima_surprise__land_temp_shock,-22.121100817603867,1.0395422263058638,-29.694867345282386,8.61330875398438
5,climate,MP shock + 1 SD climate shock,-7.345454830768199,6.55718264834101,184,,household_mortgages,miyajima_surprise,land_temp_shock,household_mortgages__miyajima_surprise__land_temp_shock,-13.866296807057125,-0.8246128544792741,-18.131060492475164,3.4401508309387676
5,interaction,Interaction,3.1953244648808035,5.50815531088067,184,,household_mortgages,miyajima_surprise,land_temp_shock,household_mortgages__miyajima_surprise__land_temp_shock,-2.2823040059681476,8.672952935729754,-5.864784776033277,12.255433705794884
6,base,MP shock only,8.84664658833282,6.488791561434484,180,,household_mortgages,miyajima_surprise,land_temp_shock,household_mortgages__miyajima_surprise__land_temp_shock,2.393816667559374,15.299476509106267,-1.8264657460247928,19.519758922690436
6,climate,MP shock + 1 SD climate shock,-0.14460840163116906,1.0495864043212606,180,,household_mortgages,miyajima_surprise,land_temp_shock,household_mortgages__miyajima_surprise__land_temp_shock,-1.1883778755182262,0.899161072255888,-1.8710244055779481,1.58180760231561
6,interaction,Interaction,-8.99125498996399,6.5641638659479735,180,,household_mortgages,miyajima_surprise,land_temp_shock,household_mortgages__miyajima_surprise__land_temp_shock,-15.519039493136562,-2.463470486791417,-19.788343732772304,1.8058337528443271
7,base,MP shock only,-0.48940107990305376,3.4274972803383785,176,,household_mortgages,miyajima_surprise,land_temp_shock,household_mortgages__miyajima_surprise__land_temp_shock,-3.897902770015544,2.919100610209436,-6.127132412833941,5.148330253027833
7,climate,MP shock + 1 SD climate shock,-2.1802617054932227,2.1853119220814743,176,,household_mortgages,miyajima_surprise,land_temp_shock,household_mortgages__miyajima_surprise__land_temp_shock,-4.3534623736794025,-0.00706103730704255,-5.774779946549227,1.4142565355627816
7,interaction,Interaction,-1.6908606255901688,1.7251739613965995,176,,household_mortgages,miyajima_surprise,land_temp_shock,household_mortgages__miyajima_surprise__land_temp_shock,-3.4064734714092157,0.02475222022887813,-4.528519273115604,1.146798021935266
8,base,MP shock only,13.784596043819818,11.5386138332059,172,,household_mortgages,miyajima_surprise,land_temp_shock,household_mortgages__miyajima_surprise__land_temp_shock,2.3099305560751002,25.259261531564533,-5.194734769721329,32.763926857360964
8,climate,MP shock + 1 SD climate shock,1.7677936119403963,2.1571699590203828,172,,household_mortgages,miyajima_surprise,land_temp_shock,household_mortgages__miyajima_surprise__land_temp_shock,-0.3774210592306839,3.9130082831114765,-1.7804352191050374,5.31602244298583
8,interaction,Interaction,-12.016802431879421,10.153385249727467,172,,household_mortgages,miyajima_surprise,land_temp_shock,household_mortgages__miyajima_surprise__land_temp_shock,-22.11391643473653,-1.9196884290223117,-28.71763498572922,4.684030121970375
9,base,MP shock only,5.840154430436059,6.0731928315098,168,,household_mortgages,miyajima_surprise,land_temp_shock,household_mortgages__miyajima_surprise__land_temp_shock,-0.19938005711182427,11.879688917983943,-4.149358825648513,15.829667686520633
9,climate,MP shock + 1 SD climate shock,-0.5064557042815094,2.174774097583056,168,,household_mortgages,miyajima_surprise,land_temp_shock,household_mortgages__miyajima_surprise__land_temp_shock,-2.6691769498233566,1.6562655412603378,-4.083640766491113,3.070729357928094
9,interaction,Interaction,-6.346610134717569,6.720475761970365,168,,household_mortgages,miyajima_surprise,land_temp_shock,household_mortgages__miyajima_surprise__land_temp_shock,-13.029840235129072,0.3366199656939335,-17.400809066633975,4.70758879719884
10,base,MP shock only,5.186776677088331,5.651800345380448,164,,household_mortgages,miyajima_surprise,land_temp_shock,household_mortgages__miyajima_surprise__land_temp_shock,-0.43370073070286175,10.807254084879524,-4.10960761981628,14.483160973992941
10,climate,MP shock + 1 SD climate shock,-0.02211057447124709,0.9915128915091908,164,,household_mortgages,miyajima_surprise,land_temp_shock,household_mortgages__miyajima_surprise__land_temp_shock,-1.0081283857366587,0.9639072367941645,-1.6530041502392805,1.6087830012967863
10,interaction,Interaction,-5.208887251559578,5.4281285320400885,164,,household_mortgages,miyajima_surprise,land_temp_shock,household_mortgages__miyajima_surprise__land_temp_shock,-10.60693246132263,0.1891579582034737,-14.137364155044484,3.719589651925328
11,base,MP shock only,5.149771590550827,3.793794182724507,160,,household_mortgages,miyajima_surprise,land_temp_shock,household_mortgages__miyajima_surprise__land_temp_shock,1.3770030582651378,8.922540122836516,-1.090464530810972,11.390007711912627
11,climate,MP shock + 1 SD climate shock,2.030560531665447,1.6530945862060065,160,,household_mortgages,miyajima_surprise,land_temp_shock,household_mortgages__miyajima_surprise__land_temp_shock,0.3866275887215189,3.6744934746093754,-0.6885380941493446,4.749659157480239
11,interaction,Interaction,-3.11921105888538,2.864354325986418,160,,household_mortgages,miyajima_surprise,land_temp_shock,household_mortgages__miyajima_surprise__land_temp_shock,-5.967690798668533,-0.27073131910222736,-7.830654660858277,1.5922325430875173
12,base,MP shock only,-27.89194061411584,23.105937785701745,156,,household_mortgages,miyajima_surprise,land_temp_shock,household_mortgages__miyajima_surprise__land_temp_shock,-50.86982259406105,-4.91405863417063,-65.8978261850424,10.113944956810727
12,climate,MP shock + 1 SD climate shock,-15.44402032284626,13.784261544550885,156,,household_mortgages,miyajima_surprise,land_temp_shock,household_mortgages__miyajima_surprise__land_temp_shock,-29.151887880049937,-1.7361527656425828,-38.11711291924848,7.229072273555957
12,interaction,Interaction,12.447920291269579,10.174150404695443,156,,household_mortgages,miyajima_surprise,land_temp_shock,household_mortgages__miyajima_surprise__land_temp_shock,2.3301562163584943,22.565684366180662,-4.2870679030435,29.182908485582658
