h,series,component,irf,se,nobs,tidy,dep,mp_shock,climate_shock,model,lo68,hi68,lo90,hi90
0,base,MP shock only,0.021697629762373653,0.013483750469439991,196,,household_mortgages,romer_surprise,pop_precip_shock,household_mortgages__romer_surprise__pop_precip_shock,0.008288607812805843,0.03510665171194147,-4.8116610219332487e-4,0.043876425626940635
0,climate,MP shock + 1 SD climate shock,0.016083561353161975,0.012430408180509493,196,,household_mortgages,romer_surprise,pop_precip_shock,household_mortgages__romer_surprise__pop_precip_shock,0.003722043946539305,0.028445078759784644,-0.004362640627036306,0.036529763333360256
0,interaction,Interaction,-0.005614068409211679,0.0033409054572288107,196,,household_mortgages,romer_surprise,pop_precip_shock,household_mortgages__romer_surprise__pop_precip_shock,-0.008936458178211355,-0.0022916786402120033,-0.011109368867836453,-1.1876795058690572e-4
1,base,MP shock only,0.021152757738384858,0.0147012169849857,196,,household_mortgages,romer_surprise,pop_precip_shock,household_mortgages__romer_surprise__pop_precip_shock,0.006533016614888707,0.03577249886188101,-0.0030285923399694485,0.04533410781673916
1,climate,MP shock + 1 SD climate shock,0.01869455811152334,0.014775804848341432,196,,household_mortgages,romer_surprise,pop_precip_shock,household_mortgages__romer_surprise__pop_precip_shock,0.00400064249932131,0.033388473723725366,-0.005609478084398201,0.042998594307444876
1,interaction,Interaction,-0.0024581996268615187,0.004523499941179018,196,,household_mortgages,romer_surprise,pop_precip_shock,household_mortgages__romer_surprise__pop_precip_shock,-0.006956629803065848,0.0020402305493428105,-0.009898694911624595,0.0049822956579015565
2,base,MP shock only,1.237585160074251,0.9471319795235473,196,,household_mortgages,romer_surprise,pop_precip_shock,household_mortgages__romer_surprise__pop_precip_shock,0.29570229659700065,2.179468023551501,-0.32030831164678286,2.7954786317952847
2,climate,MP shock + 1 SD climate shock,2.6853702863924847,1.311541776462047,196,,household_mortgages,romer_surprise,pop_precip_shock,household_mortgages__romer_surprise__pop_precip_shock,1.381097227630878,3.989643345154091,0.5280760384805108,4.8426645343044585
2,interaction,Interaction,1.4477851263182335,0.937203167863199,196,,household_mortgages,romer_surprise,pop_precip_shock,household_mortgages__romer_surprise__pop_precip_shock,0.5157760478675216,2.3797942047689453,-0.09377690353195822,2.9893471561684253
3,base,MP shock only,2.9159260054356335,2.5982064727744363,192,,household_mortgages,romer_surprise,pop_precip_shock,household_mortgages__romer_surprise__pop_precip_shock,0.33211909637848835,5.499732914492778,-1.3577433348761878,7.189595345747454
3,climate,MP shock + 1 SD climate shock,3.274251629461852,1.9152139388493332,192,,household_mortgages,romer_surprise,pop_precip_shock,household_mortgages__romer_surprise__pop_precip_shock,1.3696520299399302,5.178851228983774,0.12400503575751243,6.424498223166191
3,interaction,Interaction,0.35832562402621837,1.3513681961207011,192,,household_mortgages,romer_surprise,pop_precip_shock,household_mortgages__romer_surprise__pop_precip_shock,-0.9855531317249567,1.7022043797773936,-1.8644772547097843,2.5811285027622213
4,base,MP shock only,1.829223005354211,1.0921202761875002,188,,household_mortgages,romer_surprise,pop_precip_shock,household_mortgages__romer_surprise__pop_precip_shock,0.7431553872863383,2.9152906234220834,0.032845007999958487,3.6256010027084633
4,climate,MP shock + 1 SD climate shock,3.6919474540568116,1.6299800854338593,188,,household_mortgages,romer_surprise,pop_precip_shock,household_mortgages__romer_surprise__pop_precip_shock,2.071000908622203,5.31289399949142,1.0108687986722589,6.373026109441364
4,interaction,Interaction,1.8627244487026007,0.8067449362757427,188,,household_mortgages,romer_surprise,pop_precip_shock,household_mortgages__romer_surprise__pop_precip_shock,1.0604505870836383,2.664998310321563,0.5357471142447114,3.1897017831604897
5,base,MP shock only,2.1168318904721946,2.5794374270655958,184,,household_mortgages,romer_surprise,pop_precip_shock,household_mortgages__romer_surprise__pop_precip_shock,-0.4483099931194703,4.681973774063859,-2.1259651169310225,6.359628897875412
5,climate,MP shock + 1 SD climate shock,11.23798377751748,3.423340252157834,184,,household_mortgages,romer_surprise,pop_precip_shock,household_mortgages__romer_surprise__pop_precip_shock,7.833616076849857,14.642351478185102,5.6070901474667005,16.86887740756826
5,interaction,Interaction,9.121151887045285,3.0098724492373115,184,,household_mortgages,romer_surprise,pop_precip_shock,household_mortgages__romer_surprise__pop_precip_shock,6.127960502445392,12.114343271645177,4.170352272255984,14.071951501834585
6,base,MP shock only,2.1777834531794618,2.7830275193479364,180,,household_mortgages,romer_surprise,pop_precip_shock,household_mortgages__romer_surprise__pop_precip_shock,-0.5898202026257775,4.945387108984701,-2.3998894559257478,6.755456362284671
