h,series,component,irf,se,nobs,tidy,dep,mp_shock,climate_shock,model,lo68,hi68,lo90,hi90
0,base,MP shock alone,0.00934880073193357,0.021308096597827654,184,,household_secured_credit,country_risk,pop_precip_shock,household_secured_credit__country_risk__pop_precip_shock,-0.011841203905971064,0.030538805369838204,-0.025699899240435555,0.04439750070430269
0,climate,MP shock with climate shock,0.038789415248757585,0.02097916134480493,184,,household_secured_credit,country_risk,pop_precip_shock,household_secured_credit__country_risk__pop_precip_shock,0.017926522866286994,0.059652307631228176,0.004281765620355087,0.07329706487716009
0,interaction,Interaction (climate amplification),0.029440614516824015,0.012611609560242558,184,,household_secured_credit,country_risk,pop_precip_shock,household_secured_credit__country_risk__pop_precip_shock,0.016898899969677313,0.041982329063970716,0.008696362789963191,0.05018486624368484
1,base,MP shock alone,0.09440809190142231,0.03903512266154999,184,,household_secured_credit,country_risk,pop_precip_shock,household_secured_credit__country_risk__pop_precip_shock,0.055589306448584244,0.13322687735426036,0.030201028813076236,0.1586151549897684
1,climate,MP shock with climate shock,0.10709989747164383,0.029823649201053033,184,,household_secured_credit,country_risk,pop_precip_shock,household_secured_credit__country_risk__pop_precip_shock,0.07744153441757438,0.13675826052571327,0.0580443599143634,0.15615543502892426
1,interaction,Interaction (climate amplification),0.012691805570221521,0.01945743040630859,184,,household_secured_credit,country_risk,pop_precip_shock,household_secured_credit__country_risk__pop_precip_shock,-0.006657789484337208,0.03204140062478025,-0.019312819404751005,0.04469643054519405
2,base,MP shock alone,0.1314223013717613,0.047622810917455925,184,,household_secured_credit,country_risk,pop_precip_shock,household_secured_credit__country_risk__pop_precip_shock,0.08406342163428976,0.17878118110923286,0.05308974810855979,0.20975485463496282
2,climate,MP shock with climate shock,0.1494487517260424,0.045531116631453435,184,,household_secured_credit,country_risk,pop_precip_shock,household_secured_credit__country_risk__pop_precip_shock,0.10416997386055084,0.194727529591534,0.07455672939564577,0.22434077405643904
2,interaction,Interaction (climate amplification),0.018026450354281104,0.015815534089198943,184,,household_secured_credit,country_risk,pop_precip_shock,household_secured_credit__country_risk__pop_precip_shock,0.0022985678021046306,0.033754332906457574,-0.007987788254512414,0.04404068896307462
3,base,MP shock alone,0.21245107550872488,0.060920937025013305,184,,household_secured_credit,country_risk,pop_precip_shock,household_secured_credit__country_risk__pop_precip_shock,0.15186776943167546,0.2730343815857743,0.11224505128584956,0.3126570997316002
3,climate,MP shock with climate shock,0.23984147883511797,0.049063923166903875,184,,household_secured_credit,country_risk,pop_precip_shock,household_secured_credit__country_risk__pop_precip_shock,0.19104947366059277,0.28863348400964317,0.1591385068615678,0.3205444508086681
