h,series,component,irf,se,nobs,tidy,dep,mp_shock,climate_shock,model,lo68,hi68,lo90,hi90
0,base,MP shock alone,-0.004424185977287964,0.007100752337397144,196,,household_secured_credit,miyajima_surprise,pop_precip_shock,household_secured_credit__miyajima_surprise__pop_precip_shock,-0.011485585115932635,0.0026372131613567077,-0.016103884213539796,0.007255512258963867
0,climate,MP shock with climate shock,-0.004139241726524128,0.009551050809348292,196,,household_secured_credit,miyajima_surprise,pop_precip_shock,household_secured_credit__miyajima_surprise__pop_precip_shock,-0.013637359496817433,0.005358876043769175,-0.01984932229147845,0.011570838838430197
0,interaction,Interaction (climate amplification),2.849442507638353e-4,0.002734445079061178,196,,household_secured_credit,miyajima_surprise,pop_precip_shock,household_secured_credit__miyajima_surprise__pop_precip_shock,-0.0024343462143126705,0.0030042347158403407,-0.004212817655229547,0.004782706156757218
1,base,MP shock alone,-0.010988702697003238,0.006187611455306901,196,,household_secured_credit,miyajima_surprise,pop_precip_shock,household_secured_credit__miyajima_surprise__pop_precip_shock,-0.01714202168697216,-0.004835383707034316,-0.021166417841431265,-8.109875525752087e-4
1,climate,MP shock with climate shock,-0.009343064481382007,0.007965547686701963,196,,household_secured_credit,miyajima_surprise,pop_precip_shock,household_secured_credit__miyajima_surprise__pop_precip_shock,-0.017264466172505988,-0.0014216627902580263,-0.022445224484508634,0.0037590955217446202
1,interaction,Interaction (climate amplification),0.0016456382156212308,0.00228357923372276,196,,household_secured_credit,miyajima_surprise,pop_precip_shock,household_secured_credit__miyajima_surprise__pop_precip_shock,-6.252851552884552e-4,0.0039165615865309165,-0.0021105153693987133,0.005401791800641174
2,base,MP shock alone,-0.016509869640909038,0.006146792488355578,196,,household_secured_credit,miyajima_surprise,pop_precip_shock,household_secured_credit__miyajima_surprise__pop_precip_shock,-0.02262259588740874,-0.010397143394409338,-0.02662044355949877,-0.006399295722319304
2,climate,MP shock with climate shock,-0.014448780180017136,0.007588047404916982,196,,household_secured_credit,miyajima_surprise,pop_precip_shock,household_secured_credit__miyajima_surprise__pop_precip_shock,-0.021994773740006142,-0.006902786620028132,-0.026930007475474534,-0.001967552884559737
2,interaction,Interaction (climate amplification),0.0020610894608919014,0.002317650212588014,196,,household_secured_credit,miyajima_surprise,pop_precip_shock,household_secured_credit__miyajima_surprise__pop_precip_shock,-2.4371606353900972e-4,0.004365894985322812,-0.0017511058972883428,0.0058732848190721455
3,base,MP shock alone,-0.01933410414622589,0.00830239531720414,192,,household_secured_credit,miyajima_surprise,pop_precip_shock,household_secured_credit__miyajima_surprise__pop_precip_shock,-0.02759048661894329,-0.011077721673508492,-0.032990329196114034,-0.005677879096337747
