h,series,component,irf,se,nobs,tidy,dep,mp_shock,climate_shock,model,lo68,hi68,lo90,hi90
0,base,MP shock alone,-0.0028235442011770562,0.00811206075436108,184,,household_secured_credit,target,pop_precip_shock,household_secured_credit__target__pop_precip_shock,-0.01089064696742789,0.0052435585650737766,-0.016166696755038568,0.010519608352684456
0,climate,MP shock with climate shock,0.004380772383923724,0.008971448068141685,184,,household_secured_credit,target,pop_precip_shock,household_secured_credit__target__pop_precip_shock,-0.004540954871246686,0.013302499639094134,-0.010375946509965898,0.019137491277813348
0,interaction,Interaction (climate amplification),0.007204316585100781,0.0020052637912489576,184,,household_secured_credit,target,pop_precip_shock,household_secured_credit__target__pop_precip_shock,0.0052101661999781786,0.009198466970223383,0.0039059511650704746,0.010502682005131088
1,base,MP shock alone,-0.016066546103297375,0.005466840686798774,184,,household_secured_credit,target,pop_precip_shock,household_secured_credit__target__pop_precip_shock,-0.021503088920536238,-0.010630003286058513,-0.025058698834944212,-0.0070743933716505385
1,climate,MP shock with climate shock,-0.007044902746675482,0.00651303079999846,184,,household_secured_credit,target,pop_precip_shock,household_secured_credit__target__pop_precip_shock,-0.013521837569321876,-5.679679240290876e-4,-0.017757885080499594,0.0036680795871486295
1,interaction,Interaction (climate amplification),0.009021643356621893,0.0031165626314459778,184,,household_secured_credit,target,pop_precip_shock,household_secured_credit__target__pop_precip_shock,0.005922353079263507,0.012120933633980278,0.0038953540086665538,0.014147932704577232
2,base,MP shock alone,0.004716763499713454,0.006231002944665781,184,,household_secured_credit,target,pop_precip_shock,household_secured_credit__target__pop_precip_shock,-0.0014797064989126177,0.010913233498339527,-0.005532324293365354,0.014965851292792261
2,climate,MP shock with climate shock,0.01461528513301914,0.008657570940659505,184,,household_secured_credit,target,pop_precip_shock,household_secured_credit__target__pop_precip_shock,0.006005695461632616,0.023224874804405663,3.748481706856901e-4,0.028855722095352587
2,interaction,Interaction (climate amplification),0.009898521633305684,0.004980467652048109,184,,household_secured_credit,target,pop_precip_shock,household_secured_credit__target__pop_precip_shock,0.004945656314655272,0.014851386951956097,0.0017063813519198733,0.018090661914691497
3,base,MP shock alone,4.554617518993279e-4,0.006702950715969336,184,,household_secured_credit,target,pop_precip_shock,household_secured_credit__target__pop_precip_shock,-0.006210340428362837,0.007121263932161494,-0.010569911044539797,0.011480834548338453
3,climate,MP shock with climate shock,0.006138969909949584,0.007642243637502546,184,,household_secured_credit,target,pop_precip_shock,household_secured_credit__target__pop_precip_shock,-0.0014609195207744034,0.013738859340673572,-0.006431402255243286,0.01870934207514245
3,interaction,Interaction (climate amplification),0.0056835081580502555,0.004453196369342771,184,,household_secured_credit,target,pop_precip_shock,household_secured_credit__target__pop_precip_shock,0.0012549919230762851,0.010112024393024225,-0.0016413480415903266,0.013008364357690837
4,base,MP shock alone,-9.85205369194233e-4,0.00892763335234002,184,,household_secured_credit,target,pop_precip_shock,household_secured_credit__target__pop_precip_shock,-0.009863360734835083,0.007892949996446616,-0.01566985546888364,0.013699444730495175
4,climate,MP shock with climate shock,0.01025683224072152,0.011984574311102277,184,,household_secured_credit,target,pop_precip_shock,household_secured_credit__target__pop_precip_shock,-0.0016613221598672373,0.022174986641310276,-0.009456038282364493,0.029969702763807532
4,interaction,Interaction (climate amplification),0.011242037609915753,0.005967554032280456,184,,household_secured_credit,target,pop_precip_shock,household_secured_credit__target__pop_precip_shock,0.005307556459034303,0.017176518760797205,0.001426284715890366,0.02105779050394114
5,base,MP shock alone,-0.028377910472698397,0.00909898059089906,184,,household_secured_credit,target,pop_precip_shock,household_secured_credit__target__pop_precip_shock,-0.037426463450490506,-0.019329357494906288,-0.04334440169919976,-0.013411419246197034
5,climate,MP shock with climate shock,-0.01222041162170746,0.01035827048343239,184,,household_secured_credit,target,pop_precip_shock,household_secured_credit__target__pop_precip_shock,-0.022521275360375702,-0.001919547883039217,-0.0292582503953256,0.004817427151910681
5,interaction,Interaction (climate amplification),0.016157498850990937,0.007269205256445286,184,,household_secured_credit,target,pop_precip_shock,household_secured_credit__target__pop_precip_shock,0.008928580379049146,0.02338641732293273,0.004200720219872207,0.028114277482109665
6,base,MP shock alone,-0.027900684782560404,0.009158535283936156,180,,household_secured_credit,target,pop_precip_shock,household_secured_credit__target__pop_precip_shock,-0.03700846239432539,-0.018792907170795417,-0.04296513476190582,-0.012836234803214991
6,climate,MP shock with climate shock,-0.011694762812847873,0.00960683248003258,180,,household_secured_credit,target,pop_precip_shock,household_secured_credit__target__pop_precip_shock,-0.02124835310529178,-0.0021411725204039684,-0.027496596061144664,0.004107070435448917
6,interaction,Interaction (climate amplification),0.01620592196971253,0.008152449880264052,180,,household_secured_credit,target,pop_precip_shock,household_secured_credit__target__pop_precip_shock,0.008098653918811535,0.024313190020613527,0.002796335215620116,0.029615508723804945
7,base,MP shock alone,-0.025073367437132222,0.01133184967662921,176,,household_secured_credit,target,pop_precip_shock,household_secured_credit__target__pop_precip_shock,-0.036342414679404036,-0.013804320194860411,-0.04371260147780464,-0.006434133396459804
7,climate,MP shock with climate shock,0.0019431473114017613,0.009480093920161485,176,,household_secured_credit,target,pop_precip_shock,household_secured_credit__target__pop_precip_shock,-0.007484406821071682,0.011370701443875204,-0.013650219557016452,0.017536514179819974
