h,series,component,irf,se,nobs,tidy,dep,mp_shock,climate_shock,model,lo68,hi68,lo90,hi90
0,base,MP shock alone,-3.3539776107388087e-4,6.964376122375871e-4,184,,household_secured_credit,target,pop_temp_shock,household_secured_credit__target__pop_temp_shock,-0.0010279756347273267,3.5718011257956494e-4,-0.0014809356935082986,8.101401713605369e-4
0,climate,MP shock during a 1 SD climate shock,-6.922945157060538e-4,2.8668271083979573e-4,184,,household_secured_credit,target,pop_temp_shock,household_secured_credit__target__pop_temp_shock,-9.77388397480631e-4,-4.0720063393147673e-4,-0.0011638456124151717,-2.2074341899693586e-4
0,interaction,Interaction (climate amplification),-3.568967546321729e-4,4.403572632739551e-4,184,,household_secured_credit,target,pop_temp_shock,household_secured_credit__target__pop_temp_shock,-7.948135065236302e-4,8.101999725928453e-5,-0.001081219996282762,3.674264870184162e-4
1,base,MP shock alone,-0.0015355124773029454,9.158116857371313e-4,184,,household_secured_credit,target,pop_temp_shock,household_secured_credit__target__pop_temp_shock,-0.002446248627719849,-6.24776326886042e-4,-0.003041888650192207,-2.9136304413683633e-5
1,climate,MP shock during a 1 SD climate shock,-0.0012948471117352844,4.4297688346944065e-4,184,,household_secured_credit,target,pop_temp_shock,household_secured_credit__target__pop_temp_shock,-0.001735368965581158,-8.54325257889411e-4,-0.0020234792451656533,-5.662149783049156e-4
1,interaction,Interaction (climate amplification),2.4066536556766087e-4,5.079236604427029e-4,184,,household_secured_credit,target,pop_temp_shock,household_secured_credit__target__pop_temp_shock,-2.6444332262833887e-4,7.457740537636607e-4,-5.947947095259866e-4,0.0010761254406613085
2,base,MP shock alone,-0.001637383434900232,9.015282042411008e-4,184,,household_secured_credit,target,pop_temp_shock,household_secured_credit__target__pop_temp_shock,-0.002533915264543727,-7.408516052567368e-4,-0.0031202653714452536,-1.5450149835521043e-4
2,climate,MP shock during a 1 SD climate shock,-0.0010419197515460223,6.282592588784051e-4,184,,household_secured_credit,target,pop_temp_shock,household_secured_credit__target__pop_temp_shock,-0.0016666971242371696,-4.171423788548752e-4,-0.00207531427217801,-8.525230914034317e-6
2,interaction,Interaction (climate amplification),5.954636833542097e-4,3.6646021565274565e-4,184,,household_secured_credit,target,pop_temp_shock,household_secured_credit__target__pop_temp_shock,2.3103443301559053e-4,9.598929336928287e-4,-7.309731495627465e-6,0.0011982370982040469
3,base,MP shock alone,-0.001575016344959356,5.833934412224178e-4,184,,household_secured_credit,target,pop_temp_shock,household_secured_credit__target__pop_temp_shock,-0.0021551765515958553,-9.948561383228568e-4,-0.00253461316269375,-6.154195272249619e-4
3,climate,MP shock during a 1 SD climate shock,-0.0011128875824976195,7.012380313505647e-4,184,,household_secured_credit,target,pop_temp_shock,household_secured_credit__target__pop_temp_shock,-0.0018102392707806767,-4.155358942145623e-4,-0.0022663215017209052,4.0546336725666475e-5
3,interaction,Interaction (climate amplification),4.6212876246173667e-4,3.4395120334987573e-4,184,,household_secured_credit,target,pop_temp_shock,household_secured_credit__target__pop_temp_shock,1.2008377685097184e-4,8.041737480725016e-4,-1.0362062186262955e-4,0.0010278781467861029
4,base,MP shock alone,-0.0014643458337965365,6.094286237877317e-4,184,,household_secured_credit,target,pop_temp_shock,household_secured_credit__target__pop_temp_shock,-0.0020703969329759174,-8.582947346171557e-4,-0.002466766716001831,-4.6192495159124206e-4
4,climate,MP shock during a 1 SD climate shock,-0.00145754549729067,7.986960724577153e-4,184,,household_secured_credit,target,pop_temp_shock,household_secured_credit__target__pop_temp_shock,-0.0022518151028349132,-6.632758917464268e-4,-0.0027712836289046383,-1.4380736567670173e-4
4,interaction,Interaction (climate amplification),6.800336505866477e-6,5.260381802393625e-4,184,,household_secured_credit,target,pop_temp_shock,household_secured_credit__target__pop_temp_shock,-5.163224787024806e-4,5.299231517142136e-4,-8.584554721758009e-4,8.720561451875339e-4
5,base,MP shock alone,-0.0010262007816924895,0.058744347822314864,184,,household_secured_credit,target,pop_temp_shock,household_secured_credit__target__pop_temp_shock,-0.059444980567609204,0.05739257900422423,-0.09765205436012588,0.09559965279674089
5,climate,MP shock during a 1 SD climate shock,0.02467539998854537,0.02559820463161733,184,,household_secured_credit,target,pop_temp_shock,household_secured_credit__target__pop_temp_shock,-7.809364033829029e-4,0.05013173638047365,-0.017429899743216355,0.06678069972030709
5,interaction,Interaction (climate amplification),0.02570160077023786,0.04676043795678871,184,,household_secured_credit,target,pop_temp_shock,household_secured_credit__target__pop_temp_shock,-0.02079968537823124,0.07220288691870697,-0.05121247520082531,0.10261567674130104
6,base,MP shock alone,-0.1573265530616056,0.15446841510041034,180,,household_secured_credit,target,pop_temp_shock,household_secured_credit__target__pop_temp_shock,-0.3109388861651251,-0.0037142199580860458,-0.411404485888961,0.09675137976574982
6,climate,MP shock during a 1 SD climate shock,0.0712460913950912,0.09518291214702819,180,,household_secured_credit,target,pop_temp_shock,household_secured_credit__target__pop_temp_shock,-0.023409305936382366,0.16590148872656474,-0.0853158668737514,0.22780804966393378
6,interaction,Interaction (climate amplification),0.22857264445669678,0.24071984130488377,180,,household_secured_credit,target,pop_temp_shock,household_secured_credit__target__pop_temp_shock,-0.010813099373945673,0.46795838828733927,-0.16737625959282393,0.6245215485062174
7,base,MP shock alone,-0.053808606663080044,0.07955941564031757,176,,household_secured_credit,target,pop_temp_shock,household_secured_credit__target__pop_temp_shock,-0.13292709473015518,0.025309881403995108,-0.18467220003719603,0.07705498671103594
7,climate,MP shock during a 1 SD climate shock,0.0629993453299245,0.06991091216067262,176,,household_secured_credit,target,pop_temp_shock,household_secured_credit__target__pop_temp_shock,-0.00652411239064099,0.13252280305049,-0.05199387210104359,0.1779925627608926
7,interaction,Interaction (climate amplification),0.11680795199300455,0.14547450396199696,176,,household_secured_credit,target,pop_temp_shock,household_secured_credit__target__pop_temp_shock,-0.027860315278031803,0.2614762192640409,-0.12247631347785236,0.35609221746386144
8,base,MP shock alone,0.011469603659975788,0.05292194393673298,172,,household_secured_credit,target,pop_temp_shock,household_secured_credit__target__pop_temp_shock,-0.041159040682692924,0.0640982480026445,-0.07557924776968189,0.09851845508963347
8,climate,MP shock during a 1 SD climate shock,-0.013418285636918142,0.03300038732173662,172,,household_secured_credit,target,pop_temp_shock,household_secured_credit__target__pop_temp_shock,-0.04623578095799433,0.01939920968415804,-0.06769909241387999,0.0408625211400437
8,interaction,Interaction (climate amplification),-0.02488788929689393,0.046570418217146275,172,,household_secured_credit,target,pop_temp_shock,household_secured_credit__target__pop_temp_shock,-0.07120020881731015,0.021424430223522285,-0.10148941061001387,0.05171363201622601
9,base,MP shock alone,0.035434592876211826,0.04487258054000944,168,,household_secured_credit,target,pop_temp_shock,household_secured_credit__target__pop_temp_shock,-0.009189298581765128,0.08005848433418877,-0.03837423397569473,0.10924341972811838
9,climate,MP shock during a 1 SD climate shock,-0.007791711233748104,0.03227155766924114,168,,household_secured_credit,target,pop_temp_shock,household_secured_credit__target__pop_temp_shock,-0.03988441616138313,0.02430099369388692,-0.06087369991337297,0.04529027744587676
9,interaction,Interaction (climate amplification),-0.04322630410995993,0.04574344915340309,168,,household_secured_credit,target,pop_temp_shock,household_secured_credit__target__pop_temp_shock,-0.08871623772576614,0.0022636295058462846,-0.11846758235920521,0.032014974139285356
10,base,MP shock alone,-0.05236647190897097,0.07537379459074342,164,,household_secured_credit,target,pop_temp_shock,household_secured_credit__target__pop_temp_shock,-0.12732253612716843,0.022589592309226476,-0.1763453313186505,0.07161238750070856
10,climate,MP shock during a 1 SD climate shock,-0.053280561762201965,0.05113744332265546,164,,household_secured_credit,target,pop_temp_shock,household_secured_credit__target__pop_temp_shock,-0.10413459540160865,-0.002426528122795285,-0.13739417088449712,0.030833047360093187
10,interaction,Interaction (climate amplification),-9.140898532309928e-4,0.037123963106086205,164,,household_secured_credit,target,pop_temp_shock,household_secured_credit__target__pop_temp_shock,-0.03783230762006646,0.036004127913604474,-0.0619775752150895,0.060149395508627516
11,base,MP shock alone,0.1414486713013952,0.11121634917541984,160,,household_secured_credit,target,pop_temp_shock,household_secured_credit__target__pop_temp_shock,0.030848696122090416,0.2520486464807,-0.0414859440160954,0.3243832866188858
11,climate,MP shock during a 1 SD climate shock,0.09906759719576841,0.08852315319909462,160,,household_secured_credit,target,pop_temp_shock,household_secured_credit__target__pop_temp_shock,0.011035049650344075,0.18710014474119274,-0.04654003241294313,0.24467522680447995
11,interaction,Interaction (climate amplification),-0.04238107410562681,0.06215316174762809,160,,household_secured_credit,target,pop_temp_shock,household_secured_credit__target__pop_temp_shock,-0.10418977577196645,0.019427627560712826,-0.14461392763271433,0.059851779421460714
12,base,MP shock alone,-0.01924151784687815,0.058805795743669634,156,,household_secured_credit,target,pop_temp_shock,household_secured_credit__target__pop_temp_shock,-0.07772140500259297,0.039238369308836674,-0.11596844426162055,0.07748540856786425
12,climate,MP shock during a 1 SD climate shock,0.001939643853583299,0.02958037273669053,156,,household_secured_credit,target,pop_temp_shock,household_secured_credit__target__pop_temp_shock,-0.02747679100270146,0.03135607870986806,-0.046715739528938545,0.05059502723610514
12,interaction,Interaction (climate amplification),0.02118116170046145,0.07301707627404072,156,,household_secured_credit,target,pop_temp_shock,household_secured_credit__target__pop_temp_shock,-0.05143124540918618,0.09379356881010908,-0.09892124103828667,0.14128356443920956
