h,series,component,irf,se,nobs,tidy,dep,mp_shock,climate_shock,model,lo68,hi68,lo90,hi90
0,base,MP shock alone,0.014879202405175583,0.006297871592371047,184,,household_secured_credit_rate,central_bank_information,pop_precip_shock,household_secured_credit_rate__central_bank_information__pop_precip_shock,0.008616234352699433,0.021142170457651734,0.004520125474389427,0.02523827933596174
0,climate,MP shock with climate shock,0.017275427227848875,0.006116682260828301,184,,household_secured_credit_rate,central_bank_information,pop_precip_shock,household_secured_credit_rate__central_bank_information__pop_precip_shock,0.011192644334478915,0.023358210121218834,0.0072143802262157174,0.02733647422948203
0,interaction,Interaction (climate amplification),0.0023962248226732925,0.0015592086959745762,184,,household_secured_credit_rate,central_bank_information,pop_precip_shock,household_secured_credit_rate__central_bank_information__pop_precip_shock,8.456574433921757e-4,0.003946792201954409,-1.6844525607476353e-4,0.004960894901421349
1,base,MP shock alone,0.02558239465771181,0.013191260223878246,184,,household_secured_credit_rate,central_bank_information,pop_precip_shock,household_secured_credit_rate__central_bank_information__pop_precip_shock,0.012464241938604834,0.038700547376818786,0.0038847024344049984,0.04728008688101862
1,climate,MP shock with climate shock,0.0317809764543636,0.012695210303319137,184,,household_secured_credit_rate,central_bank_information,pop_precip_shock,household_secured_credit_rate__central_bank_information__pop_precip_shock,0.0191561244892222,0.044405828419504995,0.010899213742037422,0.05266273916668977
1,interaction,Interaction (climate amplification),0.00619858179665179,0.0031615666329427405,184,,household_secured_credit_rate,central_bank_information,pop_precip_shock,household_secured_credit_rate__central_bank_information__pop_precip_shock,0.003054536935228966,0.009342626658074615,9.982674536071724e-4,0.01139889613969641
2,base,MP shock alone,0.022091377644502926,0.01769284223332997,184,,household_secured_credit_rate,central_bank_information,pop_precip_shock,household_secured_credit_rate__central_bank_information__pop_precip_shock,0.004496591209181479,0.03968616407982437,-0.007010758074070051,0.0511935133630759
2,climate,MP shock with climate shock,0.025941716847286914,0.016304923143042056,184,,household_secured_credit_rate,central_bank_information,pop_precip_shock,household_secured_credit_rate__central_bank_information__pop_precip_shock,0.009727157492559594,0.04215627620201423,-8.774951217108001e-4,0.05276092881628463
2,interaction,Interaction (climate amplification),0.003850339202783988,0.0045577767916116325,184,,household_secured_credit_rate,central_bank_information,pop_precip_shock,household_secured_credit_rate__central_bank_information__pop_precip_shock,-6.821778575446568e-4,0.008382856263112633,-0.0036465364837336475,0.011347214889301623
3,base,MP shock alone,-5.112151686403488e-4,0.019593862415703996,184,,household_secured_credit_rate,central_bank_information,pop_precip_shock,household_secured_credit_rate__central_bank_information__pop_precip_shock,-0.019996486110464486,0.01897405577318379,-0.032740250829099184,0.03171782049181849
3,climate,MP shock with climate shock,-0.0021690581053445774,0.01719231232777404,184,,household_secured_credit_rate,central_bank_information,pop_precip_shock,household_secured_credit_rate__central_bank_information__pop_precip_shock,-0.019266088630303695,0.014927972419614539,-0.0304478953933662,0.026109779182677043
3,interaction,Interaction (climate amplification),-0.0016578429367042288,0.006392633002598133,184,,household_secured_credit_rate,central_bank_information,pop_precip_shock,household_secured_credit_rate__central_bank_information__pop_precip_shock,-0.008015047220604777,0.004699361347196319,-0.012172788516797444,0.008857102643388985
4,base,MP shock alone,-0.031046363333500537,0.02022218576043765,184,,household_secured_credit_rate,central_bank_information,pop_precip_shock,household_secured_credit_rate__central_bank_information__pop_precip_shock,-0.05115647537869977,-0.010936251288301297,-0.0643088989264428,0.002216172259441731
4,climate,MP shock with climate shock,-0.04277180563143777,0.022485703516105276,184,,household_secured_credit_rate,central_bank_information,pop_precip_shock,household_secured_credit_rate__central_bank_information__pop_precip_shock,-0.06513289075254593,-0.020410720510329616,-0.079757496614459,-0.0057861146484165515
4,interaction,Interaction (climate amplification),-0.011725442297937236,0.007469834124309412,184,,household_secured_credit_rate,central_bank_information,pop_precip_shock,household_secured_credit_rate__central_bank_information__pop_precip_shock,-0.019153877729125954,-0.004297006866748518,-0.02401222605003344,5.61341454158969e-4
5,base,MP shock alone,-0.05121892831822313,0.02031794654363232,184,,household_secured_credit_rate,central_bank_information,pop_precip_shock,household_secured_credit_rate__central_bank_information__pop_precip_shock,-0.07142427042917265,-0.031013586207273614,-0.08463897638272286,-0.0177988802537234
5,climate,MP shock with climate shock,-0.0663398634488321,0.02528526995263551,184,,household_secured_credit_rate,central_bank_information,pop_precip_shock,household_secured_credit_rate__central_bank_information__pop_precip_shock,-0.09148499948231718,-0.04119472741534701,-0.10793043143887168,-0.024749295458792515
5,interaction,Interaction (climate amplification),-0.015120935130608965,0.007699140850710263,184,,household_secured_credit_rate,central_bank_information,pop_precip_shock,household_secured_credit_rate__central_bank_information__pop_precip_shock,-0.02277740644354003,-0.007464463817677898,-0.027784894883309978,-0.0024569753779079516
6,base,MP shock alone,-0.05308919165342932,0.014211113078887807,180,,household_secured_credit_rate,central_bank_information,pop_precip_shock,household_secured_credit_rate__central_bank_information__pop_precip_shock,-0.06722154508391452,-0.03895683822294411,-0.07646439254425542,-0.029713990762603216
6,climate,MP shock with climate shock,-0.07429108094646591,0.01779801854872502,180,,household_secured_credit_rate,central_bank_information,pop_precip_shock,household_secured_credit_rate__central_bank_information__pop_precip_shock,-0.09199046079775892,-0.056591701095172905,-0.10356621630888582,-0.045015945584046
6,interaction,Interaction (climate amplification),-0.021201889293036597,0.0065543904073899865,180,,household_secured_credit_rate,central_bank_information,pop_precip_shock,household_secured_credit_rate__central_bank_information__pop_precip_shock,-0.027719954503299955,-0.014683824082773238,-0.031982902127087945,-0.010420876458985245
7,base,MP shock alone,-0.05220025162795615,0.01151378781520829,176,,household_secured_credit_rate,central_bank_information,pop_precip_shock,household_secured_credit_rate__central_bank_information__pop_precip_shock,-0.06365022868639443,-0.04075027456951786,-0.07113874727575116,-0.03326175598016114
7,climate,MP shock with climate shock,-0.074366445666795,0.011153701094803993,176,,household_secured_credit_rate,central_bank_information,pop_precip_shock,household_secured_credit_rate__central_bank_information__pop_precip_shock,-0.08545833164748809,-0.0632745596861019,-0.09271265136651594,-0.05602023996707405
7,interaction,Interaction (climate amplification),-0.022166194038838846,0.007822439596878419,176,,household_secured_credit_rate,central_bank_information,pop_precip_shock,household_secured_credit_rate__central_bank_information__pop_precip_shock,-0.029945280761886715,-0.014387107315790976,-0.03503296218137312,-0.009299425896304572
8,base,MP shock alone,-0.06212442298834189,0.007601512099606905,172,,household_secured_credit_rate,central_bank_information,pop_precip_shock,household_secured_credit_rate__central_bank_information__pop_precip_shock,-0.0696838066201103,-0.05456503935657348,-0.0746277977356958,-0.04962104824098798
8,climate,MP shock with climate shock,-0.07678385613244663,0.008269995580548065,172,,household_secured_credit_rate,central_bank_information,pop_precip_shock,household_secured_credit_rate__central_bank_information__pop_precip_shock,-0.08500801843163247,-0.0685596938332608,-0.09038678835798376,-0.0631809239069095
8,interaction,Interaction (climate amplification),-0.014659433144104738,0.0046655161009231845,172,,household_secured_credit_rate,central_bank_information,pop_precip_shock,household_secured_credit_rate__central_bank_information__pop_precip_shock,-0.01929909240990983,-0.010019773878299647,-0.022333524224308725,-0.00698534206390075
9,base,MP shock alone,-0.03911215106202318,0.011822649578202782,168,,household_secured_credit_rate,central_bank_information,pop_precip_shock,household_secured_credit_rate__central_bank_information__pop_precip_shock,-0.050869278135493405,-0.02735502398855296,-0.05855867910090631,-0.019665623023140053
9,climate,MP shock with climate shock,-0.05179976956554247,0.0140956451846932,168,,household_secured_credit_rate,central_bank_information,pop_precip_shock,household_secured_credit_rate__central_bank_information__pop_precip_shock,-0.06581729503838822,-0.03778224409269672,-0.07498504267180613,-0.028614496459278813
9,interaction,Interaction (climate amplification),-0.012687618503519286,0.008550196871804597,168,,household_secured_credit_rate,central_bank_information,pop_precip_shock,household_secured_credit_rate__central_bank_information__pop_precip_shock,-0.02119042918568074,-0.004184807821357833,-0.026751440839256204,0.001376203832217631
10,base,MP shock alone,-0.041840278621961935,0.013642378557704792,164,,household_secured_credit_rate,central_bank_information,pop_precip_shock,household_secured_credit_rate__central_bank_information__pop_precip_shock,-0.055407049524403174,-0.0282735077195207,-0.06427999447284764,-0.019400562771076223
10,climate,MP shock with climate shock,-0.03278790682712038,0.02313214625691296,164,,household_secured_credit_rate,central_bank_information,pop_precip_shock,household_secured_credit_rate__central_bank_information__pop_precip_shock,-0.05579185202786846,-0.009783961626372299,-0.07083690149697557,0.00526108784273481
